open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1597377600000,2020-08-14 04:00:00,5.460,5.890,5.400,5.668,488330.4,1597391999999,2020-08-14 07:59:59,2767005.9400,10501,313880.5,1775297.1105
1597392000000,2020-08-14 08:00:00,5.675,5.903,5.600,5.607,1206723.0,1597406399999,2020-08-14 11:59:59,6931696.8332,20428,583485.8,3353626.6101
1597406400000,2020-08-14 12:00:00,5.600,5.652,5.321,5.442,928818.3,1597420799999,2020-08-14 15:59:59,5106464.0032,15155,435515.3,2395461.3772
1597420800000,2020-08-14 16:00:00,5.443,6.581,5.443,6.437,2499425.4,1597435199999,2020-08-14 19:59:59,15194693.1175,48520,1246128.3,7570915.8418
1597435200000,2020-08-14 20:00:00,6.435,6.590,6.100,6.157,2338658.1,1597449599999,2020-08-14 23:59:59,14770618.2068,38495,1093091.0,6909640.2968
1597449600000,2020-08-15 00:00:00,6.166,6.581,5.905,6.371,1716111.0,1597463999999,2020-08-15 03:59:59,10699325.8618,28255,778254.9,4854293.7499
1597464000000,2020-08-15 04:00:00,6.371,7.100,6.200,7.036,2988614.8,1597478399999,2020-08-15 07:59:59,20410583.1564,62309,1353822.1,9247800.7241
1597478400000,2020-08-15 08:00:00,7.042,7.483,6.870,7.405,3157285.6,1597492799999,2020-08-15 11:59:59,22747810.2161,66238,1414207.4,10201882.3320
1597492800000,2020-08-15 12:00:00,7.405,7.419,6.631,6.892,2620586.5,1597507199999,2020-08-15 15:59:59,18437715.3127,49180,1095725.1,7716570.5581
1597507200000,2020-08-15 16:00:00,6.893,7.071,6.300,6.541,2081053.2,1597521599999,2020-08-15 19:59:59,14095709.7947,35466,900903.2,6119114.7009
1597521600000,2020-08-15 20:00:00,6.540,6.902,5.950,6.888,2115200.9,1597535999999,2020-08-15 23:59:59,13739169.1582,47218,956516.5,6227564.0486
1597536000000,2020-08-16 00:00:00,6.885,6.890,6.439,6.503,1187200.8,1597550399999,2020-08-16 03:59:59,7849931.9415,14057,587999.5,3882753.9904
1597550400000,2020-08-16 04:00:00,6.502,6.631,6.385,6.474,610584.5,1597564799999,2020-08-16 07:59:59,3966615.5529,7732,257478.2,1674527.0895
1597564800000,2020-08-16 08:00:00,6.475,6.720,6.350,6.399,886396.4,1597579199999,2020-08-16 11:59:59,5806123.3242,12858,383797.3,2514993.6763
1597579200000,2020-08-16 12:00:00,6.399,6.848,6.237,6.771,983008.0,1597593599999,2020-08-16 15:59:59,6453615.0029,14369,436119.4,2864991.0017
1597593600000,2020-08-16 16:00:00,6.768,6.852,6.470,6.514,743688.4,1597607999999,2020-08-16 19:59:59,4957282.0174,9763,326288.3,2178039.7445
1597608000000,2020-08-16 20:00:00,6.514,6.642,6.401,6.416,680469.4,1597622399999,2020-08-16 23:59:59,4455629.1930,5895,335566.8,2198963.3925
1597622400000,2020-08-17 00:00:00,6.418,6.691,6.401,6.601,908103.0,1597636799999,2020-08-17 03:59:59,5931904.6189,8959,439875.1,2871525.2720
1597636800000,2020-08-17 04:00:00,6.606,6.899,6.580,6.813,903463.2,1597651199999,2020-08-17 07:59:59,6090734.7064,16676,456696.0,3078571.3679
1597651200000,2020-08-17 08:00:00,6.813,6.902,6.641,6.695,628988.6,1597665599999,2020-08-17 11:59:59,4244588.5999,8839,293320.7,1979824.9841
1597665600000,2020-08-17 12:00:00,6.693,6.695,6.262,6.344,1286870.2,1597679999999,2020-08-17 15:59:59,8268004.8643,23234,523718.7,3367069.8891
1597680000000,2020-08-17 16:00:00,6.347,6.480,6.293,6.361,930976.7,1597694399999,2020-08-17 19:59:59,5930407.3112,11522,480738.5,3062683.8610
1597694400000,2020-08-17 20:00:00,6.361,6.424,6.078,6.163,476965.6,1597708799999,2020-08-17 23:59:59,3005249.3666,10003,201846.1,1272094.6164
1597708800000,2020-08-18 00:00:00,6.162,6.273,6.144,6.241,346131.8,1597723199999,2020-08-18 03:59:59,2152898.7115,4333,146668.3,913100.7367
1597723200000,2020-08-18 04:00:00,6.241,6.442,6.041,6.440,477286.9,1597737599999,2020-08-18 07:59:59,2974413.1733,10227,237807.7,1485810.8780
1597737600000,2020-08-18 08:00:00,6.443,6.694,6.250,6.272,859770.0,1597751999999,2020-08-18 11:59:59,5624512.3006,14175,413825.3,2709537.2144
1597752000000,2020-08-18 12:00:00,6.271,6.400,5.500,5.942,1761945.4,1597766399999,2020-08-18 15:59:59,10524837.7237,32171,879870.5,5275000.8567
1597766400000,2020-08-18 16:00:00,5.943,6.123,5.848,5.882,1098448.3,1597780799999,2020-08-18 19:59:59,6558504.1930,15253,579516.5,3457831.3217
1597780800000,2020-08-18 20:00:00,5.885,6.158,5.880,6.154,799708.3,1597795199999,2020-08-18 23:59:59,4803814.8528,11625,321294.9,1925231.4388
1597795200000,2020-08-19 00:00:00,6.154,6.394,5.734,5.940,1211264.9,1597809599999,2020-08-19 03:59:59,7394517.3302,18804,469468.2,2859242.4875
1597809600000,2020-08-19 04:00:00,5.933,5.976,5.379,5.889,1485351.3,1597823999999,2020-08-19 07:59:59,8526053.3523,27610,675466.8,3879370.7051
1597824000000,2020-08-19 08:00:00,5.887,6.252,5.822,6.111,1253417.0,1597838399999,2020-08-19 11:59:59,7589311.9735,24608,519660.5,3145061.4094
1597838400000,2020-08-19 12:00:00,6.099,6.319,5.941,6.031,1133739.8,1597852799999,2020-08-19 15:59:59,6892293.2624,17029,560161.4,3410095.2390
1597852800000,2020-08-19 16:00:00,6.027,6.121,5.660,5.660,1316934.0,1597867199999,2020-08-19 19:59:59,7737393.1261,17331,648180.0,3811062.9453
1597867200000,2020-08-19 20:00:00,5.660,6.394,5.500,6.104,1721904.2,1597881599999,2020-08-19 23:59:59,10385611.5546,41239,826474.2,4972530.2202
1597881600000,2020-08-20 00:00:00,6.108,6.698,6.095,6.328,1231341.5,1597895999999,2020-08-20 03:59:59,7884066.5044,19726,656298.4,4203571.2725
1597896000000,2020-08-20 04:00:00,6.322,6.465,6.078,6.169,1134990.9,1597910399999,2020-08-20 07:59:59,7107457.5305,16502,537435.5,3368254.6706
1597910400000,2020-08-20 08:00:00,6.184,6.600,6.163,6.535,1249966.6,1597924799999,2020-08-20 11:59:59,7950671.6555,15416,562016.7,3576782.0019
1597924800000,2020-08-20 12:00:00,6.536,6.550,6.360,6.451,1061943.0,1597939199999,2020-08-20 15:59:59,6860819.7022,14721,505750.8,3266405.6619
1597939200000,2020-08-20 16:00:00,6.449,6.514,6.230,6.236,970154.1,1597953599999,2020-08-20 19:59:59,6185397.6894,12149,487346.7,3111012.0286
1597953600000,2020-08-20 20:00:00,6.235,6.299,6.151,6.182,772410.2,1597967999999,2020-08-20 23:59:59,4807383.5121,7463,372245.5,2317556.6795
1597968000000,2020-08-21 00:00:00,6.184,6.274,5.687,6.068,1235988.7,1597982399999,2020-08-21 03:59:59,7458297.8445,19673,545530.5,3297178.9444
1597982400000,2020-08-21 04:00:00,6.065,6.125,5.934,6.078,754387.2,1597996799999,2020-08-21 07:59:59,4552584.7936,8502,393782.6,2375029.9282
1597996800000,2020-08-21 08:00:00,6.084,6.116,5.742,5.791,1129067.8,1598011199999,2020-08-21 11:59:59,6745150.7078,11341,484955.6,2896982.2697
1598011200000,2020-08-21 12:00:00,5.787,5.976,5.647,5.778,1309031.2,1598025599999,2020-08-21 15:59:59,7630606.3013,16583,605705.5,3534331.9575
1598025600000,2020-08-21 16:00:00,5.780,5.832,5.467,5.546,1121821.9,1598039999999,2020-08-21 19:59:59,6343936.8670,18284,541676.7,3066064.0990
1598040000000,2020-08-21 20:00:00,5.547,5.704,5.210,5.322,918097.6,1598054399999,2020-08-21 23:59:59,5044399.6373,20860,368117.3,2018576.1063
1598054400000,2020-08-22 00:00:00,5.332,5.427,5.100,5.343,707015.8,1598068799999,2020-08-22 03:59:59,3736429.3984,14109,306761.0,1618404.3969
1598068800000,2020-08-22 04:00:00,5.333,5.577,5.252,5.490,362479.3,1598083199999,2020-08-22 07:59:59,1943697.9939,12333,199642.1,1070030.2229
1598083200000,2020-08-22 08:00:00,5.501,5.650,5.285,5.522,282887.0,1598097599999,2020-08-22 11:59:59,1539634.8369,8764,133995.5,729958.9340
1598097600000,2020-08-22 12:00:00,5.522,5.767,5.405,5.750,239994.0,1598111999999,2020-08-22 15:59:59,1348527.2715,8047,121011.1,680666.7342
1598112000000,2020-08-22 16:00:00,5.750,6.020,5.660,5.980,512106.5,1598126399999,2020-08-22 19:59:59,2994785.7177,15601,250302.6,1464524.0187
1598126400000,2020-08-22 20:00:00,5.985,6.013,5.775,5.845,202475.4,1598140799999,2020-08-22 23:59:59,1191086.0959,6417,80290.3,472654.1429
1598140800000,2020-08-23 00:00:00,5.835,5.909,5.692,5.710,375513.3,1598155199999,2020-08-23 03:59:59,2174581.7360,15109,174497.7,1010136.7066
1598155200000,2020-08-23 04:00:00,5.710,5.763,5.514,5.672,458189.6,1598169599999,2020-08-23 07:59:59,2583190.3437,16386,203946.7,1150618.9587
1598169600000,2020-08-23 08:00:00,5.670,5.705,5.350,5.422,554055.0,1598183999999,2020-08-23 11:59:59,3063400.2954,20225,259638.4,1437366.0874
1598184000000,2020-08-23 12:00:00,5.422,5.678,5.406,5.655,491981.4,1598198399999,2020-08-23 15:59:59,2740063.9684,19713,249323.2,1389111.3278
1598198400000,2020-08-23 16:00:00,5.655,5.659,5.535,5.545,694142.3,1598212799999,2020-08-23 19:59:59,3893598.0838,22279,326486.8,1832109.2679
1598212800000,2020-08-23 20:00:00,5.537,5.698,5.537,5.691,273831.8,1598227199999,2020-08-23 23:59:59,1542838.5110,10312,136366.3,768515.3801
1598227200000,2020-08-24 00:00:00,5.694,5.875,5.540,5.860,350054.5,1598241599999,2020-08-24 03:59:59,1988050.0055,16227,170053.4,966885.2879
1598241600000,2020-08-24 04:00:00,5.860,5.879,5.751,5.874,246890.5,1598255999999,2020-08-24 07:59:59,1436093.4702,7962,101828.9,593071.8390
1598256000000,2020-08-24 08:00:00,5.870,5.976,5.815,5.878,308954.5,1598270399999,2020-08-24 11:59:59,1819465.0753,16565,141762.3,835724.9612
1598270400000,2020-08-24 12:00:00,5.878,6.180,5.876,6.070,704007.1,1598284799999,2020-08-24 15:59:59,4252218.2413,40584,354201.1,2139422.7544
1598284800000,2020-08-24 16:00:00,6.075,6.322,6.046,6.144,679757.7,1598299199999,2020-08-24 19:59:59,4202409.9434,36500,325128.7,2011655.8804
1598299200000,2020-08-24 20:00:00,6.146,6.308,6.144,6.244,392994.8,1598313599999,2020-08-24 23:59:59,2445931.4764,24073,196971.7,1226301.7439
1598313600000,2020-08-25 00:00:00,6.242,6.272,5.860,5.975,559722.4,1598327999999,2020-08-25 03:59:59,3387890.4698,22257,232773.7,1410847.8607
