fundingTime,fundingTime_dt,fundingRate,markPrice
1762430400001,2025-11-06 12:00:00,0.00005000,0.02000000
1762444800001,2025-11-06 16:00:00,0.00005000,0.04153520
1762459200006,2025-11-06 20:00:00,0.00005000,0.04170100
1762473600005,2025-11-07 00:00:00,0.00005000,0.04265450
1762488000000,2025-11-07 04:00:00,0.00005000,0.04540600
1762502400003,2025-11-07 08:00:00,0.00005000,0.04791290
1762516800005,2025-11-07 12:00:00,0.00005000,0.04440860
1762531200005,2025-11-07 16:00:00,0.00005000,0.04931550
1762545600000,2025-11-07 20:00:00,0.00005000,0.05648800
1762560000011,2025-11-08 00:00:00,0.00005000,0.05415790
1762574400001,2025-11-08 04:00:00,0.00005000,0.06304940
1762588800015,2025-11-08 08:00:00,0.00005000,0.06008240
1762603200000,2025-11-08 12:00:00,0.00005000,0.05733160
1762617600001,2025-11-08 16:00:00,0.00005000,0.05434250
1762632000006,2025-11-08 20:00:00,0.00005000,0.05971940
1762646400004,2025-11-09 00:00:00,0.00005000,0.05513350
1762660800000,2025-11-09 04:00:00,0.00005000,0.05551200
1762675200000,2025-11-09 08:00:00,0.00005000,0.05906580
1762689600000,2025-11-09 12:00:00,0.00005000,0.05773080
1762704000005,2025-11-09 16:00:00,0.00005000,0.05829190
1762718400010,2025-11-09 20:00:00,0.00005000,0.05525400
1762732800000,2025-11-10 00:00:00,0.00005000,0.05180930
1762747200005,2025-11-10 04:00:00,0.00005000,0.05763420
1762761600000,2025-11-10 08:00:00,0.00005000,0.05550550
1762776000003,2025-11-10 12:00:00,0.00005000,0.05513690
1762790400003,2025-11-10 16:00:00,0.00005000,0.05386480
1762804800000,2025-11-10 20:00:00,0.00005000,0.05445600
1762819200007,2025-11-11 00:00:00,0.00005000,0.04998290
1762833600003,2025-11-11 04:00:00,0.00005000,0.04941300
1762848000000,2025-11-11 08:00:00,0.00005000,0.04729950
1762862400002,2025-11-11 12:00:00,0.00005000,0.04596260
1762876800009,2025-11-11 16:00:00,0.00005000,0.04523630
1762891200000,2025-11-11 20:00:00,0.00005000,0.04721130
1762905600000,2025-11-12 00:00:00,0.00005000,0.04468950
1762920000000,2025-11-12 04:00:00,0.00005000,0.04950270
1762934400002,2025-11-12 08:00:00,0.00005000,0.04905800
1762948800000,2025-11-12 12:00:00,0.00005000,0.04954040
1762963200000,2025-11-12 16:00:00,0.00005000,0.04615150
1762977600001,2025-11-12 20:00:00,0.00005000,0.04593510
1762992000002,2025-11-13 00:00:00,0.00005000,0.04793500
1763006400000,2025-11-13 04:00:00,0.00005000,0.04814930
1763020800000,2025-11-13 08:00:00,0.00005000,0.04799190
1763035200001,2025-11-13 12:00:00,0.00005000,0.04925030
1763049600001,2025-11-13 16:00:00,0.00005000,0.04593090
1763064000004,2025-11-13 20:00:00,0.00005000,0.04326040
1763078400000,2025-11-14 00:00:00,0.00005000,0.04315410
1763092800000,2025-11-14 04:00:00,0.00005000,0.04313060
1763107200000,2025-11-14 08:00:00,0.00005000,0.04110190
1763121600001,2025-11-14 12:00:00,0.00005000,0.03938100
1763136000001,2025-11-14 16:00:00,0.00005000,0.04127120
1763150400000,2025-11-14 20:00:00,0.00005000,0.04023080
1763164800005,2025-11-15 00:00:00,0.00005000,0.03695550
1763179200015,2025-11-15 04:00:00,0.00005000,0.03831740
1763193600000,2025-11-15 08:00:00,0.00005000,0.03702120
1763208000008,2025-11-15 12:00:00,0.00005000,0.04250300
1763222400001,2025-11-15 16:00:00,0.00005000,0.04269280
1763236800003,2025-11-15 20:00:00,0.00005000,0.04280630
1763251200001,2025-11-16 00:00:00,0.00005000,0.04297520
1763265600003,2025-11-16 04:00:00,0.00005000,0.04242790
1763280000000,2025-11-16 08:00:00,0.00005000,0.03922330
1763294400003,2025-11-16 12:00:00,0.00005000,0.03761840
1763308800000,2025-11-16 16:00:00,0.00005000,0.03799830
1763323200000,2025-11-16 20:00:00,0.00005000,0.03779720
1763337600003,2025-11-17 00:00:00,0.00005000,0.03841520
1763352000001,2025-11-17 04:00:00,0.00005000,0.03817720
1763366400003,2025-11-17 08:00:00,0.00005000,0.03837040
1763380800000,2025-11-17 12:00:00,0.00005000,0.03782440
1763395200000,2025-11-17 16:00:00,0.00005000,0.03746330
1763409600003,2025-11-17 20:00:00,0.00005000,0.03466170
1763424000002,2025-11-18 00:00:00,0.00005000,0.03507650
1763438400000,2025-11-18 04:00:00,0.00005000,0.03492820
1763452800004,2025-11-18 08:00:00,0.00005000,0.03402270
1763467200000,2025-11-18 12:00:00,0.00005000,0.03520970
1763481600000,2025-11-18 16:00:00,0.00005000,0.03379680
1763496000002,2025-11-18 20:00:00,0.00005000,0.03512630
1763510400000,2025-11-19 00:00:00,0.00005000,0.03518620
1763524800000,2025-11-19 04:00:00,0.00005000,0.03463580
1763539200000,2025-11-19 08:00:00,0.00005000,0.03582920
1763553600000,2025-11-19 12:00:00,0.00005000,0.03538320
1763568000008,2025-11-19 16:00:00,0.00005000,0.03447020
1763582400000,2025-11-19 20:00:00,0.00005000,0.03305350
1763596800000,2025-11-20 00:00:00,0.00005000,0.03445800
1763611200006,2025-11-20 04:00:00,0.00005000,0.03423020
1763625600000,2025-11-20 08:00:00,0.00005000,0.03489330
1763640000003,2025-11-20 12:00:00,0.00005000,0.03299060
1763654400000,2025-11-20 16:00:00,0.00005000,0.03186680
1763668800002,2025-11-20 20:00:00,0.00005000,0.02808370
1763683200001,2025-11-21 00:00:00,0.00005000,0.02784800
1763697600000,2025-11-21 04:00:00,0.00005000,0.02797420
1763712000000,2025-11-21 08:00:00,0.00005000,0.02728990
1763726400001,2025-11-21 12:00:00,0.00005000,0.02729810
1763740800001,2025-11-21 16:00:00,0.00005000,0.02636470
1763755200000,2025-11-21 20:00:00,0.00005000,0.02677500
1763769600004,2025-11-22 00:00:00,0.00005000,0.02661650
1763784000000,2025-11-22 04:00:00,0.00005000,0.02732890
1763798400000,2025-11-22 08:00:00,0.00005000,0.02754040
1763812800000,2025-11-22 12:00:00,0.00005000,0.02764540
1763827200000,2025-11-22 16:00:00,0.00005000,0.02566300
1763841600001,2025-11-22 20:00:00,0.00005000,0.02611250
1763856000000,2025-11-23 00:00:00,0.00005000,0.02985500
1763870400000,2025-11-23 04:00:00,0.00005000,0.02902480
1763884800008,2025-11-23 08:00:00,0.00005000,0.02873880
1763899200000,2025-11-23 12:00:00,0.00005000,0.02932240
1763913600003,2025-11-23 16:00:00,0.00005000,0.02829810
1763928000003,2025-11-23 20:00:00,0.00005000,0.02754890
1763942400004,2025-11-24 00:00:00,0.00005000,0.02766450
1763956800000,2025-11-24 04:00:00,0.00005000,0.02843630
1763971200000,2025-11-24 08:00:00,0.00005000,0.02895170
1763985600000,2025-11-24 12:00:00,0.00005000,0.02923970
1764000000006,2025-11-24 16:00:00,0.00005000,0.02556500
1764014400003,2025-11-24 20:00:00,0.00005000,0.02551660
1764028800000,2025-11-25 00:00:00,0.00005000,0.02589850
1764043200000,2025-11-25 04:00:00,0.00005000,0.02528850
1764057600009,2025-11-25 08:00:00,0.00005000,0.02893580
1764072000002,2025-11-25 12:00:00,0.00005000,0.02815380
1764086400007,2025-11-25 16:00:00,0.00005000,0.03147900
1764100800009,2025-11-25 20:00:00,0.00005000,0.02900270
1764115200001,2025-11-26 00:00:00,0.00005000,0.02790940
1764129600006,2025-11-26 04:00:00,0.00005000,0.02793790
1764144000001,2025-11-26 08:00:00,0.00005000,0.02779390
1764158400001,2025-11-26 12:00:00,0.00005000,0.02897750
1764172800000,2025-11-26 16:00:00,0.00005000,0.02882020
1764187200001,2025-11-26 20:00:00,0.00005000,0.03633680
1764201600013,2025-11-27 00:00:00,0.00005000,0.03483500
1764216000007,2025-11-27 04:00:00,0.00005000,0.03477800
1764230400000,2025-11-27 08:00:00,0.00005000,0.03320640
1764244800002,2025-11-27 12:00:00,0.00005000,0.03369480
1764259200004,2025-11-27 16:00:00,0.00005000,0.03404360
1764273600004,2025-11-27 20:00:00,0.00005000,0.03960800
1764288000008,2025-11-28 00:00:00,0.00005000,0.03767360
1764302400000,2025-11-28 04:00:00,0.00005000,0.03242670
1764316800000,2025-11-28 08:00:00,0.00005000,0.03241660
1764331200004,2025-11-28 12:00:00,0.00005000,0.03367750
1764345600008,2025-11-28 16:00:00,0.00005000,0.03340700
1764360000010,2025-11-28 20:00:00,0.00005000,0.03534870
1764374400000,2025-11-29 00:00:00,0.00005000,0.03427670
