fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,-0.00001218,0.03783066
1780084800000,2026-05-29 20:00:00,-0.00000720,0.03710000
1780099200000,2026-05-30 00:00:00,-0.00016164,0.03725000
1780113600004,2026-05-30 04:00:00,0.00002662,0.03814808
1780128000001,2026-05-30 08:00:00,0.00005000,0.03833000
1780142400000,2026-05-30 12:00:00,-0.00007633,0.03779000
1780156800000,2026-05-30 16:00:00,0.00004311,0.03752000
1780171200000,2026-05-30 20:00:00,0.00001156,0.03738000
1780185600000,2026-05-31 00:00:00,0.00005000,0.03720625
1780200000006,2026-05-31 04:00:00,0.00002080,0.03762000
1780214400000,2026-05-31 08:00:00,0.00002764,0.03718052
1780228800005,2026-05-31 12:00:00,0.00000271,0.03737381
1780243200004,2026-05-31 16:00:00,-0.00004006,0.03714000
1780257600010,2026-05-31 20:00:00,-0.00002054,0.03737000
1780272000001,2026-06-01 00:00:00,0.00004311,0.03832942
1780286400006,2026-06-01 04:00:00,0.00005000,0.03922943
1780300800001,2026-06-01 08:00:00,0.00003201,0.03755017
1780315200000,2026-06-01 12:00:00,0.00004646,0.03721000
1780329600000,2026-06-01 16:00:00,0.00004027,0.03708000
1780344000000,2026-06-01 20:00:00,0.00004770,0.03860900
1780358400000,2026-06-02 00:00:00,0.00005000,0.03831317
1780372800008,2026-06-02 04:00:00,0.00000475,0.03793561
1780387200000,2026-06-02 08:00:00,-0.00000462,0.03677000
1780401600002,2026-06-02 12:00:00,0.00000204,0.03730741
1780416000000,2026-06-02 16:00:00,-0.00003662,0.03503107
1780430400000,2026-06-02 20:00:00,-0.00008206,0.03534406
1780444800013,2026-06-03 00:00:00,-0.00012588,0.03467000
1780459200000,2026-06-03 04:00:00,-0.00001354,0.03473000
1780473600000,2026-06-03 08:00:00,0.00005000,0.03680000
1780488000000,2026-06-03 12:00:00,0.00005000,0.03690767
1780502400001,2026-06-03 16:00:00,0.00004637,0.03683859
1780516800002,2026-06-03 20:00:00,0.00001868,0.03650652
1780531200009,2026-06-04 00:00:00,-0.00001711,0.03623433
1780545600000,2026-06-04 04:00:00,-0.00025508,0.03615429
1780560000000,2026-06-04 08:00:00,-0.00011898,0.03391000
1780574400002,2026-06-04 12:00:00,-0.00024743,0.03438145
1780588800003,2026-06-04 16:00:00,0.00005000,0.03852000
1780603200001,2026-06-04 20:00:00,0.00005000,0.03635069
1780617600000,2026-06-05 00:00:00,-0.00002876,0.03559000
1780632000001,2026-06-05 04:00:00,-0.00015126,0.03410000
1780646400004,2026-06-05 08:00:00,-0.00028381,0.03391000
1780660800000,2026-06-05 12:00:00,-0.00008689,0.03342255
1780675200009,2026-06-05 16:00:00,-0.00008216,0.03205672
1780689600000,2026-06-05 20:00:00,-0.00016424,0.03123000
1780704000000,2026-06-06 00:00:00,-0.00010370,0.03259000
1780718400000,2026-06-06 04:00:00,-0.00013159,0.03158080
1780732800000,2026-06-06 08:00:00,-0.00001752,0.03139251
1780747200002,2026-06-06 12:00:00,-0.00015723,0.03138021
1780761600000,2026-06-06 16:00:00,-0.00017482,0.03144308
1780776000003,2026-06-06 20:00:00,-0.00023557,0.03111000
1780790400001,2026-06-07 00:00:00,-0.00003050,0.03160000
1780804800000,2026-06-07 04:00:00,-0.00015744,0.03240000
1780819200000,2026-06-07 08:00:00,-0.00012242,0.03312712
1780833600000,2026-06-07 12:00:00,-0.00014991,0.03331400
1780848000000,2026-06-07 16:00:00,-0.00017316,0.03343685
1780862400000,2026-06-07 20:00:00,-0.00019179,0.03242733
1780876800000,2026-06-08 00:00:00,0.00003803,0.03375375
1780891200009,2026-06-08 04:00:00,0.00000381,0.03402000
1780905600005,2026-06-08 08:00:00,0.00000934,0.03383258
1780920000001,2026-06-08 12:00:00,0.00005000,0.03449678
1780934400004,2026-06-08 16:00:00,0.00005000,0.03487000
1780948800000,2026-06-08 20:00:00,0.00003881,0.03479000
1780963200000,2026-06-09 00:00:00,0.00005000,0.03418000
1780977600003,2026-06-09 04:00:00,0.00005000,0.03360000
1780992000000,2026-06-09 08:00:00,0.00001527,0.03469000
1781006400000,2026-06-09 12:00:00,0.00003274,0.03458000
1781020800001,2026-06-09 16:00:00,0.00003277,0.03325806
1781035200000,2026-06-09 20:00:00,-0.00000459,0.03452000
1781049600001,2026-06-10 00:00:00,0.00002886,0.03483000
1781064000002,2026-06-10 04:00:00,0.00003483,0.03508000
1781078400011,2026-06-10 08:00:00,0.00005000,0.03476471
1781092800002,2026-06-10 12:00:00,0.00004515,0.03384000
1781107200009,2026-06-10 16:00:00,0.00005000,0.03511147
1781121600003,2026-06-10 20:00:00,0.00005000,0.03401000
1781136000000,2026-06-11 00:00:00,0.00005000,0.03310000
1781150400000,2026-06-11 04:00:00,0.00005000,0.03437000
1781164800004,2026-06-11 08:00:00,0.00005000,0.03478000
1781179200005,2026-06-11 12:00:00,0.00005000,0.03444551
1781193600000,2026-06-11 16:00:00,0.00005000,0.03456377
1781208000014,2026-06-11 20:00:00,0.00004143,0.03512000
1781222400000,2026-06-12 00:00:00,0.00005000,0.03442912
1781236800000,2026-06-12 04:00:00,0.00005000,0.03386865
1781251200000,2026-06-12 08:00:00,-0.00001551,0.03329231
1781265600000,2026-06-12 12:00:00,0.00005000,0.03483941
1781280000000,2026-06-12 16:00:00,0.00005000,0.03379000
1781294400000,2026-06-12 20:00:00,0.00005000,0.03349000
1781308800000,2026-06-13 00:00:00,0.00005000,0.03362000
1781323200000,2026-06-13 04:00:00,0.00005000,0.03360000
1781337600007,2026-06-13 08:00:00,0.00005000,0.03440000
1781352000004,2026-06-13 12:00:00,0.00005000,0.03445889
1781366400002,2026-06-13 16:00:00,0.00005000,0.03493000
1781380800004,2026-06-13 20:00:00,0.00005000,0.03478000
1781395200005,2026-06-14 00:00:00,0.00002428,0.03469000
1781409600012,2026-06-14 04:00:00,0.00001579,0.03483050
1781424000009,2026-06-14 08:00:00,0.00005000,0.03455000
1781438400000,2026-06-14 12:00:00,0.00003642,0.03428461
1781452800000,2026-06-14 16:00:00,0.00000187,0.03358000
1781467200010,2026-06-14 20:00:00,-0.00005054,0.03389000
1781481600013,2026-06-15 00:00:00,0.00004206,0.03579000
1781496000001,2026-06-15 04:00:00,0.00005000,0.03669000
1781510400013,2026-06-15 08:00:00,0.00005000,0.03693710
1781524800000,2026-06-15 12:00:00,0.00005000,0.03772864
1781539200004,2026-06-15 16:00:00,0.00004781,0.03744000
1781553600002,2026-06-15 20:00:00,-0.00000373,0.03620824
1781568000000,2026-06-16 00:00:00,0.00004211,0.03631020
1781582400000,2026-06-16 04:00:00,-0.00000029,0.03641559
1781596800000,2026-06-16 08:00:00,0.00003523,0.03637500
1781611200000,2026-06-16 12:00:00,0.00005000,0.03678000
1781625600001,2026-06-16 16:00:00,0.00001366,0.03563138
1781640000000,2026-06-16 20:00:00,0.00000400,0.03543335
1781654400012,2026-06-17 00:00:00,0.00000772,0.03533282
1781668800000,2026-06-17 04:00:00,0.00001546,0.03563412
1781683200000,2026-06-17 08:00:00,-0.00000151,0.03516000
1781697600000,2026-06-17 12:00:00,0.00000882,0.03538000
1781712000000,2026-06-17 16:00:00,0.00001869,0.03600735
1781726400000,2026-06-17 20:00:00,-0.00000443,0.03467000
1781740800002,2026-06-18 00:00:00,0.00002199,0.03442824
1781755200000,2026-06-18 04:00:00,0.00005000,0.03446000
1781769600000,2026-06-18 08:00:00,-0.00001802,0.03440417
1781784000004,2026-06-18 12:00:00,0.00000277,0.03403000
1781798400001,2026-06-18 16:00:00,-0.00005290,0.03338064
1781812800000,2026-06-18 20:00:00,0.00003202,0.03388000
1781827200005,2026-06-19 00:00:00,0.00001982,0.03551000
1781841600000,2026-06-19 04:00:00,0.00005000,0.03477733
1781856000001,2026-06-19 08:00:00,-0.00001172,0.03408232
1781870400000,2026-06-19 12:00:00,-0.00002593,0.03409000
1781884800001,2026-06-19 16:00:00,0.00005000,0.03439014
1781899200000,2026-06-19 20:00:00,-0.00003795,0.03419422
1781913600001,2026-06-20 00:00:00,0.00001551,0.03439364
1781928000000,2026-06-20 04:00:00,-0.00008261,0.03423000
1781942400000,2026-06-20 08:00:00,-0.00008700,0.03438000
1781956800001,2026-06-20 12:00:00,0.00002804,0.03438000
1781971200001,2026-06-20 16:00:00,-0.00016581,0.03450000
1781985600000,2026-06-20 20:00:00,-0.00008317,0.03398000
1782000000000,2026-06-21 00:00:00,-0.00004490,0.03427700
1782014400000,2026-06-21 04:00:00,-0.00004643,0.03442000
1782028800000,2026-06-21 08:00:00,-0.00001081,0.03421000
1782043200001,2026-06-21 12:00:00,-0.00001548,0.03409000
1782057600000,2026-06-21 16:00:00,0.00003627,0.03434094
1782072000004,2026-06-21 20:00:00,-0.00000824,0.03428500
1782086400000,2026-06-22 00:00:00,-0.00006405,0.03336054
1782100800000,2026-06-22 04:00:00,-0.00002857,0.03409000
1782115200000,2026-06-22 08:00:00,-0.00001546,0.03430000
1782129600000,2026-06-22 12:00:00,-0.00002262,0.03475000
1782144000002,2026-06-22 16:00:00,0.00001684,0.03400000
1782158400000,2026-06-22 20:00:00,-0.00004463,0.03368000
1782172800003,2026-06-23 00:00:00,-0.00019403,0.03323048
1782187200000,2026-06-23 04:00:00,-0.00005969,0.03344000
1782201600005,2026-06-23 08:00:00,-0.00006764,0.03257000
1782216000000,2026-06-23 12:00:00,-0.00009112,0.03203292
1782230400002,2026-06-23 16:00:00,-0.00004588,0.03210000
1782244800000,2026-06-23 20:00:00,-0.00003956,0.03202133
1782259200005,2026-06-24 00:00:00,0.00005000,0.03202706
1782288000005,2026-06-24 08:00:00,0.00003819,0.03156382
1782302400005,2026-06-24 12:00:00,0.00000604,0.03168000
1782316800003,2026-06-24 16:00:00,-0.00010260,0.03076720
1782331200006,2026-06-24 20:00:00,0.00004112,0.03017000
1782345600000,2026-06-25 00:00:00,0.00005000,0.03079000
1782360000008,2026-06-25 04:00:00,0.00005000,0.03093765
1782374400000,2026-06-25 08:00:00,0.00005000,0.03122735
1782388800006,2026-06-25 12:00:00,0.00001670,0.03102000
1782403200000,2026-06-25 16:00:00,-0.00003800,0.02993790
1782417600011,2026-06-25 20:00:00,0.00005000,0.02973588
1782432000010,2026-06-26 00:00:00,0.00005000,0.02963765
1782446400001,2026-06-26 04:00:00,0.00005000,0.02917510
1782460800002,2026-06-26 08:00:00,0.00005000,0.02979433
1782475200004,2026-06-26 12:00:00,0.00003295,0.02868000
1782489600000,2026-06-26 16:00:00,0.00001141,0.02926000
1782504000000,2026-06-26 20:00:00,0.00001996,0.02932458
1782518400000,2026-06-27 00:00:00,0.00005000,0.02880800
1782532800000,2026-06-27 04:00:00,0.00000324,0.02886000
1782547200000,2026-06-27 08:00:00,0.00004362,0.02908000
1782561600001,2026-06-27 12:00:00,-0.00003434,0.02897910
1782576000009,2026-06-27 16:00:00,0.00004083,0.02936000
1782590400000,2026-06-27 20:00:00,-0.00000985,0.02888366
1782604800000,2026-06-28 00:00:00,0.00005000,0.02840000
1782619200002,2026-06-28 04:00:00,-0.00002340,0.02919000
1782633600013,2026-06-28 08:00:00,0.00005000,0.02940441
1782648000008,2026-06-28 12:00:00,0.00005000,0.02913000
1782662400000,2026-06-28 16:00:00,0.00005000,0.02910000
1782676800003,2026-06-28 20:00:00,0.00005000,0.02857000
1782691200006,2026-06-29 00:00:00,0.00005000,0.02866070
1782705600000,2026-06-29 04:00:00,0.00005000,0.02927000
1782720000013,2026-06-29 08:00:00,0.00005000,0.02984070
1782734400001,2026-06-29 12:00:00,0.00005000,0.02927933
1782748800004,2026-06-29 16:00:00,0.00005000,0.02959000
1782763200000,2026-06-29 20:00:00,0.00005000,0.03040067
1782777600000,2026-06-30 00:00:00,0.00001905,0.03016224
1782792000000,2026-06-30 04:00:00,0.00005000,0.02971294
1782806400000,2026-06-30 08:00:00,0.00005000,0.02952000
1782820800002,2026-06-30 12:00:00,0.00005000,0.02939959
1782835200005,2026-06-30 16:00:00,0.00003396,0.02975284
1782849600003,2026-06-30 20:00:00,-0.00000759,0.02960000
1782864000000,2026-07-01 00:00:00,0.00000645,0.02912000
1782878400001,2026-07-01 04:00:00,-0.00002773,0.02941000
1782892800000,2026-07-01 08:00:00,-0.00002314,0.02910000
1782907200000,2026-07-01 12:00:00,0.00003631,0.02932000
1782921600000,2026-07-01 16:00:00,0.00005000,0.02988354
1782936000000,2026-07-01 20:00:00,0.00003280,0.02972220
1782950400000,2026-07-02 00:00:00,-0.00001347,0.02972000
1782964800003,2026-07-02 04:00:00,0.00005000,0.03045000
1782979200000,2026-07-02 08:00:00,0.00005000,0.03004000
1782993600005,2026-07-02 12:00:00,0.00005000,0.03077982
1783008000000,2026-07-02 16:00:00,0.00004170,0.03042000
1783022400008,2026-07-02 20:00:00,0.00003469,0.03041000
1783036800000,2026-07-03 00:00:00,0.00005000,0.03056000
1783051200000,2026-07-03 04:00:00,0.00001689,0.03092000
1783065600007,2026-07-03 08:00:00,0.00000955,0.03093000
1783080000002,2026-07-03 12:00:00,0.00005000,0.03151088
1783094400000,2026-07-03 16:00:00,0.00005000,0.03133603
1783108800001,2026-07-03 20:00:00,0.00005000,0.03143000
1783123200000,2026-07-04 00:00:00,0.00005000,0.03191306
1783137600006,2026-07-04 04:00:00,0.00000885,0.03173000
1783152000000,2026-07-04 08:00:00,0.00003063,0.03126261
1783166400000,2026-07-04 12:00:00,0.00002123,0.03113233
1783180800007,2026-07-04 16:00:00,0.00003224,0.03158853
1783195200000,2026-07-04 20:00:00,-0.00008027,0.03159700
1783209600003,2026-07-05 00:00:00,0.00001390,0.03124404
