open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1736985600000,2025-01-16 00:00:00,0.8000000,0.8220000,0.7609000,0.7831000,71151713,1737071999999,2025-01-16 23:59:59,56284729.7019000,260734,34053120,26942102.8207000
1737072000000,2025-01-17 00:00:00,0.7826000,0.8188000,0.7621000,0.7794000,75955645,1737158399999,2025-01-17 23:59:59,59742735.2634000,264511,38155192,30018831.9899000
1737158400000,2025-01-18 00:00:00,0.7795000,0.7863000,0.6600000,0.6800000,95091632,1737244799999,2025-01-18 23:59:59,66431668.8825000,293225,44044652,30736286.2832000
1737244800000,2025-01-19 00:00:00,0.6799000,0.6869000,0.5485000,0.5643000,169328729,1737331199999,2025-01-19 23:59:59,103421157.5754000,455472,82116722,50160480.0657000
1737331200000,2025-01-20 00:00:00,0.5646000,0.5942000,0.5004000,0.5174000,152294406,1737417599999,2025-01-20 23:59:59,82411864.7259000,412160,74253542,40197965.6047000
1737417600000,2025-01-21 00:00:00,0.5175000,0.6349000,0.4993000,0.6054000,249240140,1737503999999,2025-01-21 23:59:59,147139289.1823000,635723,124345028,73388270.1495000
1737504000000,2025-01-22 00:00:00,0.6053000,0.6569000,0.5906000,0.5933000,128969627,1737590399999,2025-01-22 23:59:59,80350810.1856000,340553,62008054,38647063.2340000
1737590400000,2025-01-23 00:00:00,0.5931000,0.6057000,0.5633000,0.5801000,83438903,1737676799999,2025-01-23 23:59:59,48673496.6788000,264095,41486493,24193541.1831000
1737676800000,2025-01-24 00:00:00,0.5802000,0.5830000,0.5271000,0.5363000,60947880,1737763199999,2025-01-24 23:59:59,34162305.1828000,200149,29686279,16650571.8862000
1737763200000,2025-01-25 00:00:00,0.5360000,0.5478000,0.5242000,0.5376000,40418176,1737849599999,2025-01-25 23:59:59,21751921.4117000,118964,19447957,10463711.7974000
1737849600000,2025-01-26 00:00:00,0.5376000,0.5552000,0.5138000,0.5148000,36425352,1737935999999,2025-01-26 23:59:59,19622747.5121000,110824,17677180,9521467.7838000
1737936000000,2025-01-27 00:00:00,0.5147000,0.5216000,0.4581000,0.4944000,102824613,1738022399999,2025-01-27 23:59:59,49688349.6750000,250503,50680809,24500464.4778000
1738022400000,2025-01-28 00:00:00,0.4945000,0.4955000,0.4344000,0.4397000,66404341,1738108799999,2025-01-28 23:59:59,31123652.0319000,148959,31228641,14657851.6148000
1738108800000,2025-01-29 00:00:00,0.4397000,0.4990000,0.4388000,0.4869000,82301747,1738195199999,2025-01-29 23:59:59,38564234.2173000,195630,39772057,18611493.9033000
1738195200000,2025-01-30 00:00:00,0.4869000,0.5377000,0.4849000,0.5180000,89896012,1738281599999,2025-01-30 23:59:59,46526511.4283000,214620,44055402,22804458.0535000
1738281600000,2025-01-31 00:00:00,0.5179000,0.6028000,0.5009000,0.5639000,158473166,1738367999999,2025-01-31 23:59:59,88835626.6629000,381203,79029502,44231255.9077000
1738368000000,2025-02-01 00:00:00,0.5638000,0.5704000,0.4861000,0.4904000,73423269,1738454399999,2025-02-01 23:59:59,39027544.9064000,223485,35496558,18900854.3981000
1738454400000,2025-02-02 00:00:00,0.4904000,0.5154000,0.4200000,0.4583000,133961940,1738540799999,2025-02-02 23:59:59,63754031.4520000,378414,66685890,31770626.9744000
1738540800000,2025-02-03 00:00:00,0.4586000,0.4806000,0.3108000,0.4688000,243423060,1738627199999,2025-02-03 23:59:59,100798218.0609000,570743,118835903,49267544.5674000
1738627200000,2025-02-04 00:00:00,0.4687000,0.4735000,0.4125000,0.4357000,114254188,1738713599999,2025-02-04 23:59:59,49652614.3228000,361406,55757661,24226209.4047000
1738713600000,2025-02-05 00:00:00,0.4358000,0.4590000,0.4240000,0.4391000,79090212,1738799999999,2025-02-05 23:59:59,34688137.9314000,279340,38360671,16825540.9950000
1738800000000,2025-02-06 00:00:00,0.4390000,0.4763000,0.4187000,0.4245000,167589568,1738886399999,2025-02-06 23:59:59,75628884.3007000,494860,82267738,37138005.1222000
1738886400000,2025-02-07 00:00:00,0.4244000,0.4497000,0.3803000,0.3950000,107410345,1738972799999,2025-02-07 23:59:59,45403562.6269000,334040,51906511,21976373.7646000
1738972800000,2025-02-08 00:00:00,0.3950000,0.4181000,0.3746000,0.4120000,118415833,1739059199999,2025-02-08 23:59:59,46564046.8897000,316802,57885619,22747658.9564000
1739059200000,2025-02-09 00:00:00,0.4119000,0.4180000,0.3930000,0.4096000,74430598,1739145599999,2025-02-09 23:59:59,30386222.1505000,224862,36035426,14714668.4583000
1739145600000,2025-02-10 00:00:00,0.4097000,0.4469000,0.3976000,0.4362000,75992939,1739231999999,2025-02-10 23:59:59,31994867.4531000,242370,38493274,16204849.6776000
1739232000000,2025-02-11 00:00:00,0.4363000,0.4798000,0.4349000,0.4532000,76398069,1739318399999,2025-02-11 23:59:59,34935380.4371000,243173,37423909,17125199.6166000
1739318400000,2025-02-12 00:00:00,0.4532000,0.5622000,0.4503000,0.5561000,197791519,1739404799999,2025-02-12 23:59:59,99701985.4708000,548775,99699840,50267017.7403000
1739404800000,2025-02-13 00:00:00,0.5561000,0.5876000,0.5276000,0.5335000,167779693,1739491199999,2025-02-13 23:59:59,92748553.3014000,503580,81741003,45214236.6224000
1739491200000,2025-02-14 00:00:00,0.5336000,0.5593000,0.5290000,0.5488000,83615968,1739577599999,2025-02-14 23:59:59,45705697.4669000,286114,41774514,22838267.0391000
1739577600000,2025-02-15 00:00:00,0.5488000,0.5621000,0.5084000,0.5151000,58436783,1739663999999,2025-02-15 23:59:59,31164240.4127000,200715,27300983,14568609.0166000
1739664000000,2025-02-16 00:00:00,0.5152000,0.5384000,0.5073000,0.5292000,54292285,1739750399999,2025-02-16 23:59:59,28291430.4419000,187573,28346306,14778867.2345000
1739750400000,2025-02-17 00:00:00,0.5293000,0.6243000,0.5291000,0.6089000,276786021,1739836799999,2025-02-17 23:59:59,162132745.2640000,765369,142988598,83795103.1053000
1739836800000,2025-02-18 00:00:00,0.6090000,0.6300000,0.5647000,0.5966000,277814332,1739923199999,2025-02-18 23:59:59,165762536.1403000,891197,141269458,84329695.3742000
1739923200000,2025-02-19 00:00:00,0.5966000,0.7374000,0.5913000,0.7111000,507480629,1740009599999,2025-02-19 23:59:59,350183829.0722000,1385824,258837015,178565049.7436000
1740009600000,2025-02-20 00:00:00,0.7111000,0.9004000,0.6958000,0.8664000,605782815,1740095999999,2025-02-20 23:59:59,479348766.9792000,1865924,313193548,247907169.6930000
1740096000000,2025-02-21 00:00:00,0.8664000,0.9899000,0.8270000,0.8543000,713805649,1740182399999,2025-02-21 23:59:59,638948463.9666000,2747901,351245381,314597791.9831000
1740182400000,2025-02-22 00:00:00,0.8543000,0.9156000,0.7875000,0.8036000,307682647,1740268799999,2025-02-22 23:59:59,262114028.1740000,1233598,149983352,127951697.0047000
1740268800000,2025-02-23 00:00:00,0.8035000,0.8607000,0.7967000,0.8497000,203125411,1740355199999,2025-02-23 23:59:59,167799583.8938000,870724,102749627,84886062.7791000
1740355200000,2025-02-24 00:00:00,0.8496000,0.9179000,0.7878000,0.8063000,523820431,1740441599999,2025-02-24 23:59:59,445475913.7388000,1821582,259932049,221093067.1274000
1740441600000,2025-02-25 00:00:00,0.8063000,0.8192000,0.6751000,0.7629000,611360238,1740527999999,2025-02-25 23:59:59,446018363.7134000,1950218,297666878,217183976.5342000
1740528000000,2025-02-26 00:00:00,0.7628000,0.7680000,0.6679000,0.7277000,333278795,1740614399999,2025-02-26 23:59:59,239828860.0152000,1135730,159674060,115080187.3727000
1740614400000,2025-02-27 00:00:00,0.7278000,0.7492000,0.6847000,0.6958000,210092255,1740700799999,2025-02-27 23:59:59,150711377.8885000,807964,104528515,75012822.7244000
1740700800000,2025-02-28 00:00:00,0.6958000,0.6980000,0.6152000,0.6729000,308842610,1740787199999,2025-02-28 23:59:59,201792010.0031000,1023485,151140629,98779361.4309000
1740787200000,2025-03-01 00:00:00,0.6730000,0.7606000,0.6668000,0.7240000,216014502,1740873599999,2025-03-01 23:59:59,156421598.9345000,805496,106774132,77309889.6686000
1740873600000,2025-03-02 00:00:00,0.7239000,0.7828000,0.7132000,0.7475000,241702273,1740959999999,2025-03-02 23:59:59,179572407.4175000,887129,118858747,88335017.4964000
1740960000000,2025-03-03 00:00:00,0.7474000,0.7485000,0.5867000,0.5958000,237705349,1741046399999,2025-03-03 23:59:59,156203053.9422000,790737,112564215,73871155.8949000
1741046400000,2025-03-04 00:00:00,0.5958000,0.5987000,0.4925000,0.5638000,442374180,1741132799999,2025-03-04 23:59:59,238543927.1124000,1009812,217103295,117107229.3219000
1741132800000,2025-03-05 00:00:00,0.5638000,0.6114000,0.5394000,0.5913000,217085012,1741219199999,2025-03-05 23:59:59,125866218.8118000,609688,106851172,61911854.6681000
1741219200000,2025-03-06 00:00:00,0.5913000,0.6215000,0.5294000,0.5326000,216307080,1741305599999,2025-03-06 23:59:59,124143776.1886000,534772,102952177,59161624.9722000
1741305600000,2025-03-07 00:00:00,0.5327000,0.5425000,0.4988000,0.5075000,227329432,1741391999999,2025-03-07 23:59:59,118703072.8377000,544456,114623169,59886911.0018000
1741392000000,2025-03-08 00:00:00,0.5075000,0.5208000,0.4980000,0.5080000,105685486,1741478399999,2025-03-08 23:59:59,54020238.4220000,288874,51948362,26560150.2681000
1741478400000,2025-03-09 00:00:00,0.5080000,0.5116000,0.4303000,0.4372000,206300850,1741564799999,2025-03-09 23:59:59,95917681.1754000,459990,97460409,45316264.2547000
1741564800000,2025-03-10 00:00:00,0.4373000,0.4676000,0.4084000,0.4263000,265407390,1741651199999,2025-03-10 23:59:59,117456969.4926000,554634,134479448,59544813.0601000
1741651200000,2025-03-11 00:00:00,0.4264000,0.4498000,0.4026000,0.4281000,217231154,1741737599999,2025-03-11 23:59:59,92882399.4017000,468592,109693692,46893680.7947000
1741737600000,2025-03-12 00:00:00,0.4280000,0.4574000,0.4107000,0.4511000,177341797,1741823999999,2025-03-12 23:59:59,77373169.1815000,380890,90923590,39694866.4703000
1741824000000,2025-03-13 00:00:00,0.4510000,0.5064000,0.4461000,0.4834000,320371615,1741910399999,2025-03-13 23:59:59,152716913.6787000,656184,161676855,77075462.2029000
1741910400000,2025-03-14 00:00:00,0.4836000,0.5493000,0.4787000,0.5271000,332066167,1741996799999,2025-03-14 23:59:59,172350448.6806000,681441,166405926,86321013.3691000
1741996800000,2025-03-15 00:00:00,0.5271000,0.5617000,0.5176000,0.5496000,138215898,1742083199999,2025-03-15 23:59:59,74132690.9324000,348402,66693966,35771358.7431000
1742083200000,2025-03-16 00:00:00,0.5495000,0.5507000,0.4848000,0.4953000,228388171,1742169599999,2025-03-16 23:59:59,116360054.2661000,448139,104289584,53124631.5291000
1742169600000,2025-03-17 00:00:00,0.4954000,0.5174000,0.4896000,0.5004000,178575069,1742255999999,2025-03-17 23:59:59,89980877.0631000,401445,88863156,44791645.2715000
1742256000000,2025-03-18 00:00:00,0.5004000,0.5007000,0.4689000,0.4939000,161885952,1742342399999,2025-03-18 23:59:59,78091642.1205000,381875,77556919,37427809.1591000
1742342400000,2025-03-19 00:00:00,0.4938000,0.5545000,0.4938000,0.5492000,224949087,1742428799999,2025-03-19 23:59:59,116506878.1998000,485171,113755520,58948972.7728000
1742428800000,2025-03-20 00:00:00,0.5492000,0.5573000,0.5060000,0.5111000,141238811,1742515199999,2025-03-20 23:59:59,74556882.3822000,361252,65939412,34814043.3853000
1742515200000,2025-03-21 00:00:00,0.5110000,0.5227000,0.4849000,0.5047000,124635494,1742601599999,2025-03-21 23:59:59,62262754.8804000,266583,59517978,29753171.7969000
1742601600000,2025-03-22 00:00:00,0.5047000,0.5236000,0.5039000,0.5065000,76700619,1742687999999,2025-03-22 23:59:59,39351871.7029000,214468,35018883,17975072.6829000
1742688000000,2025-03-23 00:00:00,0.5064000,0.5446000,0.5014000,0.5404000,107053503,1742774399999,2025-03-23 23:59:59,56535162.8934000,283864,56316195,29744968.6005000
1742774400000,2025-03-24 00:00:00,0.5404000,0.6197000,0.5281000,0.5965000,244444146,1742860799999,2025-03-24 23:59:59,144254876.8544000,592030,121914608,71917332.8108000
1742860800000,2025-03-25 00:00:00,0.5964000,0.6330000,0.5768000,0.6059000,170970425,1742947199999,2025-03-25 23:59:59,103964153.4413000,414564,84177660,51206718.3015000
1742947200000,2025-03-26 00:00:00,0.6058000,0.6360000,0.5867000,0.6026000,171694825,1743033599999,2025-03-26 23:59:59,104819497.7026000,423620,83585691,51080329.9319000
1743033600000,2025-03-27 00:00:00,0.6027000,0.6257000,0.5884000,0.6028000,131368096,1743119999999,2025-03-27 23:59:59,80068617.8797000,342552,63113485,38490036.2443000
1743120000000,2025-03-28 00:00:00,0.6028000,0.6040000,0.5302000,0.5420000,153949396,1743206399999,2025-03-28 23:59:59,86258783.8838000,365551,70935785,39702546.4240000
1743206400000,2025-03-29 00:00:00,0.5420000,0.5445000,0.4746000,0.4872000,140352504,1743292799999,2025-03-29 23:59:59,70482998.5320000,350031,67310292,33736989.6203000
1743292800000,2025-03-30 00:00:00,0.4872000,0.5057000,0.4789000,0.4940000,111363928,1743379199999,2025-03-30 23:59:59,54877970.9454000,296117,55461722,27347949.8393000
