fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.16434963
1780084800000,2026-05-29 20:00:00,0.00005000,0.16209252
1780099200000,2026-05-30 00:00:00,0.00005000,0.16406298
1780113600004,2026-05-30 04:00:00,0.00005000,0.16333000
1780128000001,2026-05-30 08:00:00,0.00005000,0.16139000
1780142400000,2026-05-30 12:00:00,0.00005000,0.16096543
1780156800000,2026-05-30 16:00:00,0.00004599,0.16082000
1780171200000,2026-05-30 20:00:00,0.00005000,0.16356000
1780185600000,2026-05-31 00:00:00,0.00005000,0.15933280
1780200000006,2026-05-31 04:00:00,0.00005000,0.16054546
1780214400000,2026-05-31 08:00:00,0.00005000,0.15914678
1780228800005,2026-05-31 12:00:00,0.00005000,0.15980578
1780243200004,2026-05-31 16:00:00,0.00005000,0.15714000
1780257600010,2026-05-31 20:00:00,0.00005000,0.15763120
1780272000001,2026-06-01 00:00:00,0.00005000,0.15752839
1780286400006,2026-06-01 04:00:00,0.00005000,0.15853422
1780300800001,2026-06-01 08:00:00,0.00005000,0.15145971
1780315200000,2026-06-01 12:00:00,0.00005000,0.15248000
1780329600000,2026-06-01 16:00:00,0.00005000,0.15012542
1780344000000,2026-06-01 20:00:00,0.00005000,0.14966000
1780358400000,2026-06-02 00:00:00,0.00005000,0.15554007
1780372800008,2026-06-02 04:00:00,0.00005000,0.15036380
1780387200000,2026-06-02 08:00:00,0.00005000,0.14784000
1780401600002,2026-06-02 12:00:00,0.00005000,0.15108567
1780416000000,2026-06-02 16:00:00,0.00001723,0.14263800
1780430400000,2026-06-02 20:00:00,-0.00004574,0.13847000
1780444800013,2026-06-03 00:00:00,0.00004269,0.13589000
1780459200000,2026-06-03 04:00:00,0.00000236,0.13633000
1780473600000,2026-06-03 08:00:00,0.00005000,0.13959126
1780488000000,2026-06-03 12:00:00,0.00000790,0.14015000
1780502400001,2026-06-03 16:00:00,0.00005000,0.14379000
1780516800002,2026-06-03 20:00:00,0.00004584,0.14096000
1780531200009,2026-06-04 00:00:00,-0.00001865,0.13983042
1780545600000,2026-06-04 04:00:00,0.00005000,0.14249423
1780560000000,2026-06-04 08:00:00,-0.00002058,0.14149295
1780574400002,2026-06-04 12:00:00,0.00005000,0.13701000
1780588800003,2026-06-04 16:00:00,0.00005000,0.14550030
1780603200001,2026-06-04 20:00:00,0.00005000,0.13954433
1780617600000,2026-06-05 00:00:00,0.00005000,0.13754000
1780632000001,2026-06-05 04:00:00,0.00005000,0.13329000
1780646400004,2026-06-05 08:00:00,-0.00002645,0.12919536
1780660800000,2026-06-05 12:00:00,0.00005000,0.12768806
1780675200009,2026-06-05 16:00:00,0.00005000,0.12234736
1780689600000,2026-06-05 20:00:00,0.00005000,0.12345822
1780704000000,2026-06-06 00:00:00,0.00005000,0.12599611
1780718400000,2026-06-06 04:00:00,0.00005000,0.12499000
1780732800000,2026-06-06 08:00:00,0.00005000,0.12801000
1780747200002,2026-06-06 12:00:00,0.00003681,0.12645000
1780761600000,2026-06-06 16:00:00,0.00001234,0.12769808
1780776000003,2026-06-06 20:00:00,-0.00003869,0.12739000
1780790400001,2026-06-07 00:00:00,0.00005000,0.13084507
1780804800000,2026-06-07 04:00:00,0.00001696,0.13061000
1780819200000,2026-06-07 08:00:00,0.00005000,0.13001074
1780833600000,2026-06-07 12:00:00,0.00004773,0.13066420
1780848000000,2026-06-07 16:00:00,0.00002133,0.12984000
1780862400000,2026-06-07 20:00:00,-0.00007649,0.12681720
1780876800000,2026-06-08 00:00:00,0.00005000,0.13111292
1780891200009,2026-06-08 04:00:00,0.00005000,0.13040198
1780905600005,2026-06-08 08:00:00,0.00005000,0.13035000
1780920000001,2026-06-08 12:00:00,0.00005000,0.13168746
1780934400004,2026-06-08 16:00:00,0.00005000,0.13266000
1780948800000,2026-06-08 20:00:00,0.00005000,0.13207321
1780963200000,2026-06-09 00:00:00,0.00005000,0.13068032
1780977600003,2026-06-09 04:00:00,0.00005000,0.12865000
1780992000000,2026-06-09 08:00:00,0.00005000,0.12998000
1781006400000,2026-06-09 12:00:00,0.00005000,0.12981000
1781020800001,2026-06-09 16:00:00,0.00005000,0.12515633
1781035200000,2026-06-09 20:00:00,0.00005000,0.12895000
1781049600001,2026-06-10 00:00:00,0.00005000,0.13014373
1781064000002,2026-06-10 04:00:00,0.00005000,0.12950000
1781078400011,2026-06-10 08:00:00,0.00005000,0.13107000
1781092800002,2026-06-10 12:00:00,0.00004188,0.12968728
1781107200009,2026-06-10 16:00:00,0.00005000,0.13100000
1781121600003,2026-06-10 20:00:00,0.00000746,0.12960000
1781136000000,2026-06-11 00:00:00,0.00004104,0.13006567
1781150400000,2026-06-11 04:00:00,0.00005000,0.13155323
1781164800004,2026-06-11 08:00:00,0.00005000,0.13321000
1781179200005,2026-06-11 12:00:00,0.00005000,0.13391434
1781193600000,2026-06-11 16:00:00,0.00005000,0.13284000
1781208000014,2026-06-11 20:00:00,0.00005000,0.13409000
1781222400000,2026-06-12 00:00:00,-0.00006914,0.13375000
1781236800000,2026-06-12 04:00:00,0.00005000,0.13238383
1781251200000,2026-06-12 08:00:00,0.00005000,0.13113000
1781265600000,2026-06-12 12:00:00,0.00005000,0.13235000
1781280000000,2026-06-12 16:00:00,0.00005000,0.13121000
1781294400000,2026-06-12 20:00:00,0.00005000,0.13088084
1781308800000,2026-06-13 00:00:00,0.00005000,0.13028000
1781323200000,2026-06-13 04:00:00,0.00005000,0.13021000
1781337600007,2026-06-13 08:00:00,0.00005000,0.13153227
1781352000004,2026-06-13 12:00:00,0.00005000,0.13110434
1781366400002,2026-06-13 16:00:00,0.00005000,0.13072000
1781380800004,2026-06-13 20:00:00,0.00005000,0.13037000
1781395200005,2026-06-14 00:00:00,0.00005000,0.13079116
1781409600012,2026-06-14 04:00:00,0.00005000,0.13104000
1781424000009,2026-06-14 08:00:00,0.00005000,0.13100000
1781438400000,2026-06-14 12:00:00,0.00005000,0.13298064
1781452800000,2026-06-14 16:00:00,0.00005000,0.13182700
1781467200010,2026-06-14 20:00:00,0.00005000,0.13655000
1781481600013,2026-06-15 00:00:00,0.00005000,0.14359953
1781496000001,2026-06-15 04:00:00,0.00005000,0.14153000
1781510400013,2026-06-15 08:00:00,0.00005000,0.13993092
1781524800000,2026-06-15 12:00:00,0.00005000,0.14132000
1781539200004,2026-06-15 16:00:00,0.00005000,0.14575124
1781553600002,2026-06-15 20:00:00,0.00005000,0.14309000
1781568000000,2026-06-16 00:00:00,0.00005000,0.14486000
1781582400000,2026-06-16 04:00:00,0.00005000,0.14380900
1781596800000,2026-06-16 08:00:00,0.00005000,0.14225000
1781611200000,2026-06-16 12:00:00,0.00005000,0.14161000
1781625600001,2026-06-16 16:00:00,0.00005000,0.13935293
1781640000000,2026-06-16 20:00:00,0.00005000,0.13951694
1781654400012,2026-06-17 00:00:00,0.00004581,0.14309000
1781668800000,2026-06-17 04:00:00,0.00005000,0.14437752
1781683200000,2026-06-17 08:00:00,0.00005000,0.14507696
1781697600000,2026-06-17 12:00:00,0.00005000,0.14543000
1781712000000,2026-06-17 16:00:00,0.00005000,0.14784298
1781726400000,2026-06-17 20:00:00,-0.00000187,0.14113000
1781740800002,2026-06-18 00:00:00,0.00005000,0.14166000
1781755200000,2026-06-18 04:00:00,0.00005000,0.14064201
1781769600000,2026-06-18 08:00:00,0.00005000,0.13955538
1781784000004,2026-06-18 12:00:00,0.00001330,0.13826178
1781798400001,2026-06-18 16:00:00,-0.00002201,0.13473555
1781812800000,2026-06-18 20:00:00,0.00005000,0.13624468
1781827200005,2026-06-19 00:00:00,-0.00000110,0.13591000
1781841600000,2026-06-19 04:00:00,0.00005000,0.13497000
1781856000001,2026-06-19 08:00:00,0.00002862,0.13452000
1781870400000,2026-06-19 12:00:00,0.00002226,0.13482000
1781884800001,2026-06-19 16:00:00,0.00001617,0.13446000
1781899200000,2026-06-19 20:00:00,-0.00006620,0.13514000
1781913600001,2026-06-20 00:00:00,-0.00001740,0.13507182
1781928000000,2026-06-20 04:00:00,-0.00000746,0.13505381
1781942400000,2026-06-20 08:00:00,0.00005000,0.13591243
1781956800001,2026-06-20 12:00:00,0.00005000,0.13586000
1781971200001,2026-06-20 16:00:00,0.00005000,0.13748000
1781985600000,2026-06-20 20:00:00,0.00005000,0.13551000
1782000000000,2026-06-21 00:00:00,0.00005000,0.13710366
1782014400000,2026-06-21 04:00:00,0.00005000,0.13781000
1782028800000,2026-06-21 08:00:00,0.00005000,0.13686610
1782043200001,2026-06-21 12:00:00,0.00005000,0.13685970
1782057600000,2026-06-21 16:00:00,0.00005000,0.13751761
1782072000004,2026-06-21 20:00:00,0.00005000,0.13696000
1782086400000,2026-06-22 00:00:00,0.00003469,0.13339000
1782100800000,2026-06-22 04:00:00,0.00004120,0.13482000
1782115200000,2026-06-22 08:00:00,0.00005000,0.13535000
1782129600000,2026-06-22 12:00:00,0.00005000,0.13821000
1782144000002,2026-06-22 16:00:00,0.00005000,0.13995000
1782158400000,2026-06-22 20:00:00,-0.00002368,0.14083680
1782172800003,2026-06-23 00:00:00,0.00005000,0.14068424
1782187200000,2026-06-23 04:00:00,-0.00001780,0.14033448
1782201600005,2026-06-23 08:00:00,0.00005000,0.13709922
1782216000000,2026-06-23 12:00:00,0.00004829,0.13383020
1782230400002,2026-06-23 16:00:00,-0.00000076,0.13351859
1782244800000,2026-06-23 20:00:00,0.00005000,0.13278000
1782259200005,2026-06-24 00:00:00,-0.00010688,0.13223000
1782288000005,2026-06-24 08:00:00,-0.00013687,0.13025748
1782302400005,2026-06-24 12:00:00,0.00002971,0.12987000
1782316800003,2026-06-24 16:00:00,-0.00002868,0.12362000
1782331200006,2026-06-24 20:00:00,0.00004987,0.11937967
1782345600000,2026-06-25 00:00:00,0.00005000,0.12568000
1782360000008,2026-06-25 04:00:00,0.00005000,0.12491433
1782374400000,2026-06-25 08:00:00,0.00005000,0.12934000
1782388800006,2026-06-25 12:00:00,0.00005000,0.12631000
1782403200000,2026-06-25 16:00:00,0.00005000,0.12072418
1782417600011,2026-06-25 20:00:00,0.00005000,0.11940000
1782432000010,2026-06-26 00:00:00,0.00005000,0.12119628
1782446400001,2026-06-26 04:00:00,0.00005000,0.12120000
