open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1749643200000,2025-06-11 12:00:00,0.5021000,0.5726000,0.5021000,0.5716000,25190474,1749657599999,2025-06-11 15:59:59,14106763.0613000,99936,12438232,6968388.0551000
1749657600000,2025-06-11 16:00:00,0.5717000,0.5757000,0.5515000,0.5618000,13911698,1749671999999,2025-06-11 19:59:59,7854183.2901000,49956,6518056,3678688.7236000
1749672000000,2025-06-11 20:00:00,0.5619000,0.5637000,0.5437000,0.5533000,9404836,1749686399999,2025-06-11 23:59:59,5194642.0180000,41351,4544616,2510983.3826000
1749686400000,2025-06-12 00:00:00,0.5530000,0.5691000,0.5456000,0.5636000,17315059,1749700799999,2025-06-12 03:59:59,9644045.7958000,63092,8922602,4969958.2381000
1749700800000,2025-06-12 04:00:00,0.5633000,0.5675000,0.5500000,0.5600000,14031108,1749715199999,2025-06-12 07:59:59,7858858.5613000,57609,6532624,3660674.5687000
1749715200000,2025-06-12 08:00:00,0.5600000,0.5630000,0.5453000,0.5454000,11507212,1749729599999,2025-06-12 11:59:59,6397156.8946000,42421,5599653,3114375.0009000
1749729600000,2025-06-12 12:00:00,0.5456000,0.5492000,0.5293000,0.5332000,10573574,1749743999999,2025-06-12 15:59:59,5713475.0588000,42288,5183249,2801741.8782000
1749744000000,2025-06-12 16:00:00,0.5331000,0.5352000,0.5250000,0.5279000,4800779,1749758399999,2025-06-12 19:59:59,2546625.7477000,27980,2427194,1288131.4709000
1749758400000,2025-06-12 20:00:00,0.5279000,0.5300000,0.5061000,0.5165000,4846278,1749772799999,2025-06-12 23:59:59,2506178.8797000,25841,2310924,1196255.4768000
1749772800000,2025-06-13 00:00:00,0.5163000,0.5179000,0.4679000,0.4864000,8975550,1749787199999,2025-06-13 03:59:59,4365232.5943000,40602,4428462,2151836.0332000
1749787200000,2025-06-13 04:00:00,0.4864000,0.4926000,0.4802000,0.4860000,4250794,1749801599999,2025-06-13 07:59:59,2065622.0656000,25372,2242249,1090201.7838000
1749801600000,2025-06-13 08:00:00,0.4861000,0.4872000,0.4633000,0.4710000,6504097,1749815999999,2025-06-13 11:59:59,3075171.9536000,29390,3400253,1607753.2981000
1749816000000,2025-06-13 12:00:00,0.4710000,0.4760000,0.4612000,0.4704000,4186945,1749830399999,2025-06-13 15:59:59,1966459.3073000,22292,2196439,1032234.5274000
1749830400000,2025-06-13 16:00:00,0.4702000,0.4748000,0.4620000,0.4646000,3717258,1749844799999,2025-06-13 19:59:59,1743658.9742000,20097,1957496,918319.0074000
1749844800000,2025-06-13 20:00:00,0.4646000,0.4735000,0.4642000,0.4718000,2330649,1749859199999,2025-06-13 23:59:59,1095587.3096000,15301,1192007,560381.5759000
1749859200000,2025-06-14 00:00:00,0.4718000,0.4732000,0.4516000,0.4604000,8392539,1749873599999,2025-06-14 03:59:59,3869208.0985000,36520,3929914,1812265.1320000
1749873600000,2025-06-14 04:00:00,0.4606000,0.4677000,0.4541000,0.4662000,10328513,1749887999999,2025-06-14 07:59:59,4752359.5517000,36952,5346106,2459901.8315000
1749888000000,2025-06-14 08:00:00,0.4663000,0.4663000,0.4548000,0.4610000,6051588,1749902399999,2025-06-14 11:59:59,2786051.6750000,24466,2994698,1379011.3894000
1749902400000,2025-06-14 12:00:00,0.4610000,0.4613000,0.4550000,0.4579000,6079414,1749916799999,2025-06-14 15:59:59,2779579.8100000,22995,2889911,1321257.8038000
1749916800000,2025-06-14 16:00:00,0.4579000,0.4610000,0.4493000,0.4512000,3807034,1749931199999,2025-06-14 19:59:59,1729168.0268000,20863,1771196,804601.0192000
1749931200000,2025-06-14 20:00:00,0.4511000,0.4645000,0.4502000,0.4585000,2527043,1749945599999,2025-06-14 23:59:59,1158543.2212000,15418,1354060,620465.3299000
1749945600000,2025-06-15 00:00:00,0.4585000,0.4595000,0.4527000,0.4554000,2647820,1749959999999,2025-06-15 03:59:59,1207764.0681000,13785,1326324,604993.0063000
1749960000000,2025-06-15 04:00:00,0.4555000,0.4587000,0.4520000,0.4557000,2619143,1749974399999,2025-06-15 07:59:59,1193670.6040000,14132,1229833,560475.9389000
1749974400000,2025-06-15 08:00:00,0.4557000,0.4634000,0.4525000,0.4589000,2743132,1749988799999,2025-06-15 11:59:59,1256652.6545000,15157,1360219,622921.0360000
1749988800000,2025-06-15 12:00:00,0.4589000,0.4637000,0.4517000,0.4564000,3873350,1750003199999,2025-06-15 15:59:59,1770038.1328000,22528,1752267,800702.4876000
1750003200000,2025-06-15 16:00:00,0.4564000,0.4656000,0.4553000,0.4611000,1851303,1750017599999,2025-06-15 19:59:59,850408.7264000,10188,891664,409926.8392000
1750017600000,2025-06-15 20:00:00,0.4611000,0.4669000,0.4589000,0.4663000,1920150,1750031999999,2025-06-15 23:59:59,886432.4371000,13185,1056137,487796.0806000
1750032000000,2025-06-16 00:00:00,0.4660000,0.4663000,0.4550000,0.4658000,2701365,1750046399999,2025-06-16 03:59:59,1242167.0175000,14017,1184609,544527.9833000
1750046400000,2025-06-16 04:00:00,0.4658000,0.4839000,0.4642000,0.4773000,6087808,1750060799999,2025-06-16 07:59:59,2900854.4213000,28342,2631223,1252511.2995000
1750060800000,2025-06-16 08:00:00,0.4772000,0.4788000,0.4666000,0.4666000,3010922,1750075199999,2025-06-16 11:59:59,1422466.5853000,16370,1259654,595114.0030000
1750075200000,2025-06-16 12:00:00,0.4671000,0.4694000,0.4595000,0.4668000,2762648,1750089599999,2025-06-16 15:59:59,1284280.1937000,12596,1394881,649014.2746000
1750089600000,2025-06-16 16:00:00,0.4669000,0.4673000,0.4615000,0.4626000,1613773,1750103999999,2025-06-16 19:59:59,748403.5017000,5387,852117,395132.4019000
1750104000000,2025-06-16 20:00:00,0.4627000,0.4662000,0.4443000,0.4476000,2635474,1750118399999,2025-06-16 23:59:59,1204253.2583000,9035,1222713,560100.6615000
1750118400000,2025-06-17 00:00:00,0.4476000,0.4580000,0.4403000,0.4574000,3194241,1750132799999,2025-06-17 03:59:59,1436110.5427000,13503,1553002,698415.6084000
1750132800000,2025-06-17 04:00:00,0.4575000,0.4577000,0.4435000,0.4449000,2065901,1750147199999,2025-06-17 07:59:59,928344.4039000,8649,926395,416001.1258000
1750147200000,2025-06-17 08:00:00,0.4447000,0.4447000,0.4379000,0.4417000,2149344,1750161599999,2025-06-17 11:59:59,947366.4268000,8158,1221559,538478.5954000
1750161600000,2025-06-17 12:00:00,0.4418000,0.4494000,0.4326000,0.4352000,3123578,1750175999999,2025-06-17 15:59:59,1378347.7665000,10360,1463506,646816.8127000
1750176000000,2025-06-17 16:00:00,0.4350000,0.4434000,0.4276000,0.4404000,2530762,1750190399999,2025-06-17 19:59:59,1096388.1410000,9992,1164604,504764.5997000
1750190400000,2025-06-17 20:00:00,0.4403000,0.4431000,0.4283000,0.4331000,1339655,1750204799999,2025-06-17 23:59:59,583178.6387000,6350,665450,289555.3803000
1750204800000,2025-06-18 00:00:00,0.4332000,0.4405000,0.4330000,0.4355000,1562434,1750219199999,2025-06-18 03:59:59,681584.2204000,6578,807681,352293.3741000
1750219200000,2025-06-18 04:00:00,0.4356000,0.4414000,0.4315000,0.4334000,1428396,1750233599999,2025-06-18 07:59:59,624269.5914000,5852,664820,290551.3876000
1750233600000,2025-06-18 08:00:00,0.4333000,0.4374000,0.4201000,0.4234000,2495152,1750247999999,2025-06-18 11:59:59,1066123.6334000,9970,1176509,502957.5408000
1750248000000,2025-06-18 12:00:00,0.4237000,0.4296000,0.4137000,0.4242000,3166093,1750262399999,2025-06-18 15:59:59,1336952.6164000,12185,1571273,662868.2929000
1750262400000,2025-06-18 16:00:00,0.4243000,0.4269000,0.4153000,0.4221000,2436217,1750276799999,2025-06-18 19:59:59,1027738.6475000,10518,1306890,551342.7232000
1750276800000,2025-06-18 20:00:00,0.4221000,0.4300000,0.4201000,0.4261000,845470,1750291199999,2025-06-18 23:59:59,360406.4285000,5771,425985,181474.4311000
1750291200000,2025-06-19 00:00:00,0.4260000,0.4287000,0.4181000,0.4201000,967394,1750305599999,2025-06-19 03:59:59,408026.5109000,6287,510654,215340.4045000
1750305600000,2025-06-19 04:00:00,0.4201000,0.4211000,0.4114000,0.4116000,1355036,1750319999999,2025-06-19 07:59:59,565005.2935000,6215,651316,271562.8757000
1750320000000,2025-06-19 08:00:00,0.4117000,0.4183000,0.4112000,0.4125000,2782948,1750334399999,2025-06-19 11:59:59,1150818.3124000,13837,1475941,610307.6432000
1750334400000,2025-06-19 12:00:00,0.4124000,0.4145000,0.4007000,0.4029000,3230260,1750348799999,2025-06-19 15:59:59,1322835.3382000,10073,1554343,636541.9153000
1750348800000,2025-06-19 16:00:00,0.4029000,0.4054000,0.3959000,0.3971000,2489244,1750363199999,2025-06-19 19:59:59,997711.3061000,12572,1261558,505999.8570000
1750363200000,2025-06-19 20:00:00,0.3971000,0.4101000,0.3970000,0.4037000,1199637,1750377599999,2025-06-19 23:59:59,484152.3325000,9918,619070,249864.6181000
1750377600000,2025-06-20 00:00:00,0.4038000,0.4041000,0.3884000,0.3896000,2973565,1750391999999,2025-06-20 03:59:59,1175000.0428000,10333,1267878,500801.8343000
1750392000000,2025-06-20 04:00:00,0.3895000,0.3984000,0.3836000,0.3957000,3898238,1750406399999,2025-06-20 07:59:59,1518530.3273000,12035,2142464,834087.7759000
1750406400000,2025-06-20 08:00:00,0.3957000,0.4006000,0.3923000,0.3951000,2020956,1750420799999,2025-06-20 11:59:59,799549.6991000,9171,1006248,398355.2434000
1750420800000,2025-06-20 12:00:00,0.3951000,0.4002000,0.3844000,0.3868000,2424359,1750435199999,2025-06-20 15:59:59,951545.4943000,9379,1271975,499545.6397000
1750435200000,2025-06-20 16:00:00,0.3868000,0.3877000,0.3758000,0.3796000,2628505,1750449599999,2025-06-20 19:59:59,1001152.2881000,10741,1216040,463257.8466000
1750449600000,2025-06-20 20:00:00,0.3796000,0.3838000,0.3768000,0.3818000,958603,1750463999999,2025-06-20 23:59:59,364741.7275000,5055,526088,200012.5761000
1750464000000,2025-06-21 00:00:00,0.3818000,0.3997000,0.3812000,0.3892000,3678033,1750478399999,2025-06-21 03:59:59,1443432.1207000,12431,1862863,730521.1772000
1750478400000,2025-06-21 04:00:00,0.3892000,0.3948000,0.3886000,0.3902000,1199791,1750492799999,2025-06-21 07:59:59,469379.7177000,5212,661608,258879.9475000
1750492800000,2025-06-21 08:00:00,0.3902000,0.3932000,0.3895000,0.3906000,1094188,1750507199999,2025-06-21 11:59:59,428324.1833000,4099,631920,247425.7293000
1750507200000,2025-06-21 12:00:00,0.3905000,0.3913000,0.3802000,0.3833000,2598179,1750521599999,2025-06-21 15:59:59,998833.7622000,7608,1224348,470995.2006000
1750521600000,2025-06-21 16:00:00,0.3833000,0.3843000,0.3769000,0.3776000,1631270,1750535999999,2025-06-21 19:59:59,620613.6520000,6332,786786,299296.5328000
1750536000000,2025-06-21 20:00:00,0.3776000,0.3808000,0.3637000,0.3707000,2778122,1750550399999,2025-06-21 23:59:59,1031616.2443000,8489,1461581,543376.6422000
1750550400000,2025-06-22 00:00:00,0.3709000,0.3758000,0.3600000,0.3621000,2758454,1750564799999,2025-06-22 03:59:59,1012795.6515000,10434,1165185,427770.8968000
1750564800000,2025-06-22 04:00:00,0.3622000,0.3662000,0.3574000,0.3595000,1900141,1750579199999,2025-06-22 07:59:59,686903.0027000,6888,833892,301883.2074000
1750579200000,2025-06-22 08:00:00,0.3595000,0.3636000,0.3573000,0.3592000,1693743,1750593599999,2025-06-22 11:59:59,609871.9064000,7172,915692,329794.0717000
1750593600000,2025-06-22 12:00:00,0.3593000,0.3620000,0.3436000,0.3473000,3408933,1750607999999,2025-06-22 15:59:59,1196208.0603000,11700,1755687,616134.9001000
1750608000000,2025-06-22 16:00:00,0.3473000,0.3540000,0.3471000,0.3483000,1423964,1750622399999,2025-06-22 19:59:59,498344.2719000,6232,755947,264601.2235000
1750622400000,2025-06-22 20:00:00,0.3483000,0.3609000,0.3417000,0.3595000,2050050,1750636799999,2025-06-22 23:59:59,723110.5771000,7869,1190720,420304.8900000
1750636800000,2025-06-23 00:00:00,0.3593000,0.3618000,0.3517000,0.3526000,1514179,1750651199999,2025-06-23 03:59:59,538566.9833000,5531,828056,294315.4780000
1750651200000,2025-06-23 04:00:00,0.3526000,0.3701000,0.3525000,0.3659000,2484896,1750665599999,2025-06-23 07:59:59,902198.2466000,8999,1413088,512530.5111000
1750665600000,2025-06-23 08:00:00,0.3659000,0.3663000,0.3597000,0.3642000,1743455,1750679999999,2025-06-23 11:59:59,633607.4600000,6421,904808,328968.5383000
1750680000000,2025-06-23 12:00:00,0.3643000,0.3746000,0.3612000,0.3623000,3425706,1750694399999,2025-06-23 15:59:59,1260824.5456000,10409,1936167,712708.6067000
1750694400000,2025-06-23 16:00:00,0.3623000,0.3729000,0.3517000,0.3718000,4103570,1750708799999,2025-06-23 19:59:59,1487473.4135000,11395,2095324,759837.3008000
1750708800000,2025-06-23 20:00:00,0.3718000,0.3926000,0.3702000,0.3887000,2755804,1750723199999,2025-06-23 23:59:59,1053022.1777000,11007,1416347,541095.5997000
1750723200000,2025-06-24 00:00:00,0.3887000,0.3912000,0.3844000,0.3846000,1538412,1750737599999,2025-06-24 03:59:59,595611.2284000,7042,812220,314541.6701000
1750737600000,2025-06-24 04:00:00,0.3848000,0.3939000,0.3832000,0.3859000,1716088,1750751999999,2025-06-24 07:59:59,666477.5832000,6589,923504,358509.4305000
1750752000000,2025-06-24 08:00:00,0.3859000,0.3864000,0.3782000,0.3792000,2507816,1750766399999,2025-06-24 11:59:59,956319.6842000,7740,1203685,459052.1344000
1750766400000,2025-06-24 12:00:00,0.3792000,0.3816000,0.3766000,0.3789000,2067599,1750780799999,2025-06-24 15:59:59,783818.1139000,8972,1013935,384483.5576000
1750780800000,2025-06-24 16:00:00,0.3791000,0.3895000,0.3769000,0.3798000,1504704,1750795199999,2025-06-24 19:59:59,575559.6829000,6359,816609,312604.9475000
1750795200000,2025-06-24 20:00:00,0.3797000,0.3857000,0.3786000,0.3833000,584153,1750809599999,2025-06-24 23:59:59,222961.7864000,4296,313651,119714.9011000
1750809600000,2025-06-25 00:00:00,0.3834000,0.3841000,0.3763000,0.3776000,1185439,1750823999999,2025-06-25 03:59:59,449532.0631000,4752,507095,192260.8163000
1750824000000,2025-06-25 04:00:00,0.3777000,0.3780000,0.3737000,0.3770000,956924,1750838399999,2025-06-25 07:59:59,359780.2229000,3890,465166,174968.2751000
1750838400000,2025-06-25 08:00:00,0.3771000,0.3789000,0.3711000,0.3764000,872451,1750852799999,2025-06-25 11:59:59,326484.1508000,3986,466657,174564.1502000
1750852800000,2025-06-25 12:00:00,0.3763000,0.3803000,0.3679000,0.3697000,2164554,1750867199999,2025-06-25 15:59:59,807981.7481000,7851,1023486,382046.3740000
1750867200000,2025-06-25 16:00:00,0.3697000,0.3746000,0.3674000,0.3729000,1151727,1750881599999,2025-06-25 19:59:59,427131.3854000,5288,504929,187203.8800000
1750881600000,2025-06-25 20:00:00,0.3728000,0.3760000,0.3683000,0.3715000,1060111,1750895999999,2025-06-25 23:59:59,394335.6514000,5059,610054,226988.7649000
