fundingTime,fundingTime_dt,fundingRate,markPrice
1590508800000,2020-05-26 16:00:00,0.00010000,
1590537600000,2020-05-27 00:00:00,0.00010000,
1590566400000,2020-05-27 08:00:00,0.00010000,
1590595200000,2020-05-27 16:00:00,-0.00740000,
1590624000000,2020-05-28 00:00:00,-0.00750000,
1590652800000,2020-05-28 08:00:00,0.00000000,
1590681600000,2020-05-28 16:00:00,-0.00750000,
1590710400000,2020-05-29 00:00:00,0.00000000,
1590739200000,2020-05-29 08:00:00,0.00010000,
1590768000000,2020-05-29 16:00:00,0.00010000,
1590796800000,2020-05-30 00:00:00,0.00010000,
1590825600001,2020-05-30 08:00:00,0.00049668,
1590854400000,2020-05-30 16:00:00,0.00050199,
1590883200000,2020-05-31 00:00:00,0.00105410,
1590912000001,2020-05-31 08:00:00,0.00010000,
1590940800000,2020-05-31 16:00:00,0.00010000,
1590969600000,2020-06-01 00:00:00,0.00010000,
1590998400001,2020-06-01 08:00:00,0.00052245,
1591027200000,2020-06-01 16:00:00,0.00010000,
1591056000000,2020-06-02 00:00:00,0.00010000,
1591084800002,2020-06-02 08:00:00,0.00010000,
1591113600000,2020-06-02 16:00:00,0.00074016,
1591142400000,2020-06-03 00:00:00,0.00010000,
1591171200000,2020-06-03 08:00:00,0.00010000,
1591200000002,2020-06-03 16:00:00,0.00010000,
1591228800001,2020-06-04 00:00:00,0.00010000,
1591257600004,2020-06-04 08:00:00,0.00010000,
1591286400001,2020-06-04 16:00:00,0.00010000,
1591315200001,2020-06-05 00:00:00,0.00062005,
1591344000000,2020-06-05 08:00:00,0.00081003,
1591372800001,2020-06-05 16:00:00,0.00010000,
1591401600000,2020-06-06 00:00:00,0.00010000,
1591430400000,2020-06-06 08:00:00,0.00040486,
1591459200000,2020-06-06 16:00:00,0.00042254,
1591488000000,2020-06-07 00:00:00,0.00018625,
1591516800000,2020-06-07 08:00:00,0.00207219,
1591545600006,2020-06-07 16:00:00,0.00010000,
1591574400008,2020-06-08 00:00:00,0.00010000,
1591603200007,2020-06-08 08:00:00,0.00010000,
1591632000000,2020-06-08 16:00:00,0.00046151,
1591660800000,2020-06-09 00:00:00,0.00203846,
1591689600000,2020-06-09 08:00:00,0.00126911,
1591718400000,2020-06-09 16:00:00,0.00080986,
1591747200000,2020-06-10 00:00:00,0.00072745,
1591776000000,2020-06-10 08:00:00,0.00188638,
1591804800000,2020-06-10 16:00:00,0.00040305,
1591833600008,2020-06-11 00:00:00,0.00071461,
1591862400001,2020-06-11 08:00:00,0.00103046,
1591891200000,2020-06-11 16:00:00,0.00010000,
1591920000003,2020-06-12 00:00:00,0.00010000,
1591948800000,2020-06-12 08:00:00,0.00010000,
1591977600002,2020-06-12 16:00:00,0.00010000,
1592006400000,2020-06-13 00:00:00,0.00010000,
1592035200001,2020-06-13 08:00:00,-0.00058820,
1592064000000,2020-06-13 16:00:00,0.00010000,
1592092800007,2020-06-14 00:00:00,0.00073396,
1592121600000,2020-06-14 08:00:00,0.00010000,
1592150400001,2020-06-14 16:00:00,0.00010000,
1592179200000,2020-06-15 00:00:00,0.00010000,
1592208000001,2020-06-15 08:00:00,0.00010000,
1592236800000,2020-06-15 16:00:00,0.00010000,
1592265600002,2020-06-16 00:00:00,0.00010000,
1592294400000,2020-06-16 08:00:00,0.00003351,
1592323200006,2020-06-16 16:00:00,0.00010000,
1592352000000,2020-06-17 00:00:00,0.00010000,
1592380800007,2020-06-17 08:00:00,0.00010000,
1592409600000,2020-06-17 16:00:00,0.00010000,
1592438400003,2020-06-18 00:00:00,0.00010000,
1592467200001,2020-06-18 08:00:00,0.00010000,
1592496000002,2020-06-18 16:00:00,0.00050575,
1592524800001,2020-06-19 00:00:00,0.00108222,
1592553600003,2020-06-19 08:00:00,0.00010000,
1592582400000,2020-06-19 16:00:00,0.00015341,
1592611200000,2020-06-20 00:00:00,0.00014551,
1592640000009,2020-06-20 08:00:00,0.00010000,
1592668800006,2020-06-20 16:00:00,0.00010000,
1592697600000,2020-06-21 00:00:00,0.00010000,
1592726400000,2020-06-21 08:00:00,0.00081647,
1592755200000,2020-06-21 16:00:00,0.00010000,
1592784000000,2020-06-22 00:00:00,0.00010000,
1592812800000,2020-06-22 08:00:00,0.00092040,
1592841600001,2020-06-22 16:00:00,0.00010000,
1592870400000,2020-06-23 00:00:00,0.00010000,
1592899200002,2020-06-23 08:00:00,-0.00005060,
1592928000000,2020-06-23 16:00:00,0.00014050,
1592956800001,2020-06-24 00:00:00,0.00010000,
1592985600000,2020-06-24 08:00:00,0.00010000,
1593014400000,2020-06-24 16:00:00,0.00010000,
1593043200000,2020-06-25 00:00:00,0.00010000,
1593072000000,2020-06-25 08:00:00,0.00010000,
1593100800000,2020-06-25 16:00:00,0.00010000,
1593129600000,2020-06-26 00:00:00,0.00022446,
1593158400000,2020-06-26 08:00:00,0.00010000,
1593187200000,2020-06-26 16:00:00,0.00010000,
1593216000003,2020-06-27 00:00:00,0.00010000,
1593244800004,2020-06-27 08:00:00,0.00033826,
1593273600000,2020-06-27 16:00:00,0.00014789,
1593302400003,2020-06-28 00:00:00,0.00010000,
1593331200001,2020-06-28 08:00:00,-0.00018753,
1593360000000,2020-06-28 16:00:00,0.00010000,
1593388800000,2020-06-29 00:00:00,0.00002219,
1593417600005,2020-06-29 08:00:00,-0.00072024,
1593446400000,2020-06-29 16:00:00,0.00010000,
1593475200000,2020-06-30 00:00:00,0.00010000,
1593504000001,2020-06-30 08:00:00,-0.00004921,
1593532800002,2020-06-30 16:00:00,0.00010000,
1593561600002,2020-07-01 00:00:00,0.00010000,
1593590400000,2020-07-01 08:00:00,0.00010000,
1593619200000,2020-07-01 16:00:00,0.00010000,
1593648000001,2020-07-02 00:00:00,0.00010000,
1593676800001,2020-07-02 08:00:00,0.00010000,
1593705600000,2020-07-02 16:00:00,0.00010000,
1593734400000,2020-07-03 00:00:00,0.00010944,
1593763200001,2020-07-03 08:00:00,0.00076450,
1593792000000,2020-07-03 16:00:00,0.00109458,
1593820800002,2020-07-04 00:00:00,0.00065438,
1593849600002,2020-07-04 08:00:00,0.00061731,
1593878400001,2020-07-04 16:00:00,0.00098570,
1593907200000,2020-07-05 00:00:00,0.00130310,
1593936000000,2020-07-05 08:00:00,0.00036780,
1593964800000,2020-07-05 16:00:00,0.00059605,
1593993600000,2020-07-06 00:00:00,0.00059129,
1594022400001,2020-07-06 08:00:00,0.00153798,
1594051200000,2020-07-06 16:00:00,0.00159245,
1594080000000,2020-07-07 00:00:00,0.00062690,
1594108800006,2020-07-07 08:00:00,0.00158621,
1594137600000,2020-07-07 16:00:00,0.00071024,
1594166400000,2020-07-08 00:00:00,0.00050162,
1594195200000,2020-07-08 08:00:00,0.00126190,
1594224000000,2020-07-08 16:00:00,0.00029944,
1594252800001,2020-07-09 00:00:00,0.00016018,
1594281600002,2020-07-09 08:00:00,0.00091873,
1594310400000,2020-07-09 16:00:00,0.00101877,
1594339200000,2020-07-10 00:00:00,0.00085828,
1594368000001,2020-07-10 08:00:00,0.00010000,
1594396800000,2020-07-10 16:00:00,0.00010766,
1594425600000,2020-07-11 00:00:00,0.00046350,
1594454400000,2020-07-11 08:00:00,0.00061265,
1594483200000,2020-07-11 16:00:00,0.00061997,
1594512000000,2020-07-12 00:00:00,0.00048081,
1594540800000,2020-07-12 08:00:00,0.00051566,
1594569600000,2020-07-12 16:00:00,0.00033297,
1594598400000,2020-07-13 00:00:00,0.00034144,
1594627200001,2020-07-13 08:00:00,0.00174256,
1594656000000,2020-07-13 16:00:00,0.00119477,
1594684800001,2020-07-14 00:00:00,0.00010000,
1594713600000,2020-07-14 08:00:00,0.00010000,
1594742400000,2020-07-14 16:00:00,0.00026585,
1594771200000,2020-07-15 00:00:00,0.00090868,
1594800000000,2020-07-15 08:00:00,0.00141175,
1594828800000,2020-07-15 16:00:00,0.00031150,
1594857600000,2020-07-16 00:00:00,0.00010864,
1594886400002,2020-07-16 08:00:00,0.00010000,
1594915200001,2020-07-16 16:00:00,0.00010000,
1594944000001,2020-07-17 00:00:00,0.00010000,
1594972800000,2020-07-17 08:00:00,0.00010000,
1595001600000,2020-07-17 16:00:00,0.00010000,
1595030400003,2020-07-18 00:00:00,0.00010000,
1595059200001,2020-07-18 08:00:00,0.00010000,
1595088000000,2020-07-18 16:00:00,0.00010000,
1595116800000,2020-07-19 00:00:00,0.00010000,
1595145600000,2020-07-19 08:00:00,0.00010000,
1595174400000,2020-07-19 16:00:00,0.00010000,
1595203200000,2020-07-20 00:00:00,0.00010000,
1595232000000,2020-07-20 08:00:00,0.00034145,
1595260800001,2020-07-20 16:00:00,0.00010000,
1595289600000,2020-07-21 00:00:00,0.00010000,
1595318400001,2020-07-21 08:00:00,0.00010000,
1595347200004,2020-07-21 16:00:00,0.00010000,
1595376000000,2020-07-22 00:00:00,0.00010000,
1595404800000,2020-07-22 08:00:00,0.00053073,
1595433600000,2020-07-22 16:00:00,0.00053743,
1595462400001,2020-07-23 00:00:00,0.00075900,
1595491200000,2020-07-23 08:00:00,0.00032380,
1595520000001,2020-07-23 16:00:00,0.00010000,
1595548800000,2020-07-24 00:00:00,0.00059623,
1595577600000,2020-07-24 08:00:00,0.00065543,
1595606400000,2020-07-24 16:00:00,0.00010000,
1595635200000,2020-07-25 00:00:00,0.00010000,
1595664000001,2020-07-25 08:00:00,0.00010000,
1595692800000,2020-07-25 16:00:00,0.00095076,
1595721600000,2020-07-26 00:00:00,0.00049556,
1595750400000,2020-07-26 08:00:00,0.00089967,
1595779200000,2020-07-26 16:00:00,0.00042176,
1595808000000,2020-07-27 00:00:00,0.00097207,
1595836800000,2020-07-27 08:00:00,0.00083765,
