fundingTime,fundingTime_dt,fundingRate,markPrice
1717084800000,2024-05-30 16:00:00,0.00069091,0.00652797
1717099200001,2024-05-30 20:00:00,0.00041498,0.00645800
1717113600000,2024-05-31 00:00:00,0.00017028,0.00606911
1717128000000,2024-05-31 04:00:00,0.00016997,0.00610047
1717142400000,2024-05-31 08:00:00,0.00005000,0.00653080
1717156800001,2024-05-31 12:00:00,0.00005000,0.00720100
1717171200000,2024-05-31 16:00:00,0.00006767,0.00822726
1717185600000,2024-05-31 20:00:00,0.00027925,0.00831193
1717200000000,2024-06-01 00:00:00,0.00005000,0.00774795
1717214400000,2024-06-01 04:00:00,0.00005000,0.00788545
1717228800000,2024-06-01 08:00:00,0.00008209,0.00768000
1717243200000,2024-06-01 12:00:00,0.00005000,0.00778100
1717257600001,2024-06-01 16:00:00,0.00040567,0.00716400
1717272000000,2024-06-01 20:00:00,0.00005000,0.00736900
1717286400000,2024-06-02 00:00:00,0.00063656,0.00697000
1717300800000,2024-06-02 04:00:00,0.00005000,0.00756100
1717315200000,2024-06-02 08:00:00,0.00042202,0.00704700
1717329600000,2024-06-02 12:00:00,0.00021450,0.00726519
1717344000000,2024-06-02 16:00:00,0.00069095,0.00695969
1717358400001,2024-06-02 20:00:00,0.00051876,0.00659246
1717372800000,2024-06-03 00:00:00,0.00010550,0.00663461
1717387200000,2024-06-03 04:00:00,0.00031697,0.00655514
1717401600000,2024-06-03 08:00:00,0.00011077,0.00662900
1717416000000,2024-06-03 12:00:00,0.00038702,0.00655190
1717430400000,2024-06-03 16:00:00,0.00066544,0.00627148
1717444800000,2024-06-03 20:00:00,0.00005000,0.00654800
1717459200000,2024-06-04 00:00:00,0.00006550,0.00634800
1717473600000,2024-06-04 04:00:00,0.00038178,0.00625918
1717488000000,2024-06-04 08:00:00,0.00054360,0.00609085
1717502400001,2024-06-04 12:00:00,0.00005000,0.00661400
1717516800000,2024-06-04 16:00:00,0.00015312,0.00658500
1717531200000,2024-06-04 20:00:00,0.00016684,0.00665600
1717545600000,2024-06-05 00:00:00,0.00014635,0.00643900
1717560000000,2024-06-05 04:00:00,0.00042510,0.00630643
1717574400000,2024-06-05 08:00:00,0.00040134,0.00625500
1717588800001,2024-06-05 12:00:00,0.00020281,0.00628200
1717603200000,2024-06-05 16:00:00,0.00047865,0.00606600
1717617600000,2024-06-05 20:00:00,0.00046804,0.00606500
1717632000000,2024-06-06 00:00:00,0.00062270,0.00603800
1717646400000,2024-06-06 04:00:00,0.00047343,0.00611600
1717660800008,2024-06-06 08:00:00,0.00019782,0.00630100
1717675200000,2024-06-06 12:00:00,0.00037073,0.00597747
1717689600000,2024-06-06 16:00:00,0.00051445,0.00638956
1717704000000,2024-06-06 20:00:00,0.00005000,0.00611300
1717718400000,2024-06-07 00:00:00,0.00021497,0.00617962
1717732800002,2024-06-07 04:00:00,0.00028843,0.00609428
1717747200000,2024-06-07 08:00:00,0.00043790,0.00605200
1717761600000,2024-06-07 12:00:00,0.00028267,0.00601858
1717776000000,2024-06-07 16:00:00,0.00021834,0.00602088
1717790400000,2024-06-07 20:00:00,0.00005000,0.00492900
1717804800000,2024-06-08 00:00:00,0.00005000,0.00519055
1717819200000,2024-06-08 04:00:00,0.00005000,0.00538789
1717833600000,2024-06-08 08:00:00,0.00005000,0.00540795
1717848000000,2024-06-08 12:00:00,0.00005000,0.00529949
1717862400000,2024-06-08 16:00:00,0.00005000,0.00524557
1717876800000,2024-06-08 20:00:00,0.00005000,0.00534256
1717891200000,2024-06-09 00:00:00,0.00005000,0.00511665
1717905600000,2024-06-09 04:00:00,0.00005000,0.00512451
1717920000000,2024-06-09 08:00:00,0.00005000,0.00511800
1717934400000,2024-06-09 12:00:00,0.00005000,0.00531356
1717948800001,2024-06-09 16:00:00,-0.00017024,0.00669724
1717963200000,2024-06-09 20:00:00,0.00005000,0.00621000
1717977600000,2024-06-10 00:00:00,-0.00024656,0.00657200
1717992000000,2024-06-10 04:00:00,0.00005000,0.00637100
1718006400000,2024-06-10 08:00:00,0.00005000,0.00606364
1718020800000,2024-06-10 12:00:00,0.00005000,0.00607100
1718035200001,2024-06-10 16:00:00,0.00005000,0.00613718
1718049600000,2024-06-10 20:00:00,0.00005000,0.00596790
1718064000001,2024-06-11 00:00:00,0.00005000,0.00572200
1718078400000,2024-06-11 04:00:00,0.00005000,0.00555406
1718092800000,2024-06-11 08:00:00,0.00005000,0.00544251
1718107200001,2024-06-11 12:00:00,0.00005000,0.00540261
1718121600000,2024-06-11 16:00:00,0.00005000,0.00522500
1718136000000,2024-06-11 20:00:00,0.00005000,0.00538118
1718150400000,2024-06-12 00:00:00,0.00005000,0.00531597
1718164800000,2024-06-12 04:00:00,0.00005000,0.00523800
1718179200000,2024-06-12 08:00:00,0.00005000,0.00528700
1718193600001,2024-06-12 12:00:00,0.00005000,0.00518219
1718208000000,2024-06-12 16:00:00,0.00005000,0.00538726
1718222400000,2024-06-12 20:00:00,0.00005469,0.00497503
1718236800000,2024-06-13 00:00:00,0.00005000,0.00513492
1718251200000,2024-06-13 04:00:00,0.00005000,0.00493169
1718265600001,2024-06-13 08:00:00,0.00005000,0.00494900
1718280000000,2024-06-13 12:00:00,0.00005000,0.00492560
1718294400000,2024-06-13 16:00:00,0.00012360,0.00463000
1718308800000,2024-06-13 20:00:00,0.00005000,0.00473590
1718323200000,2024-06-14 00:00:00,0.00005000,0.00473439
1718337600000,2024-06-14 04:00:00,0.00005000,0.00482737
1718352000000,2024-06-14 08:00:00,0.00005000,0.00479700
1718366400001,2024-06-14 12:00:00,0.00005000,0.00496800
1718380800000,2024-06-14 16:00:00,0.00005000,0.00486100
1718395200000,2024-06-14 20:00:00,0.00005000,0.00466000
1718409600000,2024-06-15 00:00:00,0.00005000,0.00473100
1718424000000,2024-06-15 04:00:00,0.00005000,0.00463372
1718438400000,2024-06-15 08:00:00,0.00005000,0.00460930
1718452800000,2024-06-15 12:00:00,0.00005000,0.00465500
1718467200000,2024-06-15 16:00:00,0.00005000,0.00482029
1718481600000,2024-06-15 20:00:00,0.00005000,0.00461692
1718496000001,2024-06-16 00:00:00,0.00005000,0.00462000
1718510400000,2024-06-16 04:00:00,0.00005000,0.00448523
1718524800000,2024-06-16 08:00:00,0.00005000,0.00459668
1718539200000,2024-06-16 12:00:00,0.00005000,0.00455646
1718553600000,2024-06-16 16:00:00,0.00005000,0.00461900
1718568000000,2024-06-16 20:00:00,0.00005000,0.00464992
1718582400000,2024-06-17 00:00:00,0.00005000,0.00463253
1718596800000,2024-06-17 04:00:00,0.00005000,0.00430426
1718611200000,2024-06-17 08:00:00,0.00007477,0.00414700
1718625600000,2024-06-17 12:00:00,0.00005000,0.00408923
1718640000000,2024-06-17 16:00:00,0.00021879,0.00401060
1718654400000,2024-06-17 20:00:00,0.00005000,0.00420575
1718668800000,2024-06-18 00:00:00,0.00005000,0.00399200
1718683200000,2024-06-18 04:00:00,0.00005000,0.00377382
1718697600000,2024-06-18 08:00:00,0.00005000,0.00379241
1718712000000,2024-06-18 12:00:00,0.00005000,0.00390558
1718726400000,2024-06-18 16:00:00,0.00005000,0.00373800
1718740800000,2024-06-18 20:00:00,0.00005000,0.00362412
1718755200001,2024-06-19 00:00:00,0.00005000,0.00377900
1718769600000,2024-06-19 04:00:00,0.00005000,0.00383907
1718784000001,2024-06-19 08:00:00,0.00001898,0.00416647
1718798400000,2024-06-19 12:00:00,-0.00016593,0.00443604
1718812800000,2024-06-19 16:00:00,0.00005000,0.00446139
1718827200000,2024-06-19 20:00:00,-0.00038462,0.00494600
