open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1743105600000,2025-03-27 20:00:00,0.01261000,0.05800000,0.01261000,0.04777000,537098291.00000000,1743119999999,2025-03-27 23:59:59,24696770.55506000,108658,260837989.00000000,12016320.51919000
1743120000000,2025-03-28 00:00:00,0.04777000,0.05480000,0.04282000,0.04408000,435405046.00000000,1743134399999,2025-03-28 03:59:59,20680712.57525000,99601,203288551.00000000,9687251.42350000
1743134400000,2025-03-28 04:00:00,0.04408000,0.04409000,0.03550000,0.03806000,354812800.00000000,1743148799999,2025-03-28 07:59:59,13749032.81607000,75077,173341904.00000000,6691353.30898000
1743148800000,2025-03-28 08:00:00,0.03809000,0.04000000,0.03606000,0.03816000,264424898.00000000,1743163199999,2025-03-28 11:59:59,10092687.76171000,47435,133871506.00000000,5121313.63044000
1743163200000,2025-03-28 12:00:00,0.03823000,0.04470000,0.03703000,0.04176000,394711167.00000000,1743177599999,2025-03-28 15:59:59,16217823.40194000,90552,201870905.00000000,8306034.93133000
1743177600000,2025-03-28 16:00:00,0.04177000,0.04331000,0.03832000,0.04020000,278488527.00000000,1743191999999,2025-03-28 19:59:59,11344537.30067000,62814,141060905.00000000,5745843.26059000
1743192000000,2025-03-28 20:00:00,0.04023000,0.04250000,0.03908000,0.04172000,150889834.00000000,1743206399999,2025-03-28 23:59:59,6147066.53802000,39517,78089411.00000000,3184673.62436000
1743206400000,2025-03-29 00:00:00,0.04170000,0.04620000,0.03941000,0.04302000,211518174.00000000,1743220799999,2025-03-29 03:59:59,8895290.84397000,60914,114988780.00000000,4856746.11925000
1743220800000,2025-03-29 04:00:00,0.04300000,0.04558000,0.04115000,0.04333000,262942485.00000000,1743235199999,2025-03-29 07:59:59,11460272.23998000,67682,125163846.00000000,5460358.20022000
1743235200000,2025-03-29 08:00:00,0.04333000,0.05550000,0.04240000,0.04898000,505395931.00000000,1743249599999,2025-03-29 11:59:59,25121331.04900000,148331,256221026.00000000,12721775.18423000
1743249600000,2025-03-29 12:00:00,0.04909000,0.05030000,0.04467000,0.04568000,267016726.00000000,1743263999999,2025-03-29 15:59:59,12577135.98721000,64367,128074196.00000000,6037042.70173000
1743264000000,2025-03-29 16:00:00,0.04566000,0.04804000,0.03985000,0.04004000,292062906.00000000,1743278399999,2025-03-29 19:59:59,12563855.62739000,70213,140227519.00000000,6041687.27989000
1743278400000,2025-03-29 20:00:00,0.04006000,0.04040000,0.03728000,0.03988000,141362953.00000000,1743292799999,2025-03-29 23:59:59,5480515.91024000,40016,66231104.00000000,2568703.95516000
1743292800000,2025-03-30 00:00:00,0.03987000,0.04250000,0.03812000,0.04020000,175307570.00000000,1743307199999,2025-03-30 03:59:59,7058998.83915000,49031,79370266.00000000,3199672.11172000
1743307200000,2025-03-30 04:00:00,0.04020000,0.04481000,0.03919000,0.04024000,171545011.00000000,1743321599999,2025-03-30 07:59:59,7165809.60088000,43722,82209344.00000000,3447116.66660000
1743321600000,2025-03-30 08:00:00,0.04023000,0.04128000,0.03723000,0.03866000,125892178.00000000,1743335999999,2025-03-30 11:59:59,4953793.80061000,32793,61633094.00000000,2422452.17367000
1743336000000,2025-03-30 12:00:00,0.03866000,0.04116000,0.03644000,0.03772000,191807807.00000000,1743350399999,2025-03-30 15:59:59,7279317.90168000,43623,92019824.00000000,3500625.51161000
1743350400000,2025-03-30 16:00:00,0.03772000,0.04016000,0.03626000,0.03941000,111702937.00000000,1743364799999,2025-03-30 19:59:59,4288952.31413000,28625,64266726.00000000,2462826.57683000
1743364800000,2025-03-30 20:00:00,0.03940000,0.04088000,0.03854000,0.03998000,63370190.00000000,1743379199999,2025-03-30 23:59:59,2510549.62999000,23674,30806574.00000000,1219975.40900000
1743379200000,2025-03-31 00:00:00,0.03998000,0.04028000,0.03788000,0.03925000,97316367.00000000,1743393599999,2025-03-31 03:59:59,3796209.96881000,31526,48171957.00000000,1878879.92099000
1743393600000,2025-03-31 04:00:00,0.03925000,0.04188000,0.03907000,0.04086000,116835496.00000000,1743407999999,2025-03-31 07:59:59,4742036.58186000,33943,59260365.00000000,2406832.54443000
1743408000000,2025-03-31 08:00:00,0.04085000,0.04336000,0.04023000,0.04190000,185294423.00000000,1743422399999,2025-03-31 11:59:59,7709569.92496000,43197,80709329.00000000,3365300.03916000
1743422400000,2025-03-31 12:00:00,0.04192000,0.05000000,0.03947000,0.04253000,381380288.00000000,1743436799999,2025-03-31 15:59:59,16867676.14334000,92731,189585981.00000000,8423757.08416000
1743436800000,2025-03-31 16:00:00,0.04250000,0.04323000,0.04069000,0.04128000,91369977.00000000,1743451199999,2025-03-31 19:59:59,3820377.50145000,27111,41631120.00000000,1742389.42497000
1743451200000,2025-03-31 20:00:00,0.04130000,0.04145000,0.04009000,0.04032000,48641412.00000000,1743465599999,2025-03-31 23:59:59,1982419.25976000,14698,20514965.00000000,836825.84595000
1743465600000,2025-04-01 00:00:00,0.04034000,0.04074000,0.03956000,0.04020000,40454402.00000000,1743479999999,2025-04-01 03:59:59,1625216.08317000,13051,18185077.00000000,731220.98618000
1743480000000,2025-04-01 04:00:00,0.04021000,0.04064000,0.03866000,0.03895000,71691285.00000000,1743494399999,2025-04-01 07:59:59,2846808.09695000,20556,33563642.00000000,1334812.04553000
1743494400000,2025-04-01 08:00:00,0.03895000,0.03983000,0.03647000,0.03693000,139008375.00000000,1743508799999,2025-04-01 11:59:59,5320276.24175000,30452,64408819.00000000,2467702.42834000
1743508800000,2025-04-01 12:00:00,0.03692000,0.03960000,0.03466000,0.03722000,185419010.00000000,1743523199999,2025-04-01 15:59:59,6708455.70299000,36526,84649283.00000000,3073145.17533000
1743523200000,2025-04-01 16:00:00,0.03724000,0.03798000,0.03643000,0.03654000,62041731.00000000,1743537599999,2025-04-01 19:59:59,2301586.96374000,13830,25866927.00000000,960114.10065000
1743537600000,2025-04-01 20:00:00,0.03656000,0.03680000,0.03436000,0.03442000,46385122.00000000,1743551999999,2025-04-01 23:59:59,1647123.42274000,12619,18957230.00000000,669761.62042000
1743552000000,2025-04-02 00:00:00,0.03443000,0.03449000,0.03086000,0.03129000,130885545.00000000,1743566399999,2025-04-02 03:59:59,4220691.32094000,30868,59154286.00000000,1898774.85260000
1743566400000,2025-04-02 04:00:00,0.03129000,0.03143000,0.02803000,0.02897000,158044305.00000000,1743580799999,2025-04-02 07:59:59,4675675.79329000,29143,68218787.00000000,2015946.32100000
1743580800000,2025-04-02 08:00:00,0.02905000,0.03040000,0.02821000,0.02832000,103842617.00000000,1743595199999,2025-04-02 11:59:59,3018040.21313000,20061,49593788.00000000,1444284.42156000
1743595200000,2025-04-02 12:00:00,0.02833000,0.02897000,0.02733000,0.02837000,119956539.00000000,1743609599999,2025-04-02 15:59:59,3383321.35861000,19442,58890808.00000000,1660659.75956000
