fundingTime,fundingTime_dt,fundingRate,markPrice
1698998400000,2023-11-03 08:00:00,0.00010000,1.27537604
1699027200000,2023-11-03 16:00:00,0.00005000,1.23553812
1699041600001,2023-11-03 20:00:00,0.00005000,1.21937853
1699056000000,2023-11-04 00:00:00,0.00008312,1.22200682
1699070400000,2023-11-04 04:00:00,0.00025025,1.22707320
1699084800000,2023-11-04 08:00:00,0.00023637,1.22560000
1699099200000,2023-11-04 12:00:00,0.00039416,1.27233491
1699113600000,2023-11-04 16:00:00,0.00005000,1.29409054
1699128000001,2023-11-04 20:00:00,0.00010206,1.29993173
1699142400000,2023-11-05 00:00:00,0.00012665,1.30963133
1699156800000,2023-11-05 04:00:00,0.00030175,1.33435951
1699171200000,2023-11-05 08:00:00,0.00016815,1.32008891
1699185600000,2023-11-05 12:00:00,0.00005000,1.31378166
1699200000000,2023-11-05 16:00:00,0.00009699,1.31019577
1699214400001,2023-11-05 20:00:00,0.00005000,1.31754884
1699228800000,2023-11-06 00:00:00,0.00021517,1.31989570
1699243200000,2023-11-06 04:00:00,0.00044623,1.45330000
1699257600001,2023-11-06 08:00:00,0.00034324,1.47923478
1699272000000,2023-11-06 12:00:00,0.00005000,1.45460000
1699286400000,2023-11-06 16:00:00,0.00062446,1.62751104
1699300800000,2023-11-06 20:00:00,0.00064248,1.64045080
1699315200001,2023-11-07 00:00:00,0.00025875,1.67902385
1699329600000,2023-11-07 04:00:00,0.00037535,1.56763539
1699344000000,2023-11-07 08:00:00,0.00027825,1.60443982
1699358400000,2023-11-07 12:00:00,0.00012600,1.67670000
1699372800000,2023-11-07 16:00:00,0.00020270,1.67908507
1699387200001,2023-11-07 20:00:00,0.00020979,1.78500000
1699401600000,2023-11-08 00:00:00,0.00005000,1.73207520
1699416000000,2023-11-08 04:00:00,0.00006763,1.70790000
1699430400000,2023-11-08 08:00:00,0.00005000,1.43421291
1699444800000,2023-11-08 12:00:00,0.00005000,1.47950000
1699459200000,2023-11-08 16:00:00,0.00005000,1.44776959
1699473600001,2023-11-08 20:00:00,0.00005000,1.47930000
1699488000000,2023-11-09 00:00:00,0.00005000,1.47819741
1699502400000,2023-11-09 04:00:00,0.00005000,1.47558101
1699516800000,2023-11-09 08:00:00,0.00005000,1.51529447
1699531200000,2023-11-09 12:00:00,0.00005000,1.48830000
1699545600000,2023-11-09 16:00:00,0.00005000,1.43971379
1699560000000,2023-11-09 20:00:00,0.00005000,1.32498173
1699574400000,2023-11-10 00:00:00,0.00005000,1.35620444
1699588800000,2023-11-10 04:00:00,0.00005000,1.35480000
1699603200000,2023-11-10 08:00:00,0.00007389,1.33879894
1699617600000,2023-11-10 12:00:00,0.00006858,1.34727010
1699632000000,2023-11-10 16:00:00,0.00005000,1.29983356
1699646400000,2023-11-10 20:00:00,0.00005000,1.34840000
1699660800000,2023-11-11 00:00:00,0.00013580,1.34710000
1699675200000,2023-11-11 04:00:00,0.00005000,1.33410000
1699689600000,2023-11-11 08:00:00,0.00005000,1.33777013
1699704000000,2023-11-11 12:00:00,0.00009651,1.34180000
1699718400000,2023-11-11 16:00:00,0.00025350,1.37430000
1699732800000,2023-11-11 20:00:00,0.00036540,1.38093056
1699747200000,2023-11-12 00:00:00,0.00008376,1.35000000
1699761600000,2023-11-12 04:00:00,0.00005000,1.33505428
1699776000000,2023-11-12 08:00:00,0.00012209,1.35530000
1699790400000,2023-11-12 12:00:00,0.00010465,1.35022429
1699804800001,2023-11-12 16:00:00,0.00009011,1.33770000
1699819200000,2023-11-12 20:00:00,0.00016254,1.33580000
1699833600000,2023-11-13 00:00:00,0.00009858,1.32939085
1699848000000,2023-11-13 04:00:00,0.00013250,1.30449065
1699862400000,2023-11-13 08:00:00,0.00005000,1.31240000
1699876800000,2023-11-13 12:00:00,0.00005000,1.30633898
1699891200000,2023-11-13 16:00:00,0.00005000,1.29510000
1699905600000,2023-11-13 20:00:00,0.00005832,1.27718390
1699920000000,2023-11-14 00:00:00,0.00006588,1.23542644
1699934400000,2023-11-14 04:00:00,0.00005000,1.23600000
1699948800000,2023-11-14 08:00:00,0.00005000,1.25562282
1699963200000,2023-11-14 12:00:00,0.00005000,1.20870000
1699977600001,2023-11-14 16:00:00,0.00005000,1.20909414
1699992000001,2023-11-14 20:00:00,0.00005000,1.16617780
1700006400000,2023-11-15 00:00:00,0.00005000,1.18160000
1700020800000,2023-11-15 04:00:00,0.00005000,1.20287628
1700035200000,2023-11-15 08:00:00,0.00005000,1.23043860
1700049600000,2023-11-15 12:00:00,0.00005000,1.24326274
1700064000000,2023-11-15 16:00:00,0.00005000,1.22590000
1700078400000,2023-11-15 20:00:00,0.00005000,1.23920000
1700092800000,2023-11-16 00:00:00,0.00005000,1.23432097
1700107200000,2023-11-16 04:00:00,0.00005000,1.25060000
1700121600000,2023-11-16 08:00:00,0.00005000,1.28827927
1700136000000,2023-11-16 12:00:00,0.00005000,1.27748321
1700150400001,2023-11-16 16:00:00,0.00005000,1.25382144
1700164800000,2023-11-16 20:00:00,0.00005000,1.22795529
1700179200000,2023-11-17 00:00:00,0.00005000,1.21418137
1700193600000,2023-11-17 04:00:00,0.00005000,1.24470000
1700208000001,2023-11-17 08:00:00,0.00005000,1.20790000
1700222400000,2023-11-17 12:00:00,0.00005000,1.18130000
1700236800001,2023-11-17 16:00:00,0.00005000,1.13784756
