open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1578297600000,2020-01-06 08:00:00,0.1970,0.2222,0.1970,0.2130,13996360.0,1578311999999,2020-01-06 11:59:59,2958346.51801,4234,6828456.5,1452651.28020
1578312000000,2020-01-06 12:00:00,0.2130,0.2180,0.2108,0.2124,17962735.0,1578326399999,2020-01-06 15:59:59,3841829.90336,6918,7968130.8,1704243.26031
1578326400000,2020-01-06 16:00:00,0.2124,0.2209,0.2115,0.2194,27389315.0,1578340799999,2020-01-06 19:59:59,5951562.41015,9115,14279851.2,3106882.72243
1578340800000,2020-01-06 20:00:00,0.2195,0.2259,0.2169,0.2226,32673808.9,1578355199999,2020-01-06 23:59:59,7256011.25161,11140,15801217.4,3513848.51685
1578355200000,2020-01-07 00:00:00,0.2227,0.2297,0.2183,0.2196,18665127.0,1578369599999,2020-01-07 03:59:59,4158861.47943,6544,7610878.3,1700529.19836
1578369600000,2020-01-07 04:00:00,0.2197,0.2200,0.2113,0.2174,21247633.6,1578383999999,2020-01-07 07:59:59,4560513.28294,7514,11420139.4,2452195.92413
1578384000000,2020-01-07 08:00:00,0.2174,0.2180,0.2150,0.2154,13440607.0,1578398399999,2020-01-07 11:59:59,2910350.97707,6464,5436272.8,1177697.49222
1578398400000,2020-01-07 12:00:00,0.2154,0.2154,0.2071,0.2080,27892585.5,1578412799999,2020-01-07 15:59:59,5879541.01458,9253,10815602.5,2281218.96133
1578412800000,2020-01-07 16:00:00,0.2082,0.2196,0.2071,0.2151,29271925.7,1578427199999,2020-01-07 19:59:59,6245762.11513,9976,15067070.1,3219885.34954
1578427200000,2020-01-07 20:00:00,0.2149,0.2172,0.2111,0.2138,14468065.1,1578441599999,2020-01-07 23:59:59,3099447.50896,6949,6241580.6,1338239.68720
1578441600000,2020-01-08 00:00:00,0.2138,0.2204,0.2121,0.2135,17592082.4,1578455999999,2020-01-08 03:59:59,3792413.06216,7023,7788176.2,1682364.68061
1578456000000,2020-01-08 04:00:00,0.2135,0.2157,0.2115,0.2123,10010210.6,1578470399999,2020-01-08 07:59:59,2139789.08509,5449,3562849.8,761908.04854
1578470400000,2020-01-08 08:00:00,0.2124,0.2147,0.2118,0.2127,10056179.6,1578484799999,2020-01-08 11:59:59,2140263.41459,5109,3626312.1,772510.90224
1578484800000,2020-01-08 12:00:00,0.2127,0.2169,0.2114,0.2126,15476383.4,1578499199999,2020-01-08 15:59:59,3310206.56259,6654,5956750.6,1275126.76438
1578499200000,2020-01-08 16:00:00,0.2126,0.2136,0.2013,0.2057,16937921.6,1578513599999,2020-01-08 19:59:59,3510235.85666,7381,6663162.3,1382233.73626
1578513600000,2020-01-08 20:00:00,0.2057,0.2089,0.2029,0.2078,9718819.6,1578527999999,2020-01-08 23:59:59,2003693.34667,5628,4116724.9,848947.73002
1578528000000,2020-01-09 00:00:00,0.2078,0.2089,0.2058,0.2069,5716568.4,1578542399999,2020-01-09 03:59:59,1185375.30589,4639,2071552.8,429996.48873
1578542400000,2020-01-09 04:00:00,0.2069,0.2072,0.2049,0.2061,6257524.0,1578556799999,2020-01-09 07:59:59,1291204.96834,4706,2345075.1,484357.96818
1578556800000,2020-01-09 08:00:00,0.2063,0.2064,0.2029,0.2038,7462870.5,1578571199999,2020-01-09 11:59:59,1525205.82892,5588,2133247.7,436144.95037
1578571200000,2020-01-09 12:00:00,0.2038,0.2055,0.2032,0.2043,7833376.4,1578585599999,2020-01-09 15:59:59,1601597.31469,5427,2921865.2,597708.19204
1578585600000,2020-01-09 16:00:00,0.2044,0.2049,0.2013,0.2041,9405227.4,1578599999999,2020-01-09 19:59:59,1905410.40447,5608,3657249.4,741555.89367
1578600000000,2020-01-09 20:00:00,0.2041,0.2060,0.2010,0.2040,8450863.2,1578614399999,2020-01-09 23:59:59,1719325.43074,5584,3282848.2,669160.41216
1578614400000,2020-01-10 00:00:00,0.2039,0.2049,0.2002,0.2022,6650391.5,1578628799999,2020-01-10 03:59:59,1346059.61120,6125,2010900.1,407082.18018
