open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1614556800000,2021-03-01 00:00:00,3.426,3.697,3.390,3.641,17324139.7,1614643199999,2021-03-01 23:59:59,61602096.7193,145195,8425842.4,29973980.4977
1614643200000,2021-03-02 00:00:00,3.639,3.815,3.490,3.690,20869830.1,1614729599999,2021-03-02 23:59:59,76214520.6903,178575,9765035.9,35683332.0306
1614729600000,2021-03-03 00:00:00,3.691,4.008,3.662,3.846,23987217.9,1614815999999,2021-03-03 23:59:59,93639488.8813,204659,11172872.3,43621075.0026
1614816000000,2021-03-04 00:00:00,3.847,3.978,3.565,3.667,21159276.5,1614902399999,2021-03-04 23:59:59,80081796.6064,193433,10102919.4,38264697.6687
1614902400000,2021-03-05 00:00:00,3.668,3.866,3.447,3.768,21254748.1,1614988799999,2021-03-05 23:59:59,78739940.4949,183889,10179481.0,37737994.8037
1614988800000,2021-03-06 00:00:00,3.763,4.025,3.719,3.874,19425579.5,1615075199999,2021-03-06 23:59:59,75357358.6504,167429,9272556.9,36032092.8762
1615075200000,2021-03-07 00:00:00,3.876,4.216,3.828,4.204,18810656.1,1615161599999,2021-03-07 23:59:59,75253363.1934,177404,9015953.0,36098467.4594
1615161600000,2021-03-08 00:00:00,4.204,4.498,4.057,4.408,25605012.0,1615247999999,2021-03-08 23:59:59,109842887.8254,251476,12203399.5,52396639.0873
1615248000000,2021-03-09 00:00:00,4.410,4.600,4.340,4.475,17129650.8,1615334399999,2021-03-09 23:59:59,76417067.3222,177520,7868977.1,35126710.7717
1615334400000,2021-03-10 00:00:00,4.474,4.493,4.065,4.152,19751018.4,1615420799999,2021-03-10 23:59:59,83913543.2760,179546,8873175.8,37721663.2683
1615420800000,2021-03-11 00:00:00,4.148,4.205,3.949,4.131,13876524.0,1615507199999,2021-03-11 23:59:59,56903108.8318,141739,6605127.2,27096407.9540
1615507200000,2021-03-12 00:00:00,4.131,4.159,3.814,3.975,16530824.2,1615593599999,2021-03-12 23:59:59,65860654.4590,165020,7667933.5,30563272.1911
1615593600000,2021-03-13 00:00:00,3.973,4.245,3.808,4.175,14584750.5,1615679999999,2021-03-13 23:59:59,59448509.4321,146363,7202630.0,29374481.7178
1615680000000,2021-03-14 00:00:00,4.178,4.206,3.922,3.930,11565663.4,1615766399999,2021-03-14 23:59:59,47000520.6314,124222,5254384.7,21362573.4794
1615766400000,2021-03-15 00:00:00,3.932,4.068,3.737,3.837,15206489.7,1615852799999,2021-03-15 23:59:59,59224332.6279,158704,6873490.5,26780558.9147
1615852800000,2021-03-16 00:00:00,3.838,4.057,3.691,4.049,14693155.1,1615939199999,2021-03-16 23:59:59,57751234.8080,170897,6883191.0,27062086.1088
1615939200000,2021-03-17 00:00:00,4.049,4.469,3.850,4.420,22761472.8,1616025599999,2021-03-17 23:59:59,95301374.0011,245179,10748420.1,45007902.1188
1616025600000,2021-03-18 00:00:00,4.419,4.587,4.227,4.267,24245607.4,1616111999999,2021-03-18 23:59:59,105827832.2508,269096,11337686.6,49535458.6894
1616112000000,2021-03-19 00:00:00,4.267,4.363,4.111,4.231,15501680.2,1616198399999,2021-03-19 23:59:59,66234993.9409,156228,7456866.8,31904776.8279
1616198400000,2021-03-20 00:00:00,4.231,4.622,4.215,4.371,21984357.9,1616284799999,2021-03-20 23:59:59,97252809.1288,236123,10402698.4,46029785.8864
1616284800000,2021-03-21 00:00:00,4.369,4.438,4.047,4.178,16347063.2,1616371199999,2021-03-21 23:59:59,68869153.6404,176726,7380850.1,31123604.5051
1616371200000,2021-03-22 00:00:00,4.177,4.440,4.016,4.061,25318382.4,1616457599999,2021-03-22 23:59:59,107110107.7650,254991,11961606.6,50673891.4984
1616457600000,2021-03-23 00:00:00,4.062,4.249,3.950,4.133,18193432.5,1616543999999,2021-03-23 23:59:59,74593449.9098,207624,8642749.9,35468973.0617
1616544000000,2021-03-24 00:00:00,4.132,4.536,3.849,3.990,30087404.7,1616630399999,2021-03-24 23:59:59,128308921.9767,343454,13694059.5,58490037.9687
1616630400000,2021-03-25 00:00:00,3.989,4.083,3.747,3.924,23069659.0,1616716799999,2021-03-25 23:59:59,90295604.6245,269642,11036841.5,43217586.8054
1616716800000,2021-03-26 00:00:00,3.923,4.207,3.918,4.197,16021848.6,1616803199999,2021-03-26 23:59:59,65843250.6101,179398,7652506.4,31450270.5492
1616803200000,2021-03-27 00:00:00,4.197,4.231,4.025,4.112,13261025.3,1616889599999,2021-03-27 23:59:59,54788086.6007,154444,6336708.9,26194984.5994
1616889600000,2021-03-28 00:00:00,4.112,4.335,4.075,4.233,15259464.0,1616975999999,2021-03-28 23:59:59,64325220.4449,184553,7319107.5,30872615.2158
1616976000000,2021-03-29 00:00:00,4.231,4.647,4.190,4.599,23159757.9,1617062399999,2021-03-29 23:59:59,103361170.3754,256141,11301222.6,50460380.1097
1617062400000,2021-03-30 00:00:00,4.600,4.801,4.550,4.565,21676387.6,1617148799999,2021-03-30 23:59:59,101539279.3869,241868,9655212.0,45229265.7114
1617148800000,2021-03-31 00:00:00,4.566,4.893,4.210,4.839,23954591.9,1617235199999,2021-03-31 23:59:59,108623424.1532,293785,11186234.6,50788924.0274
1617235200000,2021-04-01 00:00:00,4.839,5.366,4.751,5.135,38562029.0,1617321599999,2021-04-01 23:59:59,193769096.5011,466725,18509702.3,93061149.9957
1617321600000,2021-04-02 00:00:00,5.136,5.400,4.984,5.312,20538710.7,1617407999999,2021-04-02 23:59:59,106113365.0630,269804,9484852.9,49034798.9392
1617408000000,2021-04-03 00:00:00,5.313,5.428,4.740,4.771,19569682.2,1617494399999,2021-04-03 23:59:59,100973825.4967,234359,8595587.4,44408842.6831
1617494400000,2021-04-04 00:00:00,4.771,5.217,4.675,5.140,11818894.7,1617580799999,2021-04-04 23:59:59,58954220.3698,157471,5595147.2,27923320.4475
1617580800000,2021-04-05 00:00:00,5.141,6.480,4.978,6.126,66448044.8,1617667199999,2021-04-05 23:59:59,388956290.3361,660357,32850052.2,192336444.0665
1617667200000,2021-04-06 00:00:00,6.123,6.825,5.808,6.177,55782562.0,1617753599999,2021-04-06 23:59:59,351353297.2776,668231,26074002.6,164292343.3594
1617753600000,2021-04-07 00:00:00,6.177,6.493,5.389,5.533,41558828.7,1617839999999,2021-04-07 23:59:59,242518610.9328,493025,19424092.1,113355835.0102
1617840000000,2021-04-08 00:00:00,5.535,6.248,5.478,6.173,17914542.6,1617926399999,2021-04-08 23:59:59,106092074.6605,274613,8498205.3,50321112.1198
1617926400000,2021-04-09 00:00:00,6.172,6.908,6.012,6.847,30341681.3,1618012799999,2021-04-09 23:59:59,196140909.5758,409550,14729708.4,95319395.1671
1618012800000,2021-04-10 00:00:00,6.847,7.240,6.251,6.576,34987035.9,1618099199999,2021-04-10 23:59:59,235269850.5882,475118,15642310.2,105319112.3168
1618099200000,2021-04-11 00:00:00,6.578,6.704,6.301,6.465,17859163.8,1618185599999,2021-04-11 23:59:59,116526579.2800,276389,8352304.2,54523002.9040
1618185600000,2021-04-12 00:00:00,6.467,6.530,6.106,6.299,17348075.4,1618271999999,2021-04-12 23:59:59,109702013.8551,252631,8124574.8,51412878.2258
1618272000000,2021-04-13 00:00:00,6.300,6.713,6.115,6.568,22502635.1,1618358399999,2021-04-13 23:59:59,144816004.4924,315958,10421888.3,67131338.8965
1618358400000,2021-04-14 00:00:00,6.568,6.931,6.150,6.578,28143487.6,1618444799999,2021-04-14 23:59:59,185256001.5981,418297,12849439.1,84586391.0796
1618444800000,2021-04-15 00:00:00,6.580,6.957,6.385,6.801,26197613.8,1618531199999,2021-04-15 23:59:59,175420387.2448,381436,12144197.6,81341525.9283
1618531200000,2021-04-16 00:00:00,6.804,7.500,6.550,7.213,50848311.8,1618617599999,2021-04-16 23:59:59,362080225.2598,740764,23340712.2,166371098.2415
1618617600000,2021-04-17 00:00:00,7.215,7.699,6.976,7.064,26625888.5,1618703999999,2021-04-17 23:59:59,195586897.5070,449968,12251062.1,90029270.2126
1618704000000,2021-04-18 00:00:00,7.068,7.188,5.145,6.194,53309525.0,1618790399999,2021-04-18 23:59:59,322318943.9527,633273,24783490.6,149847166.1535
1618790400000,2021-04-19 00:00:00,6.194,6.429,5.309,5.448,39457313.0,1618876799999,2021-04-19 23:59:59,228127940.7564,452098,17963363.6,104108268.4778
1618876800000,2021-04-20 00:00:00,5.449,5.718,4.953,5.707,33071283.7,1618963199999,2021-04-20 23:59:59,177261361.8196,394515,15996295.5,85876830.6012
1618963200000,2021-04-21 00:00:00,5.707,5.853,5.317,5.335,21207109.4,1619049599999,2021-04-21 23:59:59,118533811.0431,310258,10078638.4,56391549.8199
1619049600000,2021-04-22 00:00:00,5.335,5.767,4.849,4.924,28544933.6,1619135999999,2021-04-22 23:59:59,153252747.0066,386172,13512977.3,72650955.0999
1619136000000,2021-04-23 00:00:00,4.920,5.076,4.023,4.819,39336910.1,1619222399999,2021-04-23 23:59:59,178153852.9101,462666,18898340.5,85682148.1611
1619222400000,2021-04-24 00:00:00,4.818,4.831,4.400,4.444,15229340.5,1619308799999,2021-04-24 23:59:59,70086333.2147,203759,7349557.3,33827760.4842
1619308800000,2021-04-25 00:00:00,4.447,4.796,4.232,4.453,13553911.9,1619395199999,2021-04-25 23:59:59,61404925.0738,188944,6693819.0,30321585.3278
1619395200000,2021-04-26 00:00:00,4.453,5.362,4.386,5.227,24581739.0,1619481599999,2021-04-26 23:59:59,123487627.2964,284200,12491824.9,62761405.1566
1619481600000,2021-04-27 00:00:00,5.226,5.495,5.148,5.435,15519550.6,1619567999999,2021-04-27 23:59:59,83075809.8120,209237,7523311.6,40298946.7674
1619568000000,2021-04-28 00:00:00,5.435,5.556,5.067,5.252,14652409.7,1619654399999,2021-04-28 23:59:59,77372102.6396,190057,6983754.4,36887244.3082
1619654400000,2021-04-29 00:00:00,5.254,5.439,5.103,5.244,12696720.4,1619740799999,2021-04-29 23:59:59,66895260.8397,184408,6038100.7,31829572.6895
1619740800000,2021-04-30 00:00:00,5.245,5.665,5.130,5.622,17413705.0,1619827199999,2021-04-30 23:59:59,95268188.6776,197009,8613660.8,47140281.6455
1619827200000,2021-05-01 00:00:00,5.622,5.900,5.492,5.825,15226930.3,1619913599999,2021-05-01 23:59:59,86694517.0209,189508,7090939.0,40392432.0337
1619913600000,2021-05-02 00:00:00,5.828,5.869,5.457,5.614,12848857.2,1619999999999,2021-05-02 23:59:59,72336764.1250,164153,5853654.4,32963983.7131
1620000000000,2021-05-03 00:00:00,5.614,6.119,5.600,6.017,21008371.5,1620086399999,2021-05-03 23:59:59,123842080.3132,242745,9854811.9,58118926.7651
1620086400000,2021-05-04 00:00:00,6.019,6.074,5.403,5.495,32415100.8,1620172799999,2021-05-04 23:59:59,186067251.7353,375735,14835881.4,85206450.2386
1620172800000,2021-05-05 00:00:00,5.494,6.714,5.414,6.611,42169777.8,1620259199999,2021-05-05 23:59:59,264472856.3086,517238,20063761.6,125727054.4979
1620259200000,2021-05-06 00:00:00,6.610,8.094,6.456,7.594,55792595.9,1620345599999,2021-05-06 23:59:59,407235881.4355,845884,26361627.5,192326202.9806
1620345600000,2021-05-07 00:00:00,7.596,8.445,6.767,7.091,52139789.0,1620431999999,2021-05-07 23:59:59,394057271.2355,767691,24779435.5,187603221.0862
1620432000000,2021-05-08 00:00:00,7.091,7.328,6.826,6.985,25566335.2,1620518399999,2021-05-08 23:59:59,181641188.7676,346332,12005438.1,85325606.9246
1620518400000,2021-05-09 00:00:00,6.984,7.170,6.511,7.108,20395290.8,1620604799999,2021-05-09 23:59:59,139378507.8905,280030,9372989.1,64095470.6143
1620604800000,2021-05-10 00:00:00,7.108,7.269,5.873,6.194,30939355.3,1620691199999,2021-05-10 23:59:59,206659944.7483,394234,13607551.5,90961974.0999
1620691200000,2021-05-11 00:00:00,6.196,7.287,5.919,7.132,37611218.1,1620777599999,2021-05-11 23:59:59,248598097.3421,516910,17893881.2,118271782.2698
1620777600000,2021-05-12 00:00:00,7.131,7.341,5.872,5.976,43502876.5,1620863999999,2021-05-12 23:59:59,294913164.1311,557594,20107003.7,136731725.1019
1620864000000,2021-05-13 00:00:00,5.954,6.413,5.720,6.128,37373174.4,1620950399999,2021-05-13 23:59:59,227179404.1666,466583,18336549.4,111775698.3654
1620950400000,2021-05-14 00:00:00,6.127,6.518,6.035,6.484,21145161.5,1621036799999,2021-05-14 23:59:59,133059891.0451,298860,10188660.8,64148600.6923
1621036800000,2021-05-15 00:00:00,6.479,6.523,5.740,5.788,19050583.2,1621123199999,2021-05-15 23:59:59,116286727.1430,327701,8904682.9,54415843.3460
1621123200000,2021-05-16 00:00:00,5.788,6.230,5.351,5.677,22479982.7,1621209599999,2021-05-16 23:59:59,131135901.0389,346239,10585827.8,61836372.0033
