fundingTime,fundingTime_dt,fundingRate,markPrice
1767960000000,2026-01-09 12:00:00,0.00005000,0.13657200
1767974400001,2026-01-09 16:00:00,0.00005000,0.13508100
1767988800005,2026-01-09 20:00:00,0.00005000,0.12025500
1768003200000,2026-01-10 00:00:00,0.00005000,0.12181800
1768017600000,2026-01-10 04:00:00,0.00005000,0.11985500
1768032000002,2026-01-10 08:00:00,0.00005000,0.11959200
1768046400000,2026-01-10 12:00:00,0.00005000,0.12070700
1768060800001,2026-01-10 16:00:00,0.00005000,0.11781600
1768075200014,2026-01-10 20:00:00,0.00005000,0.11083800
1768089600003,2026-01-11 00:00:00,0.00005000,0.10465300
1768104000000,2026-01-11 04:00:00,0.00005000,0.10640100
1768118400006,2026-01-11 08:00:00,0.00005000,0.10553300
1768132800000,2026-01-11 12:00:00,0.00005000,0.10504600
1768147200000,2026-01-11 16:00:00,0.00005000,0.10657800
1768161600002,2026-01-11 20:00:00,0.00005000,0.11429300
1768176000005,2026-01-12 00:00:00,0.00005000,0.10600700
1768190400008,2026-01-12 04:00:00,0.00005000,0.10621500
1768204800000,2026-01-12 08:00:00,0.00005000,0.10680300
1768219200000,2026-01-12 12:00:00,0.00005000,0.10920500
1768233600000,2026-01-12 16:00:00,0.00005000,0.11621700
1768248000000,2026-01-12 20:00:00,0.00005000,0.10590200
1768262400007,2026-01-13 00:00:00,0.00005000,0.10719600
1768276800000,2026-01-13 04:00:00,0.00005000,0.10726000
1768291200009,2026-01-13 08:00:00,0.00005000,0.10380300
1768305600000,2026-01-13 12:00:00,0.00005000,0.10316200
1768320000002,2026-01-13 16:00:00,0.00005000,0.10119300
1768334400003,2026-01-13 20:00:00,0.00005000,0.09157000
1768348800000,2026-01-14 00:00:00,0.00005000,0.09093900
1768363200001,2026-01-14 04:00:00,0.00005000,0.08968100
1768377600001,2026-01-14 08:00:00,0.00005000,0.09202700
1768392000000,2026-01-14 12:00:00,0.00005000,0.09375200
1768406400004,2026-01-14 16:00:00,0.00005000,0.09473400
1768420800007,2026-01-14 20:00:00,0.00005000,0.08425200
1768435200000,2026-01-15 00:00:00,0.00005000,0.08421800
1768449600008,2026-01-15 04:00:00,0.00005000,0.08228200
1768464000004,2026-01-15 08:00:00,0.00005000,0.08287400
1768478400000,2026-01-15 12:00:00,0.00005000,0.08459500
1768492800002,2026-01-15 16:00:00,0.00005000,0.08478600
1768507200000,2026-01-15 20:00:00,0.00005000,0.07816100
1768521600000,2026-01-16 00:00:00,0.00005000,0.07766000
