open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1722484800000,2024-08-01 04:00:00,9.931,10.100,9.685,9.810,1691067.7,1722499199999,2024-08-01 07:59:59,16711667.3154,109006,821163.0,8118385.1075
1722499200000,2024-08-01 08:00:00,9.813,10.200,9.812,10.121,1473043.6,1722513599999,2024-08-01 11:59:59,14736452.7904,95065,742862.4,7432822.2686
1722513600000,2024-08-01 12:00:00,10.120,10.135,9.741,9.821,1846433.0,1722527999999,2024-08-01 15:59:59,18341398.3071,118390,868696.9,8629661.9580
1722528000000,2024-08-01 16:00:00,9.821,9.836,9.237,9.454,1914746.4,1722542399999,2024-08-01 19:59:59,18138469.5312,125455,959340.8,9086013.8311
1722542400000,2024-08-01 20:00:00,9.453,9.847,9.335,9.658,838955.6,1722556799999,2024-08-01 23:59:59,8062828.4191,62225,421006.9,4045561.8131
1722556800000,2024-08-02 00:00:00,9.657,9.835,9.552,9.781,597465.0,1722571199999,2024-08-02 03:59:59,5791317.4314,48571,287585.3,2787810.3425
1722571200000,2024-08-02 04:00:00,9.780,10.121,9.724,9.888,1005760.9,1722585599999,2024-08-02 07:59:59,9978925.2478,74894,499239.7,4953003.8273
1722585600000,2024-08-02 08:00:00,9.888,10.062,9.800,9.920,502686.9,1722599999999,2024-08-02 11:59:59,4995188.4519,45015,248114.5,2466851.6963
1722600000000,2024-08-02 12:00:00,9.920,10.068,9.473,9.696,1053961.2,1722614399999,2024-08-02 15:59:59,10329895.4671,76189,510498.4,5001705.7214
1722614400000,2024-08-02 16:00:00,9.693,9.811,9.531,9.610,371430.5,1722628799999,2024-08-02 19:59:59,3587422.9719,39348,185204.3,1789257.5039
1722628800000,2024-08-02 20:00:00,9.611,9.697,9.416,9.673,452761.1,1722643199999,2024-08-02 23:59:59,4339027.2476,41218,231996.5,2224068.4856
1722643200000,2024-08-03 00:00:00,9.671,9.710,9.117,9.377,794802.1,1722657599999,2024-08-03 03:59:59,7456525.0253,64900,374855.5,3517753.8120
1722657600000,2024-08-03 04:00:00,9.376,9.692,9.188,9.472,533208.0,1722671999999,2024-08-03 07:59:59,5038345.0910,48224,250326.6,2363903.8646
1722672000000,2024-08-03 08:00:00,9.470,9.555,9.345,9.348,334244.8,1722686399999,2024-08-03 11:59:59,3161146.5078,31668,163869.5,1550437.4664
1722686400000,2024-08-03 12:00:00,9.347,9.506,8.880,8.923,786419.2,1722700799999,2024-08-03 15:59:59,7247752.9505,51648,324981.8,3001166.7379
1722700800000,2024-08-03 16:00:00,8.925,8.961,8.351,8.521,1384837.9,1722715199999,2024-08-03 19:59:59,11946335.4279,96419,670888.1,5786205.6602
1722715200000,2024-08-03 20:00:00,8.522,8.583,8.331,8.404,552379.9,1722729599999,2024-08-03 23:59:59,4667195.1654,42731,267340.4,2258636.8769
1722729600000,2024-08-04 00:00:00,8.406,9.112,8.285,9.042,839510.5,1722743999999,2024-08-04 03:59:59,7320764.6978,58722,385073.7,3352383.9088
1722744000000,2024-08-04 04:00:00,9.044,9.045,8.535,8.542,639369.6,1722758399999,2024-08-04 07:59:59,5600082.6533,47764,296239.9,2594281.1449
1722758400000,2024-08-04 08:00:00,8.540,8.698,8.502,8.631,325752.9,1722772799999,2024-08-04 11:59:59,2806135.9269,27529,160621.8,1384111.5033
1722772800000,2024-08-04 12:00:00,8.630,8.703,8.140,8.154,659537.5,1722787199999,2024-08-04 15:59:59,5535128.6802,46611,309672.1,2602360.4593
1722787200000,2024-08-04 16:00:00,8.153,8.463,7.936,8.380,954411.6,1722801599999,2024-08-04 19:59:59,7807818.2879,65424,475617.1,3893811.7353
1722801600000,2024-08-04 20:00:00,8.377,8.688,8.335,8.356,499820.3,1722815999999,2024-08-04 23:59:59,4239914.8472,41642,234842.8,1994182.6063
1722816000000,2024-08-05 00:00:00,8.355,8.467,6.916,7.516,2075147.9,1722830399999,2024-08-05 03:59:59,15843996.4818,128414,957983.9,7301894.1306
1722830400000,2024-08-05 04:00:00,7.516,7.685,6.633,7.614,2261295.4,1722844799999,2024-08-05 07:59:59,16281693.2683,128363,1124757.4,8106839.3911
1722844800000,2024-08-05 08:00:00,7.615,7.652,7.062,7.330,1122580.0,1722859199999,2024-08-05 11:59:59,8307732.0771,82114,531187.1,3929121.1605
1722859200000,2024-08-05 12:00:00,7.332,7.886,6.947,7.799,1471821.2,1722873599999,2024-08-05 15:59:59,10920792.2801,110151,731615.3,5434591.3080
1722873600000,2024-08-05 16:00:00,7.797,7.956,7.567,7.663,770218.2,1722887999999,2024-08-05 19:59:59,5973495.0143,65834,380631.7,2952982.1033
1722888000000,2024-08-05 20:00:00,7.664,7.845,7.563,7.579,487905.7,1722902399999,2024-08-05 23:59:59,3756422.7053,38520,236882.5,1824477.4985
1722902400000,2024-08-06 00:00:00,7.579,8.063,7.554,7.846,557927.3,1722916799999,2024-08-06 03:59:59,4383776.5781,44927,275124.9,2163174.1607
1722916800000,2024-08-06 04:00:00,7.846,7.957,7.738,7.929,523447.7,1722931199999,2024-08-06 07:59:59,4112177.7074,38384,238460.4,1873891.0764
