open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1768996800000,2026-01-21 12:00:00,0.0307660,0.0329990,0.0248000,0.0275020,1466599689,1769011199999,2026-01-21 15:59:59,39804223.3743910,408375,730076899,19834206.9592520
1769011200000,2026-01-21 16:00:00,0.0275020,0.0298000,0.0246000,0.0270950,1248510617,1769025599999,2026-01-21 19:59:59,34190683.3172350,431065,639823091,17552440.2841780
1769025600000,2026-01-21 20:00:00,0.0271270,0.0296260,0.0264000,0.0283840,311920489,1769039999999,2026-01-21 23:59:59,8757164.7884170,121609,155967279,4380290.2151300
1769040000000,2026-01-22 00:00:00,0.0283840,0.0394520,0.0277000,0.0349090,1783555370,1769054399999,2026-01-22 03:59:59,61484623.2716250,715859,889018525,30624365.1639090
1769054400000,2026-01-22 04:00:00,0.0348840,0.0394000,0.0304570,0.0317690,986936488,1769068799999,2026-01-22 07:59:59,33361041.0450530,426499,485326670,16420646.7605690
1769068800000,2026-01-22 08:00:00,0.0317700,0.0322000,0.0270000,0.0294430,1124953987,1769083199999,2026-01-22 11:59:59,33627252.1437440,438819,572383562,17128473.9645390
1769083200000,2026-01-22 12:00:00,0.0294440,0.0318090,0.0269010,0.0289370,913097211,1769097599999,2026-01-22 15:59:59,27141073.4520660,269140,462144779,13754800.2362020
1769097600000,2026-01-22 16:00:00,0.0289270,0.0312530,0.0281650,0.0304620,337131939,1769111999999,2026-01-22 19:59:59,10084674.2061100,161341,169503732,5071530.6196740
1769112000000,2026-01-22 20:00:00,0.0304610,0.0368640,0.0292340,0.0364090,477766171,1769126399999,2026-01-22 23:59:59,15600407.0540620,204364,245822449,8034579.7719840
1769126400000,2026-01-23 00:00:00,0.0364640,0.0388000,0.0330830,0.0360900,1179501070,1769140799999,2026-01-23 03:59:59,43047895.7971890,482629,600102361,21915481.1038460
1769140800000,2026-01-23 04:00:00,0.0360700,0.0423000,0.0347000,0.0361360,976025222,1769155199999,2026-01-23 07:59:59,36912497.3170050,366158,502554292,19027447.6069510
1769155200000,2026-01-23 08:00:00,0.0360950,0.0382540,0.0322000,0.0359070,934246271,1769169599999,2026-01-23 11:59:59,32878161.5199810,312123,467352475,16462377.5397950
1769169600000,2026-01-23 12:00:00,0.0359210,0.0384940,0.0293820,0.0301920,1087384298,1769183999999,2026-01-23 15:59:59,36931289.3320000,378718,528213032,17940922.8592670
1769184000000,2026-01-23 16:00:00,0.0301750,0.0330980,0.0291330,0.0310110,559303467,1769198399999,2026-01-23 19:59:59,17083435.9580390,191075,284454425,8686928.2194300
1769198400000,2026-01-23 20:00:00,0.0310160,0.0335260,0.0284240,0.0334780,402839822,1769212799999,2026-01-23 23:59:59,12387265.0506490,135092,208269732,6402844.8131930
