fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00042665,0.01402000
1780084800000,2026-05-29 20:00:00,0.00005000,0.01396451
1780099200000,2026-05-30 00:00:00,0.00005000,0.01383497
1780113600004,2026-05-30 04:00:00,0.00012742,0.01445948
1780128000001,2026-05-30 08:00:00,0.00005000,0.01461312
1780142400000,2026-05-30 12:00:00,-0.00010712,0.01440253
1780156800000,2026-05-30 16:00:00,0.00005000,0.01484541
1780171200000,2026-05-30 20:00:00,0.00005000,0.01540000
1780185600000,2026-05-31 00:00:00,0.00005000,0.01530820
1780200000006,2026-05-31 04:00:00,0.00005000,0.01581000
1780214400000,2026-05-31 08:00:00,0.00016171,0.01547524
1780228800005,2026-05-31 12:00:00,0.00110526,0.01543000
1780243200004,2026-05-31 16:00:00,0.00005000,0.01521679
1780257600010,2026-05-31 20:00:00,0.00079794,0.01505000
1780272000001,2026-06-01 00:00:00,0.00084927,0.01517376
1780286400006,2026-06-01 04:00:00,0.00114889,0.01545957
1780300800001,2026-06-01 08:00:00,0.00074508,0.01489867
1780315200000,2026-06-01 12:00:00,0.00044049,0.01505477
1780329600000,2026-06-01 16:00:00,0.00097172,0.01464000
1780344000000,2026-06-01 20:00:00,0.00076691,0.01497933
1780358400000,2026-06-02 00:00:00,0.00052866,0.01501326
1780372800008,2026-06-02 04:00:00,0.00018955,0.01485000
1780387200000,2026-06-02 08:00:00,0.00079909,0.01447000
1780401600002,2026-06-02 12:00:00,0.00107800,0.01458997
1780416000000,2026-06-02 16:00:00,0.00037008,0.01397000
1780430400000,2026-06-02 20:00:00,0.00005000,0.01396327
1780444800013,2026-06-03 00:00:00,0.00005000,0.01380000
1780459200000,2026-06-03 04:00:00,0.00025627,0.01359865
1780473600000,2026-06-03 08:00:00,0.00067336,0.01407182
1780488000000,2026-06-03 12:00:00,0.00091208,0.01421000
1780502400001,2026-06-03 16:00:00,0.00133256,0.01447000
1780516800002,2026-06-03 20:00:00,0.00061148,0.01412000
1780531200009,2026-06-04 00:00:00,0.00005000,0.01403000
1780545600000,2026-06-04 04:00:00,0.00017910,0.01350456
1780560000000,2026-06-04 08:00:00,0.00021326,0.01306000
1780574400002,2026-06-04 12:00:00,0.00005000,0.01274525
1780588800003,2026-06-04 16:00:00,0.00005000,0.01339000
1780603200001,2026-06-04 20:00:00,0.00005000,0.01336859
1780617600000,2026-06-05 00:00:00,0.00005000,0.01321000
1780632000001,2026-06-05 04:00:00,0.00005000,0.01284000
1780646400004,2026-06-05 08:00:00,0.00005000,0.01281000
1780660800000,2026-06-05 12:00:00,0.00005000,0.01249392
1780675200009,2026-06-05 16:00:00,0.00005000,0.01231000
1780689600000,2026-06-05 20:00:00,0.00027909,0.01230000
1780704000000,2026-06-06 00:00:00,0.00021357,0.01239000
1780718400000,2026-06-06 04:00:00,0.00005000,0.01223000
1780732800000,2026-06-06 08:00:00,0.00005000,0.01230685
1780747200002,2026-06-06 12:00:00,0.00005000,0.01222000
1780761600000,2026-06-06 16:00:00,0.00005000,0.01219000
1780776000003,2026-06-06 20:00:00,0.00005000,0.01213187
1780790400001,2026-06-07 00:00:00,0.00005000,0.01219526
1780804800000,2026-06-07 04:00:00,0.00044296,0.01256623
1780819200000,2026-06-07 08:00:00,0.00017966,0.01280000
1780833600000,2026-06-07 12:00:00,0.00032582,0.01278130
1780848000000,2026-06-07 16:00:00,0.00012762,0.01262319
1780862400000,2026-06-07 20:00:00,0.00005000,0.01248106
1780876800000,2026-06-08 00:00:00,0.00005000,0.01287000
1780891200009,2026-06-08 04:00:00,0.00042903,0.01279482
1780905600005,2026-06-08 08:00:00,0.00079408,0.01285000
1780920000001,2026-06-08 12:00:00,0.00036971,0.01290000
1780934400004,2026-06-08 16:00:00,0.00085756,0.01314000
1780948800000,2026-06-08 20:00:00,0.00005000,0.01313630
1780963200000,2026-06-09 00:00:00,0.00005000,0.01293997
1780977600003,2026-06-09 04:00:00,-0.00009525,0.01276262
1780992000000,2026-06-09 08:00:00,0.00005000,0.01274000
1781006400000,2026-06-09 12:00:00,0.00005000,0.01281513
1781020800001,2026-06-09 16:00:00,0.00005000,0.01251126
1781035200000,2026-06-09 20:00:00,0.00005000,0.01265116
1781049600001,2026-06-10 00:00:00,0.00005000,0.01259539
1781064000002,2026-06-10 04:00:00,0.00005000,0.01235000
1781078400011,2026-06-10 08:00:00,0.00005000,0.01238000
1781092800002,2026-06-10 12:00:00,0.00005000,0.01212000
1781107200009,2026-06-10 16:00:00,0.00006071,0.01244909
1781121600003,2026-06-10 20:00:00,0.00005000,0.01219000
1781136000000,2026-06-11 00:00:00,0.00005000,0.01210877
1781150400000,2026-06-11 04:00:00,0.00005000,0.01234544
1781164800004,2026-06-11 08:00:00,0.00005604,0.01236000
1781179200005,2026-06-11 12:00:00,0.00090966,0.01257000
1781193600000,2026-06-11 16:00:00,0.00086408,0.01257517
1781208000014,2026-06-11 20:00:00,0.00242285,0.01279000
1781222400000,2026-06-12 00:00:00,0.00041110,0.01264385
1781236800000,2026-06-12 04:00:00,0.00045883,0.01255000
1781251200000,2026-06-12 08:00:00,0.00124038,0.01241000
1781265600000,2026-06-12 12:00:00,0.00005000,0.01265556
1781280000000,2026-06-12 16:00:00,0.00005000,0.01311000
1781294400000,2026-06-12 20:00:00,0.00005000,0.01304558
1781308800000,2026-06-13 00:00:00,-0.00007311,0.01300262
1781323200000,2026-06-13 04:00:00,0.00005000,0.01286441
1781337600007,2026-06-13 08:00:00,0.00005000,0.01289086
1781352000004,2026-06-13 12:00:00,0.00005000,0.01308480
1781366400002,2026-06-13 16:00:00,0.00005000,0.01310224
1781380800004,2026-06-13 20:00:00,0.00005000,0.01307419
1781395200005,2026-06-14 00:00:00,0.00004591,0.01301421
1781409600012,2026-06-14 04:00:00,-0.00034046,0.01300364
1781424000009,2026-06-14 08:00:00,-0.00020604,0.01271000
1781438400000,2026-06-14 12:00:00,-0.00018788,0.01265213
1781452800000,2026-06-14 16:00:00,-0.00017169,0.01227338
1781467200010,2026-06-14 20:00:00,0.00005000,0.01229456
1781481600013,2026-06-15 00:00:00,0.00050724,0.01276545
1781496000001,2026-06-15 04:00:00,0.00095442,0.01291743
1781510400013,2026-06-15 08:00:00,0.00030831,0.01277999
1781524800000,2026-06-15 12:00:00,0.00036784,0.01300000
1781539200004,2026-06-15 16:00:00,0.00036752,0.01331000
1781553600002,2026-06-15 20:00:00,0.00018527,0.01299921
1781568000000,2026-06-16 00:00:00,0.00005000,0.01284000
1781582400000,2026-06-16 04:00:00,0.00005000,0.01275000
1781596800000,2026-06-16 08:00:00,0.00005000,0.01287000
1781611200000,2026-06-16 12:00:00,0.00043170,0.01284000
1781625600001,2026-06-16 16:00:00,0.00023556,0.01260555
1781640000000,2026-06-16 20:00:00,0.00014698,0.01258805
1781654400012,2026-06-17 00:00:00,0.00072588,0.01265000
1781668800000,2026-06-17 04:00:00,0.00090493,0.01274548
1781683200000,2026-06-17 08:00:00,0.00005000,0.01272050
1781697600000,2026-06-17 12:00:00,0.00005000,0.01260205
1781712000000,2026-06-17 16:00:00,0.00126327,0.01290000
1781726400000,2026-06-17 20:00:00,0.00089444,0.01278000
1781740800002,2026-06-18 00:00:00,0.00033097,0.01293000
1781755200000,2026-06-18 04:00:00,0.00043748,0.01288875
1781769600000,2026-06-18 08:00:00,0.00090154,0.01281513
1781784000004,2026-06-18 12:00:00,0.00005000,0.01273462
1781798400001,2026-06-18 16:00:00,0.00005000,0.01210474
1781812800000,2026-06-18 20:00:00,0.00005000,0.01235993
1781827200005,2026-06-19 00:00:00,0.00005000,0.01247414
1781841600000,2026-06-19 04:00:00,0.00005000,0.01232000
1781856000001,2026-06-19 08:00:00,0.00005000,0.01208622
1781870400000,2026-06-19 12:00:00,0.00005000,0.01206000
1781884800001,2026-06-19 16:00:00,0.00005000,0.01215000
1781899200000,2026-06-19 20:00:00,-0.00030405,0.01208000
1781913600001,2026-06-20 00:00:00,0.00005000,0.01212000
1781928000000,2026-06-20 04:00:00,-0.00018577,0.01201555
1781942400000,2026-06-20 08:00:00,0.00005000,0.01219614
1781956800001,2026-06-20 12:00:00,0.00005000,0.01215000
1781971200001,2026-06-20 16:00:00,0.00005000,0.01222000
1781985600000,2026-06-20 20:00:00,0.00005000,0.01212000
1782000000000,2026-06-21 00:00:00,0.00000612,0.01200000
1782014400000,2026-06-21 04:00:00,0.00005000,0.01207000
1782028800000,2026-06-21 08:00:00,0.00005000,0.01205409
1782043200001,2026-06-21 12:00:00,0.00005000,0.01180000
1782057600000,2026-06-21 16:00:00,0.00005000,0.01204000
1782072000004,2026-06-21 20:00:00,0.00061803,0.01378013
1782086400000,2026-06-22 00:00:00,0.00005000,0.01364290
1782100800000,2026-06-22 04:00:00,0.00005000,0.01305000
1782115200000,2026-06-22 08:00:00,0.00005000,0.01455000
1782129600000,2026-06-22 12:00:00,0.00005000,0.01427000
1782144000002,2026-06-22 16:00:00,0.00017555,0.01403000
1782158400000,2026-06-22 20:00:00,0.00054937,0.01422000
1782172800003,2026-06-23 00:00:00,0.00006741,0.01388000
1782187200000,2026-06-23 04:00:00,0.00023940,0.01366000
1782201600005,2026-06-23 08:00:00,0.00060377,0.01318000
1782216000000,2026-06-23 12:00:00,0.00017813,0.01296000
1782230400002,2026-06-23 16:00:00,0.00045035,0.01313920
1782244800000,2026-06-23 20:00:00,0.00081624,0.01324000
1782259200005,2026-06-24 00:00:00,0.00185230,0.01351000
1782288000005,2026-06-24 08:00:00,0.00039909,0.01355000
1782302400005,2026-06-24 12:00:00,0.00005000,0.01364000
1782316800003,2026-06-24 16:00:00,0.00060054,0.01318448
1782331200006,2026-06-24 20:00:00,0.00021019,0.01308000
1782345600000,2026-06-25 00:00:00,0.00049572,0.01337000
1782360000008,2026-06-25 04:00:00,0.00032305,0.01398459
1782374400000,2026-06-25 08:00:00,0.00059218,0.01404000
1782388800006,2026-06-25 12:00:00,0.00025816,0.01415000
1782403200000,2026-06-25 16:00:00,0.00005447,0.01379937
1782417600011,2026-06-25 20:00:00,0.00030492,0.01388000
1782432000010,2026-06-26 00:00:00,0.00042230,0.01400741
1782446400001,2026-06-26 04:00:00,0.00027398,0.01457035
1782460800002,2026-06-26 08:00:00,0.00064043,0.01512000
1782475200004,2026-06-26 12:00:00,0.00063543,0.01496000
1782489600000,2026-06-26 16:00:00,0.00043472,0.01534000
1782504000000,2026-06-26 20:00:00,0.00014996,0.01550000
1782518400000,2026-06-27 00:00:00,0.00005000,0.01570000
1782532800000,2026-06-27 04:00:00,0.00052022,0.01571000
1782547200000,2026-06-27 08:00:00,0.00091743,0.01590000
1782561600001,2026-06-27 12:00:00,0.00067185,0.01678906
1782576000009,2026-06-27 16:00:00,0.00035897,0.01649000
1782590400000,2026-06-27 20:00:00,0.00058335,0.01604000
1782604800000,2026-06-28 00:00:00,0.00030263,0.01575000
1782619200002,2026-06-28 04:00:00,0.00083504,0.01639000
1782633600013,2026-06-28 08:00:00,0.00005000,0.01607000
1782648000008,2026-06-28 12:00:00,0.00042454,0.01625000
1782662400000,2026-06-28 16:00:00,0.00063409,0.01665000
1782676800003,2026-06-28 20:00:00,0.00010386,0.01579466
1782691200006,2026-06-29 00:00:00,0.00042179,0.01589000
