fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.13034576
1780084800000,2026-05-29 20:00:00,-0.00006542,0.13070000
1780099200000,2026-05-30 00:00:00,0.00005000,0.13050000
1780113600004,2026-05-30 04:00:00,0.00005000,0.13150000
1780128000001,2026-05-30 08:00:00,0.00005000,0.13283273
1780142400000,2026-05-30 12:00:00,0.00005000,0.13180000
1780156800000,2026-05-30 16:00:00,0.00005000,0.13216091
1780171200000,2026-05-30 20:00:00,0.00005000,0.13280000
1780185600000,2026-05-31 00:00:00,0.00003310,0.13227455
1780200000006,2026-05-31 04:00:00,0.00005000,0.13285424
1780214400000,2026-05-31 08:00:00,-0.00005882,0.13193182
1780228800005,2026-05-31 12:00:00,0.00005000,0.13160000
1780243200004,2026-05-31 16:00:00,0.00005000,0.13020000
1780257600010,2026-05-31 20:00:00,-0.00020177,0.12965255
1780272000001,2026-06-01 00:00:00,0.00001875,0.13130000
1780286400006,2026-06-01 04:00:00,0.00005000,0.13200000
1780300800001,2026-06-01 08:00:00,0.00005000,0.12574909
1780315200000,2026-06-01 12:00:00,0.00005000,0.12756000
1780329600000,2026-06-01 16:00:00,0.00005000,0.12680000
1780344000000,2026-06-01 20:00:00,0.00005000,0.13080000
1780358400000,2026-06-02 00:00:00,0.00005000,0.12971364
1780372800008,2026-06-02 04:00:00,0.00005000,0.12824121
1780387200000,2026-06-02 08:00:00,0.00005000,0.12536212
1780401600002,2026-06-02 12:00:00,0.00005000,0.12600000
1780416000000,2026-06-02 16:00:00,0.00003205,0.12110000
1780430400000,2026-06-02 20:00:00,0.00003579,0.12200000
1780444800013,2026-06-03 00:00:00,-0.00001170,0.12000000
1780459200000,2026-06-03 04:00:00,-0.00002319,0.12003530
1780473600000,2026-06-03 08:00:00,0.00005000,0.12530000
1780488000000,2026-06-03 12:00:00,0.00005000,0.12440000
1780502400001,2026-06-03 16:00:00,0.00005000,0.12210000
1780516800002,2026-06-03 20:00:00,0.00005000,0.12010000
1780531200009,2026-06-04 00:00:00,0.00005000,0.12099207
1780545600000,2026-06-04 04:00:00,0.00005000,0.11664000
1780560000000,2026-06-04 08:00:00,0.00005000,0.11430000
1780574400002,2026-06-04 12:00:00,0.00004525,0.11200327
1780588800003,2026-06-04 16:00:00,0.00005000,0.11522061
1780603200001,2026-06-04 20:00:00,0.00005000,0.11544545
1780617600000,2026-06-05 00:00:00,-0.00003928,0.11396970
1780632000001,2026-06-05 04:00:00,-0.00029304,0.11080061
1780646400004,2026-06-05 08:00:00,-0.00054619,0.10969606
1780660800000,2026-06-05 12:00:00,-0.00035269,0.10810000
1780675200009,2026-06-05 16:00:00,-0.00011543,0.10410000
1780689600000,2026-06-05 20:00:00,-0.00010021,0.10324964
1780704000000,2026-06-06 00:00:00,0.00005000,0.10442727
1780718400000,2026-06-06 04:00:00,-0.00005108,0.10345000
1780732800000,2026-06-06 08:00:00,0.00005000,0.10302788
1780747200002,2026-06-06 12:00:00,0.00001031,0.10220000
1780761600000,2026-06-06 16:00:00,0.00005000,0.10260000
1780776000003,2026-06-06 20:00:00,-0.00005011,0.10125000
1780790400001,2026-06-07 00:00:00,0.00005000,0.10160000
1780804800000,2026-06-07 04:00:00,0.00005000,0.10700000
1780819200000,2026-06-07 08:00:00,0.00005000,0.10751485
1780833600000,2026-06-07 12:00:00,-0.00017796,0.10790000
1780848000000,2026-06-07 16:00:00,-0.00002488,0.10700000
1780862400000,2026-06-07 20:00:00,0.00005000,0.10356975
1780876800000,2026-06-08 00:00:00,0.00005000,0.10838000
1780891200009,2026-06-08 04:00:00,0.00005000,0.10900636
1780905600005,2026-06-08 08:00:00,0.00005000,0.10970000
1780920000001,2026-06-08 12:00:00,0.00005000,0.11060000
1780934400004,2026-06-08 16:00:00,-0.00033351,0.11140000
1780948800000,2026-06-08 20:00:00,0.00001190,0.11070000
1780963200000,2026-06-09 00:00:00,-0.00040597,0.11000000
1780977600003,2026-06-09 04:00:00,-0.00009455,0.10896909
1780992000000,2026-06-09 08:00:00,0.00005000,0.10912492
1781006400000,2026-06-09 12:00:00,-0.00016986,0.10890000
