fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00017067,0.07351492
1780084800000,2026-05-29 20:00:00,0.00017646,0.07366000
1780099200000,2026-05-30 00:00:00,0.00005000,0.07490000
1780113600004,2026-05-30 04:00:00,0.00023378,0.07444900
1780128000001,2026-05-30 08:00:00,0.00005000,0.07489000
1780142400000,2026-05-30 12:00:00,0.00005000,0.07486000
1780156800000,2026-05-30 16:00:00,0.00005000,0.07482000
1780171200000,2026-05-30 20:00:00,0.00037149,0.07909450
1780185600000,2026-05-31 00:00:00,0.00005000,0.07840000
1780200000006,2026-05-31 04:00:00,0.00005000,0.07740000
1780214400000,2026-05-31 08:00:00,0.00005000,0.07863383
1780228800005,2026-05-31 12:00:00,0.00008592,0.07929000
1780243200004,2026-05-31 16:00:00,0.00005000,0.07453079
1780257600010,2026-05-31 20:00:00,0.00005000,0.07383017
1780272000001,2026-06-01 00:00:00,0.00005000,0.07345217
1780286400006,2026-06-01 04:00:00,0.00005000,0.07698000
1780300800001,2026-06-01 08:00:00,0.00007117,0.07769000
1780315200000,2026-06-01 12:00:00,0.00005000,0.07560900
1780329600000,2026-06-01 16:00:00,0.00005000,0.07847092
1780344000000,2026-06-01 20:00:00,0.00005000,0.07684138
1780358400000,2026-06-02 00:00:00,0.00005000,0.07672625
1780372800008,2026-06-02 04:00:00,0.00005000,0.07361000
1780387200000,2026-06-02 08:00:00,0.00005000,0.07356658
1780401600002,2026-06-02 12:00:00,0.00005000,0.07350000
1780416000000,2026-06-02 16:00:00,0.00005000,0.07325000
1780430400000,2026-06-02 20:00:00,0.00005000,0.07174104
1780444800013,2026-06-03 00:00:00,0.00005000,0.07086000
1780459200000,2026-06-03 04:00:00,0.00005000,0.07129504
1780473600000,2026-06-03 08:00:00,0.00005000,0.07096879
1780488000000,2026-06-03 12:00:00,0.00005000,0.07094300
1780502400001,2026-06-03 16:00:00,0.00013088,0.07631000
1780516800002,2026-06-03 20:00:00,0.00016315,0.07589000
1780531200009,2026-06-04 00:00:00,0.00005000,0.07424379
1780545600000,2026-06-04 04:00:00,0.00005000,0.07420492
1780560000000,2026-06-04 08:00:00,0.00005000,0.07280000
1780574400002,2026-06-04 12:00:00,0.00005000,0.07313025
1780588800003,2026-06-04 16:00:00,0.00005000,0.07593479
1780603200001,2026-06-04 20:00:00,0.00005000,0.07517167
1780617600000,2026-06-05 00:00:00,0.00005000,0.07556712
1780632000001,2026-06-05 04:00:00,0.00005000,0.07514000
1780646400004,2026-06-05 08:00:00,0.00005000,0.07148625
1780660800000,2026-06-05 12:00:00,0.00005000,0.07436000
1780675200009,2026-06-05 16:00:00,0.00005000,0.07505317
1780689600000,2026-06-05 20:00:00,0.00024936,0.08078150
1780704000000,2026-06-06 00:00:00,0.00013880,0.08156354
1780718400000,2026-06-06 04:00:00,0.00005000,0.08081000
1780732800000,2026-06-06 08:00:00,0.00005231,0.08223392
1780747200002,2026-06-06 12:00:00,0.00012292,0.08235000
1780761600000,2026-06-06 16:00:00,0.00039643,0.08227550
1780776000003,2026-06-06 20:00:00,0.00030726,0.08329921
1780790400001,2026-06-07 00:00:00,0.00034928,0.08317198
1780804800000,2026-06-07 04:00:00,0.00014162,0.08308000
1780819200000,2026-06-07 08:00:00,0.00011556,0.08281000
1780833600000,2026-06-07 12:00:00,0.00032898,0.08221000
1780848000000,2026-06-07 16:00:00,0.00005607,0.08390000
1780862400000,2026-06-07 20:00:00,0.00037063,0.08387992
1780876800000,2026-06-08 00:00:00,0.00031854,0.08393000
1780891200009,2026-06-08 04:00:00,0.00011925,0.08349000
1780905600005,2026-06-08 08:00:00,0.00015609,0.08308950
1780920000001,2026-06-08 12:00:00,0.00055331,0.08319901
1780934400004,2026-06-08 16:00:00,0.00005000,0.08313850
1780948800000,2026-06-08 20:00:00,0.00005000,0.08387000
1780963200000,2026-06-09 00:00:00,0.00005000,0.08389000
1780977600003,2026-06-09 04:00:00,0.00005000,0.08444608
1780992000000,2026-06-09 08:00:00,0.00023097,0.08392675
1781006400000,2026-06-09 12:00:00,0.00005000,0.08342000
1781020800001,2026-06-09 16:00:00,0.00005000,0.08304225
1781035200000,2026-06-09 20:00:00,0.00005000,0.08316000
1781049600001,2026-06-10 00:00:00,0.00005000,0.08305875
1781064000002,2026-06-10 04:00:00,0.00005000,0.08214000
1781078400011,2026-06-10 08:00:00,0.00005000,0.08165000
1781092800002,2026-06-10 12:00:00,0.00005000,0.08059383
1781107200009,2026-06-10 16:00:00,0.00005000,0.08254000
1781121600003,2026-06-10 20:00:00,0.00005000,0.08316000
1781136000000,2026-06-11 00:00:00,0.00005000,0.08386083
1781150400000,2026-06-11 04:00:00,0.00005000,0.08375000
1781164800004,2026-06-11 08:00:00,0.00005000,0.08291000
1781179200005,2026-06-11 12:00:00,0.00005000,0.08343000
1781193600000,2026-06-11 16:00:00,0.00005000,0.08328000
1781208000014,2026-06-11 20:00:00,0.00005000,0.08351750
1781222400000,2026-06-12 00:00:00,0.00005000,0.08327000
1781236800000,2026-06-12 04:00:00,0.00032908,0.08774000
1781251200000,2026-06-12 08:00:00,0.00020860,0.08714375
1781265600000,2026-06-12 12:00:00,0.00058171,0.09798784
1781280000000,2026-06-12 16:00:00,0.00050276,0.09911000
1781294400000,2026-06-12 20:00:00,0.00021050,0.08798000
1781308800000,2026-06-13 00:00:00,0.00005000,0.08876000
1781323200000,2026-06-13 04:00:00,0.00005000,0.09040000
1781337600007,2026-06-13 08:00:00,0.00005000,0.08759821
1781352000004,2026-06-13 12:00:00,0.00005000,0.08843000
1781366400002,2026-06-13 16:00:00,0.00005000,0.08839550
1781380800004,2026-06-13 20:00:00,0.00005000,0.08986000
1781395200005,2026-06-14 00:00:00,0.00005000,0.08942542
1781409600012,2026-06-14 04:00:00,0.00005000,0.08830733
1781424000009,2026-06-14 08:00:00,0.00005000,0.08516000
1781438400000,2026-06-14 12:00:00,0.00005000,0.08461000
1781452800000,2026-06-14 16:00:00,0.00005000,0.08142612
1781467200010,2026-06-14 20:00:00,0.00005000,0.08057000
1781481600013,2026-06-15 00:00:00,0.00004076,0.08170448
1781496000001,2026-06-15 04:00:00,0.00005000,0.07382700
1781510400013,2026-06-15 08:00:00,-0.00010503,0.07764000
1781524800000,2026-06-15 12:00:00,0.00005000,0.07682583
1781539200004,2026-06-15 16:00:00,0.00005000,0.07828004
1781553600002,2026-06-15 20:00:00,0.00005000,0.07848875
1781568000000,2026-06-16 00:00:00,0.00005000,0.07714000
1781582400000,2026-06-16 04:00:00,0.00005000,0.07694789
1781596800000,2026-06-16 08:00:00,0.00005000,0.07700000
1781611200000,2026-06-16 12:00:00,0.00005000,0.07560421
1781625600001,2026-06-16 16:00:00,0.00005000,0.07355125
1781640000000,2026-06-16 20:00:00,0.00005000,0.07386000
1781654400012,2026-06-17 00:00:00,0.00005000,0.07363000
1781668800000,2026-06-17 04:00:00,0.00005000,0.07392000
1781683200000,2026-06-17 08:00:00,0.00005000,0.07988625
1781697600000,2026-06-17 12:00:00,0.00005000,0.08256000
1781712000000,2026-06-17 16:00:00,0.00005000,0.08571358
1781726400000,2026-06-17 20:00:00,0.00005000,0.08449000
1781740800002,2026-06-18 00:00:00,0.00005000,0.08462000
1781755200000,2026-06-18 04:00:00,0.00007203,0.08551538
1781769600000,2026-06-18 08:00:00,0.00007015,0.08576446
1781784000004,2026-06-18 12:00:00,0.00010261,0.08516000
1781798400001,2026-06-18 16:00:00,0.00005000,0.08235000
1781812800000,2026-06-18 20:00:00,0.00005000,0.08213000
1781827200005,2026-06-19 00:00:00,0.00008696,0.08200292
1781841600000,2026-06-19 04:00:00,0.00005000,0.08055000
1781856000001,2026-06-19 08:00:00,0.00005000,0.07929000
1781870400000,2026-06-19 12:00:00,0.00005000,0.08030000
1781884800001,2026-06-19 16:00:00,0.00005000,0.07772000
1781899200000,2026-06-19 20:00:00,0.00005000,0.07664000
1781913600001,2026-06-20 00:00:00,0.00005000,0.07905000
1781928000000,2026-06-20 04:00:00,0.00005000,0.07886000
1781942400000,2026-06-20 08:00:00,0.00005000,0.07979808
1781956800001,2026-06-20 12:00:00,0.00005000,0.07911133
1781971200001,2026-06-20 16:00:00,0.00005000,0.08022288
1781985600000,2026-06-20 20:00:00,0.00005000,0.07918000
1782000000000,2026-06-21 00:00:00,0.00005000,0.08009000
1782014400000,2026-06-21 04:00:00,0.00005000,0.08045000
1782028800000,2026-06-21 08:00:00,0.00005000,0.08028579
1782043200001,2026-06-21 12:00:00,0.00007565,0.08078633
1782057600000,2026-06-21 16:00:00,0.00005000,0.08105000
1782072000004,2026-06-21 20:00:00,0.00005000,0.08069500
1782086400000,2026-06-22 00:00:00,0.00005000,0.08036000
1782100800000,2026-06-22 04:00:00,0.00005000,0.08114000
1782115200000,2026-06-22 08:00:00,0.00005000,0.08045000
1782129600000,2026-06-22 12:00:00,0.00006191,0.08118000
1782144000002,2026-06-22 16:00:00,0.00005000,0.08207233
1782158400000,2026-06-22 20:00:00,0.00005000,0.08305000
1782172800003,2026-06-23 00:00:00,0.00017592,0.08408250
1782187200000,2026-06-23 04:00:00,0.00005000,0.08344000
1782201600005,2026-06-23 08:00:00,0.00065809,0.08839858
1782216000000,2026-06-23 12:00:00,0.00066239,0.08887071
1782230400002,2026-06-23 16:00:00,0.00005000,0.08462000
1782244800000,2026-06-23 20:00:00,0.00008266,0.08272100
