fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.00050753
1780084800000,2026-05-29 20:00:00,0.00005000,0.00049697
1780099200000,2026-05-30 00:00:00,0.00005000,0.00050030
1780113600004,2026-05-30 04:00:00,0.00005000,0.00050230
1780128000001,2026-05-30 08:00:00,0.00005000,0.00050170
1780142400000,2026-05-30 12:00:00,0.00005000,0.00049747
1780156800000,2026-05-30 16:00:00,0.00005000,0.00050095
1780171200000,2026-05-30 20:00:00,0.00005000,0.00050790
1780185600000,2026-05-31 00:00:00,0.00005000,0.00050280
1780200000006,2026-05-31 04:00:00,0.00005000,0.00051005
1780214400000,2026-05-31 08:00:00,0.00005000,0.00050885
1780228800005,2026-05-31 12:00:00,-0.00000239,0.00051156
1780243200004,2026-05-31 16:00:00,0.00005000,0.00049920
1780257600010,2026-05-31 20:00:00,0.00005000,0.00049890
1780272000001,2026-06-01 00:00:00,0.00003420,0.00051198
1780286400006,2026-06-01 04:00:00,0.00005000,0.00052070
1780300800001,2026-06-01 08:00:00,0.00005000,0.00050315
1780315200000,2026-06-01 12:00:00,0.00002655,0.00050925
1780329600000,2026-06-01 16:00:00,0.00002650,0.00050420
1780344000000,2026-06-01 20:00:00,0.00005000,0.00051900
1780358400000,2026-06-02 00:00:00,0.00005000,0.00052470
1780372800008,2026-06-02 04:00:00,0.00005000,0.00052003
1780387200000,2026-06-02 08:00:00,0.00005000,0.00050544
1780401600002,2026-06-02 12:00:00,0.00005000,0.00050391
1780416000000,2026-06-02 16:00:00,0.00005000,0.00047400
1780430400000,2026-06-02 20:00:00,0.00003167,0.00047458
1780444800013,2026-06-03 00:00:00,0.00000133,0.00047087
1780459200000,2026-06-03 04:00:00,0.00005000,0.00046210
1780473600000,2026-06-03 08:00:00,0.00005000,0.00049690
1780488000000,2026-06-03 12:00:00,0.00005000,0.00050410
1780502400001,2026-06-03 16:00:00,0.00005000,0.00049530
1780516800002,2026-06-03 20:00:00,0.00005000,0.00048448
1780531200009,2026-06-04 00:00:00,0.00005000,0.00048221
1780545600000,2026-06-04 04:00:00,-0.00000921,0.00046270
1780560000000,2026-06-04 08:00:00,-0.00003703,0.00044420
1780574400002,2026-06-04 12:00:00,0.00003287,0.00043485
1780588800003,2026-06-04 16:00:00,0.00003544,0.00045067
1780603200001,2026-06-04 20:00:00,-0.00002454,0.00044754
1780617600000,2026-06-05 00:00:00,-0.00000870,0.00044040
1780632000001,2026-06-05 04:00:00,-0.00003246,0.00042170
1780646400004,2026-06-05 08:00:00,-0.00004057,0.00041997
