fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00006912,0.05395292
1780084800000,2026-05-29 20:00:00,0.00005000,0.05393000
1780099200000,2026-05-30 00:00:00,0.00005000,0.05262000
1780113600004,2026-05-30 04:00:00,0.00005000,0.05394947
1780128000001,2026-05-30 08:00:00,0.00005000,0.05509978
1780142400000,2026-05-30 12:00:00,0.00005000,0.05632000
1780156800000,2026-05-30 16:00:00,0.00018797,0.05583000
1780171200000,2026-05-30 20:00:00,0.00005000,0.05635720
1780185600000,2026-05-31 00:00:00,0.00005000,0.05678000
1780200000006,2026-05-31 04:00:00,0.00005000,0.05602000
1780214400000,2026-05-31 08:00:00,0.00005000,0.05548000
1780228800005,2026-05-31 12:00:00,0.00012985,0.05513000
1780243200004,2026-05-31 16:00:00,0.00009434,0.05776000
1780257600010,2026-05-31 20:00:00,0.00017457,0.05640420
1780272000001,2026-06-01 00:00:00,0.00005000,0.05643883
1780286400006,2026-06-01 04:00:00,0.00027553,0.05741313
1780300800001,2026-06-01 08:00:00,0.00005000,0.05704000
1780315200000,2026-06-01 12:00:00,0.00008914,0.05724849
1780329600000,2026-06-01 16:00:00,0.00028915,0.05767298
1780344000000,2026-06-01 20:00:00,0.00005000,0.05794432
1780358400000,2026-06-02 00:00:00,0.00025981,0.05797944
1780372800008,2026-06-02 04:00:00,0.00058223,0.05835000
1780387200000,2026-06-02 08:00:00,0.00064678,0.05925000
1780401600002,2026-06-02 12:00:00,0.00041159,0.06067892
1780416000000,2026-06-02 16:00:00,0.00016380,0.05916000
1780430400000,2026-06-02 20:00:00,0.00024455,0.05972261
1780444800013,2026-06-03 00:00:00,0.00018574,0.06031294
1780459200000,2026-06-03 04:00:00,0.00041912,0.05861092
1780473600000,2026-06-03 08:00:00,0.00043823,0.05987798
1780488000000,2026-06-03 12:00:00,0.00039796,0.05854127
1780502400001,2026-06-03 16:00:00,0.00041921,0.05507000
1780516800002,2026-06-03 20:00:00,0.00022878,0.05197000
1780531200009,2026-06-04 00:00:00,0.00028917,0.05342973
1780545600000,2026-06-04 04:00:00,0.00044466,0.05360320
1780560000000,2026-06-04 08:00:00,0.00022184,0.05010442
1780574400002,2026-06-04 12:00:00,0.00014891,0.05155855
1780588800003,2026-06-04 16:00:00,0.00005000,0.05114000
1780603200001,2026-06-04 20:00:00,0.00005000,0.05057000
1780617600000,2026-06-05 00:00:00,0.00005000,0.04932000
1780632000001,2026-06-05 04:00:00,0.00005000,0.04917000
1780646400004,2026-06-05 08:00:00,0.00005000,0.04366000
1780660800000,2026-06-05 12:00:00,0.00005000,0.04339000
1780675200009,2026-06-05 16:00:00,0.00005000,0.04271648
1780689600000,2026-06-05 20:00:00,0.00005000,0.04296000
1780704000000,2026-06-06 00:00:00,0.00005000,0.04312000
1780718400000,2026-06-06 04:00:00,0.00005000,0.04226516
1780732800000,2026-06-06 08:00:00,0.00005000,0.04453358
1780747200002,2026-06-06 12:00:00,0.00005000,0.04330000
1780761600000,2026-06-06 16:00:00,0.00005000,0.04362000
1780776000003,2026-06-06 20:00:00,0.00005000,0.04247000
1780790400001,2026-06-07 00:00:00,0.00005000,0.04290000
1780804800000,2026-06-07 04:00:00,0.00005000,0.04322052
1780819200000,2026-06-07 08:00:00,0.00007229,0.04416426
1780833600000,2026-06-07 12:00:00,0.00021490,0.04458000
1780848000000,2026-06-07 16:00:00,0.00021275,0.04396000
1780862400000,2026-06-07 20:00:00,0.00005000,0.04304297
1780876800000,2026-06-08 00:00:00,0.00030959,0.04397114
1780891200009,2026-06-08 04:00:00,0.00058560,0.04536590
1780905600005,2026-06-08 08:00:00,0.00036614,0.04452703
1780920000001,2026-06-08 12:00:00,0.00085512,0.04426000
1780934400004,2026-06-08 16:00:00,0.00021533,0.04467654
1780948800000,2026-06-08 20:00:00,0.00034886,0.04429000
1780963200000,2026-06-09 00:00:00,0.00017856,0.04382650
1780977600003,2026-06-09 04:00:00,0.00005000,0.04271000
1780992000000,2026-06-09 08:00:00,0.00005000,0.04255428
1781006400000,2026-06-09 12:00:00,0.00005024,0.04258774
1781020800001,2026-06-09 16:00:00,0.00005000,0.03939000
