fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.45031287
1780084800000,2026-05-29 20:00:00,0.00003689,0.44650868
1780099200000,2026-05-30 00:00:00,0.00002359,0.45020000
1780113600004,2026-05-30 04:00:00,-0.00002344,0.45540000
1780128000001,2026-05-30 08:00:00,-0.00005073,0.45660000
1780142400000,2026-05-30 12:00:00,-0.00002709,0.45431878
1780156800000,2026-05-30 16:00:00,0.00005000,0.45410000
1780171200000,2026-05-30 20:00:00,0.00005000,0.45583648
1780185600000,2026-05-31 00:00:00,0.00000104,0.45480000
1780200000006,2026-05-31 04:00:00,0.00004272,0.45810000
1780214400000,2026-05-31 08:00:00,0.00005000,0.45580573
1780228800005,2026-05-31 12:00:00,0.00005000,0.45580000
1780243200004,2026-05-31 16:00:00,0.00002333,0.45253734
1780257600010,2026-05-31 20:00:00,0.00005000,0.45048621
1780272000001,2026-06-01 00:00:00,0.00005000,0.46150000
1780286400006,2026-06-01 04:00:00,0.00005000,0.46580000
1780300800001,2026-06-01 08:00:00,0.00005000,0.45498018
1780315200000,2026-06-01 12:00:00,0.00005000,0.45850000
1780329600000,2026-06-01 16:00:00,0.00005000,0.45780000
1780344000000,2026-06-01 20:00:00,0.00005000,0.46510000
1780358400000,2026-06-02 00:00:00,0.00005000,0.46413849
1780372800008,2026-06-02 04:00:00,0.00005000,0.46090000
1780387200000,2026-06-02 08:00:00,0.00005000,0.45274207
1780401600002,2026-06-02 12:00:00,0.00005000,0.45260000
1780416000000,2026-06-02 16:00:00,0.00005000,0.43109614
1780430400000,2026-06-02 20:00:00,0.00005000,0.43330000
1780444800013,2026-06-03 00:00:00,0.00005000,0.42820000
1780459200000,2026-06-03 04:00:00,0.00005000,0.42330000
1780473600000,2026-06-03 08:00:00,0.00005000,0.44340000
1780488000000,2026-06-03 12:00:00,0.00005000,0.44200000
1780502400001,2026-06-03 16:00:00,0.00005000,0.43780000
1780516800002,2026-06-03 20:00:00,0.00005000,0.43709485
1780531200009,2026-06-04 00:00:00,0.00005000,0.43674771
1780545600000,2026-06-04 04:00:00,0.00005000,0.41970427
1780560000000,2026-06-04 08:00:00,0.00005000,0.40231472
1780574400002,2026-06-04 12:00:00,0.00005000,0.39541253
1780588800003,2026-06-04 16:00:00,0.00005000,0.40760000
1780603200001,2026-06-04 20:00:00,0.00005000,0.40426775
1780617600000,2026-06-05 00:00:00,0.00005000,0.39800000
1780632000001,2026-06-05 04:00:00,0.00001729,0.37940000
1780646400004,2026-06-05 08:00:00,0.00005000,0.37020000
1780660800000,2026-06-05 12:00:00,0.00005000,0.36860000
1780675200009,2026-06-05 16:00:00,0.00005000,0.35496475
1780689600000,2026-06-05 20:00:00,0.00005000,0.35090000
1780704000000,2026-06-06 00:00:00,0.00005000,0.35682444
1780718400000,2026-06-06 04:00:00,0.00005000,0.34674103
1780732800000,2026-06-06 08:00:00,0.00005000,0.35060000
1780747200002,2026-06-06 12:00:00,0.00005000,0.35123893
1780761600000,2026-06-06 16:00:00,0.00001446,0.35250000
1780776000003,2026-06-06 20:00:00,0.00005000,0.34863165
1780790400001,2026-06-07 00:00:00,0.00005000,0.35420000
1780804800000,2026-06-07 04:00:00,0.00005000,0.35927429
1780819200000,2026-06-07 08:00:00,-0.00000036,0.36228489
1780833600000,2026-06-07 12:00:00,0.00003236,0.36174695
1780848000000,2026-06-07 16:00:00,-0.00000740,0.36015271
1780862400000,2026-06-07 20:00:00,-0.00001266,0.35100000
1780876800000,2026-06-08 00:00:00,0.00003389,0.36480000
1780891200009,2026-06-08 04:00:00,0.00005000,0.36204112
1780905600005,2026-06-08 08:00:00,0.00005000,0.35934187
