fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.06040500
1780084800000,2026-05-29 20:00:00,0.00005000,0.05766000
1780099200000,2026-05-30 00:00:00,0.00005000,0.05913144
1780113600004,2026-05-30 04:00:00,0.00005000,0.05996500
1780128000001,2026-05-30 08:00:00,0.00005000,0.05677547
1780142400000,2026-05-30 12:00:00,0.00005000,0.05676000
1780156800000,2026-05-30 16:00:00,0.00005000,0.05807000
1780171200000,2026-05-30 20:00:00,0.00005000,0.05734000
1780185600000,2026-05-31 00:00:00,0.00016124,0.05734000
1780200000006,2026-05-31 04:00:00,0.00010953,0.05748000
1780214400000,2026-05-31 08:00:00,0.00005000,0.05769000
1780228800005,2026-05-31 12:00:00,0.00005000,0.05965694
1780243200004,2026-05-31 16:00:00,0.00005000,0.05960960
1780257600010,2026-05-31 20:00:00,0.00005000,0.05951000
1780272000001,2026-06-01 00:00:00,0.00005000,0.05937485
1780286400006,2026-06-01 04:00:00,0.00005000,0.05996883
1780300800001,2026-06-01 08:00:00,0.00009990,0.06186000
1780315200000,2026-06-01 12:00:00,0.00005000,0.06171000
1780329600000,2026-06-01 16:00:00,0.00005000,0.06047000
1780344000000,2026-06-01 20:00:00,0.00011229,0.05843661
1780358400000,2026-06-02 00:00:00,0.00005000,0.05989000
1780372800008,2026-06-02 04:00:00,0.00005000,0.05932000
1780387200000,2026-06-02 08:00:00,0.00005000,0.05967500
1780401600002,2026-06-02 12:00:00,0.00018619,0.06027044
1780416000000,2026-06-02 16:00:00,0.00009547,0.06097581
1780430400000,2026-06-02 20:00:00,0.00022006,0.06035000
1780444800013,2026-06-03 00:00:00,0.00005000,0.05965780
1780459200000,2026-06-03 04:00:00,0.00024213,0.05964000
1780473600000,2026-06-03 08:00:00,0.00016191,0.05924028
1780488000000,2026-06-03 12:00:00,0.00019940,0.06137877
1780502400001,2026-06-03 16:00:00,0.00028982,0.06234000
1780516800002,2026-06-03 20:00:00,0.00005000,0.06467989
1780531200009,2026-06-04 00:00:00,0.00005000,0.06059000
1780545600000,2026-06-04 04:00:00,0.00005000,0.05967000
1780560000000,2026-06-04 08:00:00,0.00005000,0.06058000
1780574400002,2026-06-04 12:00:00,0.00020660,0.05988000
1780588800003,2026-06-04 16:00:00,0.00005000,0.05988000
1780603200001,2026-06-04 20:00:00,0.00005000,0.06002000
1780617600000,2026-06-05 00:00:00,0.00005000,0.05892000
1780632000001,2026-06-05 04:00:00,0.00010922,0.06083178
