fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,-0.00012356,0.07857382
1780084800000,2026-05-29 20:00:00,-0.00033583,0.07680000
1780099200000,2026-05-30 00:00:00,0.00005000,0.07702688
1780113600004,2026-05-30 04:00:00,0.00005000,0.07910000
1780128000001,2026-05-30 08:00:00,0.00005000,0.07946588
1780142400000,2026-05-30 12:00:00,0.00005000,0.07995000
1780156800000,2026-05-30 16:00:00,0.00005000,0.07870167
1780171200000,2026-05-30 20:00:00,0.00005000,0.07760000
1780185600000,2026-05-31 00:00:00,0.00005000,0.07703956
1780200000006,2026-05-31 04:00:00,0.00005000,0.07719559
1780214400000,2026-05-31 08:00:00,0.00005000,0.07693619
1780228800005,2026-05-31 12:00:00,0.00005000,0.07787588
1780243200004,2026-05-31 16:00:00,0.00001776,0.07760000
1780257600010,2026-05-31 20:00:00,-0.00002694,0.07764338
1780272000001,2026-06-01 00:00:00,0.00005000,0.08229294
1780286400006,2026-06-01 04:00:00,-0.00026102,0.08506310
1780300800001,2026-06-01 08:00:00,0.00005000,0.08420000
1780315200000,2026-06-01 12:00:00,0.00005000,0.08502559
1780329600000,2026-06-01 16:00:00,0.00005000,0.08514815
1780344000000,2026-06-01 20:00:00,0.00005000,0.08600000
1780358400000,2026-06-02 00:00:00,0.00005000,0.08584647
1780372800008,2026-06-02 04:00:00,0.00005000,0.08410000
1780387200000,2026-06-02 08:00:00,0.00005000,0.08205376
1780401600002,2026-06-02 12:00:00,0.00005000,0.08212840
1780416000000,2026-06-02 16:00:00,0.00005000,0.07864676
1780430400000,2026-06-02 20:00:00,0.00005000,0.07833525
1780444800013,2026-06-03 00:00:00,0.00005000,0.07770000
1780459200000,2026-06-03 04:00:00,0.00005000,0.07684965
1780473600000,2026-06-03 08:00:00,0.00005000,0.08124824
1780488000000,2026-06-03 12:00:00,0.00005000,0.08135971
1780502400001,2026-06-03 16:00:00,0.00005000,0.08030000
1780516800002,2026-06-03 20:00:00,0.00005000,0.07840000
1780531200009,2026-06-04 00:00:00,0.00005000,0.07765000
1780545600000,2026-06-04 04:00:00,0.00005000,0.07360000
1780560000000,2026-06-04 08:00:00,-0.00006843,0.07070000
1780574400002,2026-06-04 12:00:00,0.00005000,0.07025000
1780588800003,2026-06-04 16:00:00,0.00005000,0.07230000
1780603200001,2026-06-04 20:00:00,-0.00001085,0.07213666
1780617600000,2026-06-05 00:00:00,0.00005000,0.07140000
