fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.01114700
1780084800000,2026-05-29 20:00:00,0.00005000,0.01108189
1780099200000,2026-05-30 00:00:00,0.00005000,0.01092200
1780113600004,2026-05-30 04:00:00,0.00005000,0.01089695
1780128000001,2026-05-30 08:00:00,0.00005000,0.01093150
1780142400000,2026-05-30 12:00:00,0.00005000,0.01118980
1780156800000,2026-05-30 16:00:00,0.00005000,0.01119321
1780171200000,2026-05-30 20:00:00,0.00005000,0.01159100
1780185600000,2026-05-31 00:00:00,0.00005000,0.01147600
1780200000006,2026-05-31 04:00:00,0.00005000,0.01148200
1780214400000,2026-05-31 08:00:00,0.00005000,0.01130100
1780228800005,2026-05-31 12:00:00,0.00005000,0.01132900
1780243200004,2026-05-31 16:00:00,0.00005000,0.01135649
1780257600010,2026-05-31 20:00:00,0.00005000,0.01169738
1780272000001,2026-06-01 00:00:00,0.00005000,0.01165500
1780286400006,2026-06-01 04:00:00,0.00005000,0.01170720
1780300800001,2026-06-01 08:00:00,0.00005000,0.01209329
1780315200000,2026-06-01 12:00:00,0.00005000,0.01243400
1780329600000,2026-06-01 16:00:00,0.00005000,0.01228886
1780344000000,2026-06-01 20:00:00,0.00005000,0.01218800
1780358400000,2026-06-02 00:00:00,0.00005000,0.01228448
1780372800008,2026-06-02 04:00:00,0.00005000,0.01195400
1780387200000,2026-06-02 08:00:00,0.00005000,0.01192600
1780401600002,2026-06-02 12:00:00,0.00005000,0.01205700
1780416000000,2026-06-02 16:00:00,0.00005000,0.01163000
1780430400000,2026-06-02 20:00:00,0.00005000,0.01189400
1780444800013,2026-06-03 00:00:00,0.00005000,0.01143082
1780459200000,2026-06-03 04:00:00,0.00005000,0.01123800
1780473600000,2026-06-03 08:00:00,0.00005000,0.01121755
1780488000000,2026-06-03 12:00:00,0.00005000,0.01115800
1780502400001,2026-06-03 16:00:00,0.00005000,0.01116300
1780516800002,2026-06-03 20:00:00,0.00005000,0.01145600
1780531200009,2026-06-04 00:00:00,0.00011250,0.01140300
1780545600000,2026-06-04 04:00:00,0.00032571,0.01178300
1780560000000,2026-06-04 08:00:00,0.00017834,0.01146829
1780574400002,2026-06-04 12:00:00,0.00005000,0.01131617
1780588800003,2026-06-04 16:00:00,0.00005000,0.01148865
1780603200001,2026-06-04 20:00:00,0.00008099,0.01143000
1780617600000,2026-06-05 00:00:00,0.00005000,0.01139300
1780632000001,2026-06-05 04:00:00,0.00027581,0.01224689
1780646400004,2026-06-05 08:00:00,0.00005000,0.01129813
1780660800000,2026-06-05 12:00:00,0.00005000,0.01122380
1780675200009,2026-06-05 16:00:00,0.00024849,0.01174700
1780689600000,2026-06-05 20:00:00,0.00005000,0.01129400
1780704000000,2026-06-06 00:00:00,0.00005000,0.01128143
