fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00035468,0.00579700
1780084800000,2026-05-29 20:00:00,0.00005000,0.00586200
1780099200000,2026-05-30 00:00:00,0.00005000,0.00598400
1780113600004,2026-05-30 04:00:00,0.00013418,0.00594913
1780128000001,2026-05-30 08:00:00,0.00023805,0.00602778
1780142400000,2026-05-30 12:00:00,0.00031780,0.00597400
1780156800000,2026-05-30 16:00:00,0.00039779,0.00632700
1780171200000,2026-05-30 20:00:00,0.00022598,0.00646325
1780185600000,2026-05-31 00:00:00,0.00023269,0.00654200
1780200000006,2026-05-31 04:00:00,0.00012428,0.00632874
1780214400000,2026-05-31 08:00:00,0.00005000,0.00596800
1780228800005,2026-05-31 12:00:00,0.00016915,0.00603300
1780243200004,2026-05-31 16:00:00,0.00025724,0.00624652
1780257600010,2026-05-31 20:00:00,0.00048355,0.00629154
1780272000001,2026-06-01 00:00:00,0.00022155,0.00633423
1780286400006,2026-06-01 04:00:00,0.00024389,0.00673630
1780300800001,2026-06-01 08:00:00,0.00015265,0.00662986
1780315200000,2026-06-01 12:00:00,0.00066461,0.00632592
1780329600000,2026-06-01 16:00:00,0.00047287,0.00696966
1780344000000,2026-06-01 20:00:00,0.00044839,0.00670000
1780358400000,2026-06-02 00:00:00,0.00040445,0.00665800
1780372800008,2026-06-02 04:00:00,0.00048372,0.00659200
1780387200000,2026-06-02 08:00:00,0.00024218,0.00675698
1780401600002,2026-06-02 12:00:00,0.00027427,0.00696088
1780416000000,2026-06-02 16:00:00,0.00015329,0.00724500
1780430400000,2026-06-02 20:00:00,0.00005000,0.00692709
1780444800013,2026-06-03 00:00:00,0.00017034,0.00713900
1780459200000,2026-06-03 04:00:00,0.00005117,0.00746900
1780473600000,2026-06-03 08:00:00,0.00030606,0.00777100
1780488000000,2026-06-03 12:00:00,0.00005000,0.00898901
1780502400001,2026-06-03 16:00:00,0.00024843,0.00920145
1780516800002,2026-06-03 20:00:00,0.00029401,0.00820600
1780531200009,2026-06-04 00:00:00,0.00011122,0.00879006
1780545600000,2026-06-04 04:00:00,0.00055875,0.00885800
1780560000000,2026-06-04 08:00:00,0.00011988,0.00890668
1780574400002,2026-06-04 12:00:00,0.00005000,0.00881300
1780588800003,2026-06-04 16:00:00,0.00005000,0.00933000
1780603200001,2026-06-04 20:00:00,0.00015967,0.01021100
