open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1614556800000,2021-03-01 00:00:00,1.92760,2.18390,1.91206,2.14864,6340272,1614643199999,2021-03-01 23:59:59,13063488.58051,54715,2963819,6112963.73136
1614643200000,2021-03-02 00:00:00,2.14892,2.27732,1.98337,2.07069,7935237,1614729599999,2021-03-02 23:59:59,16899610.25589,61176,3537143,7551198.12698
1614729600000,2021-03-03 00:00:00,2.07130,2.38828,2.04371,2.25344,7838660,1614815999999,2021-03-03 23:59:59,17643794.16325,64590,3667248,8259366.07072
1614816000000,2021-03-04 00:00:00,2.25588,2.44902,2.14268,2.18574,8345810,1614902399999,2021-03-04 23:59:59,19065707.34633,70675,3553386,8127290.94844
1614902400000,2021-03-05 00:00:00,2.18574,2.55709,2.03791,2.45393,14632633,1614988799999,2021-03-05 23:59:59,34852562.55257,115957,7008692,16673696.41312
1614988800000,2021-03-06 00:00:00,2.45496,2.98400,2.45093,2.87243,33846678,1615075199999,2021-03-06 23:59:59,93288876.39312,307622,16579704,45725701.52813
1615075200000,2021-03-07 00:00:00,2.87017,3.03399,2.64213,2.74046,12856573,1615161599999,2021-03-07 23:59:59,35965072.43014,112032,6072986,17010911.60730
1615161600000,2021-03-08 00:00:00,2.74327,2.78391,2.59069,2.66141,7929539,1615247999999,2021-03-08 23:59:59,21139411.79653,68618,3458638,9229464.78339
1615248000000,2021-03-09 00:00:00,2.66327,3.15895,2.64142,3.10848,13764648,1615334399999,2021-03-09 23:59:59,40363039.80680,124552,6596392,19337677.89279
1615334400000,2021-03-10 00:00:00,3.10857,3.11872,2.69428,2.73821,9773424,1615420799999,2021-03-10 23:59:59,27886662.61402,89564,4188320,11928028.00037
1615420800000,2021-03-11 00:00:00,2.74271,2.81979,2.62540,2.73022,8870870,1615507199999,2021-03-11 23:59:59,24251982.99056,82780,3987803,10913246.73435
1615507200000,2021-03-12 00:00:00,2.73243,2.87700,2.44741,2.51987,10714183,1615593599999,2021-03-12 23:59:59,28642964.80429,98522,4671030,12489758.69584
1615593600000,2021-03-13 00:00:00,2.52061,3.10000,2.40700,2.97794,16610263,1615679999999,2021-03-13 23:59:59,46921657.87669,145936,7767314,21967952.98314
1615680000000,2021-03-14 00:00:00,2.98006,3.84390,2.83876,3.42848,34567838,1615766399999,2021-03-14 23:59:59,118474862.91035,340646,16578950,56822138.01401
1615766400000,2021-03-15 00:00:00,3.43194,3.63626,2.94374,3.27772,23388386,1615852799999,2021-03-15 23:59:59,77075518.87393,240341,11111590,36629965.33929
1615852800000,2021-03-16 00:00:00,3.27677,4.14611,3.10000,3.89178,17281726,1615939199999,2021-03-16 23:59:59,62650505.72740,184295,7918235,28744077.83413
1615939200000,2021-03-17 00:00:00,3.89384,3.98461,3.47030,3.78066,11840253,1616025599999,2021-03-17 23:59:59,44067623.19796,126794,5382249,20031742.77201
1616025600000,2021-03-18 00:00:00,3.78026,4.31700,3.73401,3.97071,10917790,1616111999999,2021-03-18 23:59:59,43819161.87324,128066,5100869,20471862.65198
1616112000000,2021-03-19 00:00:00,3.96980,4.14573,3.70000,3.71500,7792038,1616198399999,2021-03-19 23:59:59,30449958.73233,91222,3499128,13680685.75854
1616198400000,2021-03-20 00:00:00,3.71452,3.96475,3.42614,3.44630,8257797,1616284799999,2021-03-20 23:59:59,30804500.07545,93329,3667069,13693291.71500
1616284800000,2021-03-21 00:00:00,3.44512,3.56499,3.29159,3.47842,7724205,1616371199999,2021-03-21 23:59:59,26588667.47880,87909,3589183,12367568.69695
1616371200000,2021-03-22 00:00:00,3.48104,3.87244,3.29235,3.39069,14752955,1616457599999,2021-03-22 23:59:59,53984107.50539,159988,6771647,24803483.00960
1616457600000,2021-03-23 00:00:00,3.38857,3.49928,3.09350,3.10429,10548700,1616543999999,2021-03-23 23:59:59,34679338.33533,125185,4621957,15209225.98543
1616544000000,2021-03-24 00:00:00,3.10429,3.30489,2.59329,2.76161,10832070,1616630399999,2021-03-24 23:59:59,33032943.34905,126581,4866384,14851910.66956
1616630400000,2021-03-25 00:00:00,2.76233,3.00852,2.57238,2.67008,12904716,1616716799999,2021-03-25 23:59:59,35452029.84737,134873,6109392,16787461.88392
1616716800000,2021-03-26 00:00:00,2.67221,3.11149,2.66768,3.01929,11518434,1616803199999,2021-03-26 23:59:59,34286056.50044,123056,5400883,16087859.36881
1616803200000,2021-03-27 00:00:00,3.02084,3.53973,2.96574,3.42592,13842390,1616889599999,2021-03-27 23:59:59,45243170.94400,138218,6475768,21169203.64599
1616889600000,2021-03-28 00:00:00,3.42660,3.69000,3.30340,3.40008,12096117,1616975999999,2021-03-28 23:59:59,41865014.08853,129001,5689963,19722956.46627
1616976000000,2021-03-29 00:00:00,3.40111,3.92834,3.34779,3.86969,11213366,1617062399999,2021-03-29 23:59:59,40958415.43681,128546,5325483,19446190.88263
1617062400000,2021-03-30 00:00:00,3.86855,4.43998,3.77254,4.29301,20124706,1617148799999,2021-03-30 23:59:59,84099364.21606,214994,9812410,41019249.56090
1617148800000,2021-03-31 00:00:00,4.29521,4.99554,3.93078,4.82180,20752184,1617235199999,2021-03-31 23:59:59,93652478.35446,281862,9876084,44549786.35830
1617235200000,2021-04-01 00:00:00,4.81832,5.12485,4.49000,4.86385,13464055,1617321599999,2021-04-01 23:59:59,64415591.18554,183595,6274569,30024201.48803
1617321600000,2021-04-02 00:00:00,4.86801,5.27500,4.54418,4.67050,11372306,1617407999999,2021-04-02 23:59:59,55646059.33294,157205,5193554,25393519.18062
1617408000000,2021-04-03 00:00:00,4.67169,5.45309,4.45303,4.99091,22756018,1617494399999,2021-04-03 23:59:59,113529565.32029,294594,10613060,52947226.76710
1617494400000,2021-04-04 00:00:00,4.99140,5.61066,4.90306,5.10665,14522488,1617580799999,2021-04-04 23:59:59,76806587.27264,218590,6766751,35808003.05215
1617580800000,2021-04-05 00:00:00,5.11232,5.18505,4.69759,4.77120,10204881,1617667199999,2021-04-05 23:59:59,50807439.59855,157349,4636505,23084797.67987
1617667200000,2021-04-06 00:00:00,4.77263,5.23822,4.67562,5.10164,12693387,1617753599999,2021-04-06 23:59:59,62938638.62391,191628,5811585,28830533.84201
1617753600000,2021-04-07 00:00:00,5.10569,5.86197,4.70000,5.49842,22604420,1617839999999,2021-04-07 23:59:59,120614130.14430,320567,10435371,55679947.81559
1617840000000,2021-04-08 00:00:00,5.49915,5.67799,5.21191,5.40391,11244894,1617926399999,2021-04-08 23:59:59,61290084.91339,159449,5184500,28273155.35537
1617926400000,2021-04-09 00:00:00,5.40462,5.44484,5.06055,5.13787,8354279,1618012799999,2021-04-09 23:59:59,44050812.15952,121704,3908216,20607380.24978
1618012800000,2021-04-10 00:00:00,5.14330,5.49890,4.86389,4.96946,12304434,1618099199999,2021-04-10 23:59:59,64028114.41952,173209,5579042,29027990.37982
1618099200000,2021-04-11 00:00:00,4.97329,5.16098,4.81864,5.12267,9368683,1618185599999,2021-04-11 23:59:59,46906599.91934,136967,4380746,21939591.27821
1618185600000,2021-04-12 00:00:00,5.12132,5.40000,4.83356,4.91733,11291669,1618271999999,2021-04-12 23:59:59,57614509.43736,160644,5227568,26694836.66417
1618272000000,2021-04-13 00:00:00,4.91998,4.99270,4.57837,4.65572,9289104,1618358399999,2021-04-13 23:59:59,43904208.96961,138181,4023206,19034443.64236
1618358400000,2021-04-14 00:00:00,4.65572,4.89485,4.24843,4.54863,11835808,1618444799999,2021-04-14 23:59:59,54828828.20532,169598,5154676,23876267.64594
1618444800000,2021-04-15 00:00:00,4.55108,4.76376,4.47504,4.58467,7479382,1618531199999,2021-04-15 23:59:59,34572977.30565,113928,3452394,15956012.43893
1618531200000,2021-04-16 00:00:00,4.58875,4.62999,4.24795,4.53049,9060055,1618617599999,2021-04-16 23:59:59,40688119.71607,147027,4256414,19116231.58983
1618617600000,2021-04-17 00:00:00,4.53160,5.01535,4.52585,4.72455,11395573,1618703999999,2021-04-17 23:59:59,54565393.35570,166573,5262635,25218491.51001
1618704000000,2021-04-18 00:00:00,4.72516,4.78489,3.06386,4.01993,17556644,1618790399999,2021-04-18 23:59:59,66974773.79697,234896,8117559,30927881.95557
1618790400000,2021-04-19 00:00:00,4.02162,4.26595,3.68491,3.89433,17522428,1618876799999,2021-04-19 23:59:59,69995648.73892,238498,8318918,33281021.12309
1618876800000,2021-04-20 00:00:00,3.89386,3.97852,3.45159,3.91584,11818192,1618963199999,2021-04-20 23:59:59,43935923.72075,168639,5853567,21774880.31881
1618963200000,2021-04-21 00:00:00,3.91274,4.24000,3.65350,3.92393,12844215,1619049599999,2021-04-21 23:59:59,50597910.28717,179930,6388193,25143785.13926
1619049600000,2021-04-22 00:00:00,3.92537,4.55649,3.73568,3.89426,19411017,1619135999999,2021-04-22 23:59:59,80230315.35503,263843,9194785,38042469.97746
1619136000000,2021-04-23 00:00:00,3.89381,3.98897,2.97650,3.43675,20237848,1619222399999,2021-04-23 23:59:59,66580921.22507,240059,9792322,32196262.38338
1619222400000,2021-04-24 00:00:00,3.43587,3.44865,2.95604,2.98797,11612541,1619308799999,2021-04-24 23:59:59,36681046.46295,154620,5608392,17718188.62805
1619308800000,2021-04-25 00:00:00,2.98516,3.34051,2.82800,3.03643,13069018,1619395199999,2021-04-25 23:59:59,40812878.39254,164527,6541018,20428442.20867
1619395200000,2021-04-26 00:00:00,3.03742,3.75000,2.99744,3.68370,14899426,1619481599999,2021-04-26 23:59:59,52457826.83434,202513,7294444,25646142.68966
1619481600000,2021-04-27 00:00:00,3.68077,3.99402,3.60135,3.87736,13490986,1619567999999,2021-04-27 23:59:59,51625192.59713,170257,6405564,24523133.51863
1619568000000,2021-04-28 00:00:00,3.87517,3.94051,3.46487,3.68771,11536660,1619654399999,2021-04-28 23:59:59,42839483.24116,151219,5667140,21064582.12362
1619654400000,2021-04-29 00:00:00,3.68994,4.08712,3.54155,3.83538,11605939,1619740799999,2021-04-29 23:59:59,44249397.05165,154030,5562237,21195983.50714
1619740800000,2021-04-30 00:00:00,3.83538,4.25000,3.76797,4.07220,10150292,1619827199999,2021-04-30 23:59:59,41201778.60950,140005,4771594,19366846.09820
1619827200000,2021-05-01 00:00:00,4.07270,4.17430,3.91410,4.15280,7178681,1619913599999,2021-05-01 23:59:59,29222773.47645,107148,3234929,13173852.55164
1619913600000,2021-05-02 00:00:00,4.15030,4.54730,3.77790,4.32340,14495815,1619999999999,2021-05-02 23:59:59,62595841.18199,196418,6733990,29091175.88619
1620000000000,2021-05-03 00:00:00,4.32350,4.55940,4.15350,4.27810,7664342,1620086399999,2021-05-03 23:59:59,33412537.40978,111825,3480167,15173797.90644
1620086400000,2021-05-04 00:00:00,4.28170,4.44350,3.74500,3.89580,15571704,1620172799999,2021-05-04 23:59:59,64205394.77100,203783,6994822,28860291.80850
1620172800000,2021-05-05 00:00:00,3.89030,4.28180,3.84280,4.19550,9594848,1620259199999,2021-05-05 23:59:59,39391335.29000,126273,4425989,18192642.71840
1620259200000,2021-05-06 00:00:00,4.19470,4.70600,4.04000,4.38750,14112619,1620345599999,2021-05-06 23:59:59,61620584.07190,187489,6434397,28105732.22720
1620345600000,2021-05-07 00:00:00,4.38870,4.54390,4.10170,4.26300,9185770,1620431999999,2021-05-07 23:59:59,39825405.74690,139033,4182155,18139268.67950
1620432000000,2021-05-08 00:00:00,4.26460,4.40360,4.03270,4.09130,7014484,1620518399999,2021-05-08 23:59:59,29529294.29410,98239,3196196,13470925.02360
1620518400000,2021-05-09 00:00:00,4.09330,4.12470,3.82000,3.98720,6539225,1620604799999,2021-05-09 23:59:59,25978676.96160,91929,2957146,11752783.17180
1620604800000,2021-05-10 00:00:00,3.98770,4.08340,3.20000,3.51660,10302037,1620691199999,2021-05-10 23:59:59,38808964.89226,125687,4607164,17386037.26280
1620691200000,2021-05-11 00:00:00,3.51920,4.09660,3.39600,3.92530,15260577,1620777599999,2021-05-11 23:59:59,57797706.07720,167554,7154693,27061976.21190
1620777600000,2021-05-12 00:00:00,3.92610,4.03990,3.07710,3.19490,9269007,1620863999999,2021-05-12 23:59:59,34431053.06156,122817,4209698,15655956.23690
1620864000000,2021-05-13 00:00:00,3.19490,3.41970,2.89100,3.16950,12019709,1620950399999,2021-05-13 23:59:59,38100948.31695,146366,5736443,18185201.03160
1620950400000,2021-05-14 00:00:00,3.17030,3.55090,3.07300,3.35360,13590507,1621036799999,2021-05-14 23:59:59,45757391.07550,157047,6420161,21589323.89910
1621036800000,2021-05-15 00:00:00,3.35340,3.42830,3.01540,3.04080,8662735,1621123199999,2021-05-15 23:59:59,27951803.05860,130262,4162526,13454642.55150
1621123200000,2021-05-16 00:00:00,3.04080,3.29470,2.78640,2.98830,8434550,1621209599999,2021-05-16 23:59:59,25882909.80134,133210,3885153,11931448.49050
1621209600000,2021-05-17 00:00:00,2.98740,3.02540,2.60480,2.74200,9692741,1621295999999,2021-05-17 23:59:59,27185151.99633,149257,4554379,12771059.12310
1621296000000,2021-05-18 00:00:00,2.74600,2.97800,2.66070,2.72040,9041874,1621382399999,2021-05-18 23:59:59,25384816.18440,123778,4480794,12568826.14160
1621382400000,2021-05-19 00:00:00,2.71990,2.77610,0.91130,1.54720,25345465,1621468799999,2021-05-19 23:59:59,48816719.79700,234185,11762145,22805396.75170
1621468800000,2021-05-20 00:00:00,1.54770,1.94550,1.37500,1.77660,21760081,1621555199999,2021-05-20 23:59:59,37511740.43920,188936,10794148,18611865.39840
1621555200000,2021-05-21 00:00:00,1.77880,1.87930,1.23550,1.46490,16973374,1621641599999,2021-05-21 23:59:59,26575292.41160,157493,8629424,13532450.73150
1621641600000,2021-05-22 00:00:00,1.46420,1.56050,1.27000,1.44320,15709076,1621727999999,2021-05-22 23:59:59,22579230.83940,140544,7465009,10734308.97990
1621728000000,2021-05-23 00:00:00,1.44320,1.52900,1.00020,1.23750,19467999,1621814399999,2021-05-23 23:59:59,23577243.50550,157150,9861450,11952830.95260
1621814400000,2021-05-24 00:00:00,1.23750,1.51790,1.19950,1.49800,21871374,1621900799999,2021-05-24 23:59:59,29741433.72930,154377,10631465,14476253.35280
1621900800000,2021-05-25 00:00:00,1.49790,1.65000,1.32560,1.64250,17736617,1621987199999,2021-05-25 23:59:59,26216775.79170,149281,8859983,13100165.45760
1621987200000,2021-05-26 00:00:00,1.64360,1.90960,1.59550,1.77860,14185118,1622073599999,2021-05-26 23:59:59,24887955.92760,127285,6811727,11956207.55520
1622073600000,2021-05-27 00:00:00,1.77580,2.45000,1.57600,2.23870,75561920,1622159999999,2021-05-27 23:59:59,164793842.00280,553397,37037310,80746485.90650
1622160000000,2021-05-28 00:00:00,2.23860,2.35790,1.69250,1.78610,58796563,1622246399999,2021-05-28 23:59:59,116483299.92210,420361,29540731,58609334.56820
1622246400000,2021-05-29 00:00:00,1.78650,1.89800,1.53900,1.61690,24375540,1622332799999,2021-05-29 23:59:59,41423874.43960,184052,11875443,20160126.09070
1622332800000,2021-05-30 00:00:00,1.61730,1.75140,1.49770,1.65540,15852818,1622419199999,2021-05-30 23:59:59,26095400.67670,125418,7729905,12719532.93290
1622419200000,2021-05-31 00:00:00,1.65510,2.18500,1.57390,2.18020,50435071,1622505599999,2021-05-31 23:59:59,98480851.03690,308849,25589106,49978055.71180
1622505600000,2021-06-01 00:00:00,2.18400,2.23920,1.83020,2.00000,43722177,1622591999999,2021-06-01 23:59:59,88175412.89930,335651,21512524,43365063.17020
1622592000000,2021-06-02 00:00:00,2.00070,2.12550,1.90000,2.00430,17634965,1622678399999,2021-06-02 23:59:59,35612143.56210,148523,8493107,17146916.66050
1622678400000,2021-06-03 00:00:00,2.00460,2.17000,1.98000,1.99550,16906080,1622764799999,2021-06-03 23:59:59,35151646.64410,136682,7894468,16416807.29110
1622764800000,2021-06-04 00:00:00,1.99590,2.00300,1.71220,1.76430,24535589,1622851199999,2021-06-04 23:59:59,44450190.57630,169726,11981583,21707947.65970
1622851200000,2021-06-05 00:00:00,1.76480,1.98360,1.61700,1.68530,29445176,1622937599999,2021-06-05 23:59:59,53759367.43080,198896,14332583,26147001.30940
1622937600000,2021-06-06 00:00:00,1.68480,1.80620,1.65870,1.78510,17127240,1623023999999,2021-06-06 23:59:59,29619926.06130,125737,8333608,14414163.96610
