open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1748563200000,2025-05-30 00:00:00,33.38700,34.34800,31.36900,32.81600,3866226.57,1748649599999,2025-05-30 23:59:59,127370870.6090900,453676,1975236.82,65070834.2252500
1748649600000,2025-05-31 00:00:00,32.83000,33.66300,30.72400,32.67100,5212805.58,1748735999999,2025-05-31 23:59:59,168002047.6925400,743949,2613130.50,84223633.5077900
1748736000000,2025-06-01 00:00:00,32.67100,34.27900,31.50500,34.15200,3206031.45,1748822399999,2025-06-01 23:59:59,104767689.6159600,573983,1658926.94,54244752.9878000
1748822400000,2025-06-02 00:00:00,34.15600,36.66000,32.41700,36.47400,4454011.49,1748908799999,2025-06-02 23:59:59,151843588.8744900,760665,2227502.72,76011016.8847200
1748908800000,2025-06-03 00:00:00,36.47700,38.23800,35.65800,36.09200,5754781.17,1748995199999,2025-06-03 23:59:59,212635077.0962700,959771,2860074.68,105717881.3762100
1748995200000,2025-06-04 00:00:00,36.09300,37.24000,34.47900,35.63200,5221223.40,1749081599999,2025-06-04 23:59:59,188956971.7402600,910258,2610641.85,94488986.0420600
1749081600000,2025-06-05 00:00:00,35.64000,36.42600,32.62600,34.02400,6408548.66,1749167999999,2025-06-05 23:59:59,220575718.3804000,1041478,3138339.91,108091839.3624900
1749168000000,2025-06-06 00:00:00,34.02500,35.61300,33.08100,33.33300,5013806.94,1749254399999,2025-06-06 23:59:59,172513518.0805600,766797,2509854.75,86446151.6074500
1749254400000,2025-06-07 00:00:00,33.33400,35.16200,33.01000,34.92100,2809657.95,1749340799999,2025-06-07 23:59:59,96046906.4056700,472704,1357368.82,46440190.4521500
1749340800000,2025-06-08 00:00:00,34.91700,36.32800,34.49100,34.98400,3271157.06,1749427199999,2025-06-08 23:59:59,115723076.8945700,535862,1612495.64,57063247.9316400
1749427200000,2025-06-09 00:00:00,34.98700,39.16600,34.70600,38.84800,6898520.09,1749513599999,2025-06-09 23:59:59,255094455.7661000,916625,3510863.46,129918411.6091900
1749513600000,2025-06-10 00:00:00,38.84800,42.41100,38.40400,42.24100,9124540.17,1749599999999,2025-06-10 23:59:59,368309683.9662200,1328877,4588059.90,185205999.1431400
1749600000000,2025-06-11 00:00:00,42.24000,44.08800,40.71000,41.82800,7589698.18,1749686399999,2025-06-11 23:59:59,320280966.1993100,1220564,3861522.08,163067930.3479000
1749686400000,2025-06-12 00:00:00,41.82300,43.91300,40.30000,40.51600,9401867.95,1749772799999,2025-06-12 23:59:59,392927514.8543000,1375367,4501632.85,188344325.0243800
1749772800000,2025-06-13 00:00:00,40.52000,43.06500,37.33800,42.29700,16860067.90,1749859199999,2025-06-13 23:59:59,671037682.2506900,2001130,8255778.45,328946463.1611500
1749859200000,2025-06-14 00:00:00,42.29900,42.72300,38.86700,40.13000,7391611.45,1749945599999,2025-06-14 23:59:59,303307422.5174400,1008349,3566827.75,146440134.3679600
1749945600000,2025-06-15 00:00:00,40.13000,41.47800,39.68400,41.19300,6187277.84,1750031999999,2025-06-15 23:59:59,251352806.9959000,927539,3009827.95,122306843.7350100
1750032000000,2025-06-16 00:00:00,41.19100,45.84600,40.68600,41.91800,12652591.02,1750118399999,2025-06-16 23:59:59,554606301.7991000,1581413,6282643.34,275467880.7341300
1750118400000,2025-06-17 00:00:00,41.92000,43.54100,38.31400,39.96800,16344283.26,1750204799999,2025-06-17 23:59:59,664355774.9453800,1876107,8048321.88,327306888.6572400
1750204800000,2025-06-18 00:00:00,39.96800,41.12200,37.56100,39.48000,15304531.32,1750291199999,2025-06-18 23:59:59,600495721.3605600,1681704,7368196.47,289187012.5128100
1750291200000,2025-06-19 00:00:00,39.47600,40.00000,35.80000,36.87600,12321573.01,1750377599999,2025-06-19 23:59:59,459776631.8838100,1411156,5993638.62,223613990.2805000
1750377600000,2025-06-20 00:00:00,36.87700,37.90100,33.07400,33.38700,16615184.89,1750463999999,2025-06-20 23:59:59,589318121.7642500,1753685,8149597.68,289159515.7646500
1750464000000,2025-06-21 00:00:00,33.38800,35.31200,30.91300,34.42100,15063399.40,1750550399999,2025-06-21 23:59:59,502769650.7485600,1576190,7374749.11,246331660.4847400
1750550400000,2025-06-22 00:00:00,34.41900,36.06500,31.60000,35.75400,21995077.03,1750636799999,2025-06-22 23:59:59,740424265.8351800,2203215,10976374.55,369857177.9523400
1750636800000,2025-06-23 00:00:00,35.76100,38.48500,33.27200,38.17500,20158301.32,1750723199999,2025-06-23 23:59:59,724151245.9961600,2250053,10070549.88,362250246.8605100
1750723200000,2025-06-24 00:00:00,38.17800,38.93600,36.25000,37.51200,12649596.36,1750809599999,2025-06-24 23:59:59,472179792.5416100,1501075,6094368.14,227637690.7176800
1750809600000,2025-06-25 00:00:00,37.51300,39.09600,36.67700,37.01600,10160149.13,1750895999999,2025-06-25 23:59:59,384249505.5616300,1286167,4963513.88,187727099.4433700
1750896000000,2025-06-26 00:00:00,37.01700,38.10400,35.73500,35.80300,9364452.83,1750982399999,2025-06-26 23:59:59,347675753.1632100,1135667,4438225.83,164886207.3906400
1750982400000,2025-06-27 00:00:00,35.80200,37.28500,35.34700,36.62200,5586862.23,1751068799999,2025-06-27 23:59:59,203936986.1272600,853681,2776634.29,101360495.0456500
1751068800000,2025-06-28 00:00:00,36.62300,37.90700,36.21900,37.79800,3212373.58,1751155199999,2025-06-28 23:59:59,118988522.6336000,539096,1578302.09,58480878.1436700
1751155200000,2025-06-29 00:00:00,37.79900,39.90100,37.48900,39.77500,5358852.29,1751241599999,2025-06-29 23:59:59,206621262.2303700,741714,2767342.69,106735349.4686100
1751241600000,2025-06-30 00:00:00,39.77800,41.26900,39.15600,39.55000,8197865.10,1751327999999,2025-06-30 23:59:59,329367290.4688900,1067155,3944621.79,158557888.6574100
1751328000000,2025-07-01 00:00:00,39.55600,39.80900,36.83900,36.90900,8575987.39,1751414399999,2025-07-01 23:59:59,329593835.8827000,1015759,4109187.56,158056431.8030600
1751414400000,2025-07-02 00:00:00,36.91000,40.38000,36.80900,39.87700,7829646.81,1751500799999,2025-07-02 23:59:59,302194164.9629400,1047228,3869614.74,149401061.3387900
1751500800000,2025-07-03 00:00:00,39.87700,41.21800,39.55300,40.25400,5930628.57,1751587199999,2025-07-03 23:59:59,239311559.3712200,852939,2840852.29,114652804.9563100
1751587200000,2025-07-04 00:00:00,40.25300,40.43700,37.54500,38.96200,6128319.75,1751673599999,2025-07-04 23:59:59,236831431.8291400,795185,2998426.26,115897058.4059100
1751673600000,2025-07-05 00:00:00,38.96100,39.62400,38.27400,39.14300,3739084.06,1751759999999,2025-07-05 23:59:59,146109675.4980000,524547,1829867.09,71511208.8314400
1751760000000,2025-07-06 00:00:00,39.13700,40.03200,38.58600,39.82900,3982024.06,1751846399999,2025-07-06 23:59:59,156496738.2599900,531031,1982216.56,77908523.4178300
1751846400000,2025-07-07 00:00:00,39.82900,40.16100,38.19400,38.54600,4577650.00,1751932799999,2025-07-07 23:59:59,179920576.6077900,609976,2222315.91,87365330.5964100
1751932800000,2025-07-08 00:00:00,38.54700,39.07900,36.95200,38.80600,6051103.59,1752019199999,2025-07-08 23:59:59,229824869.7107000,769386,2993846.00,113737339.1175500
1752019200000,2025-07-09 00:00:00,38.80300,41.04900,38.73100,40.67300,5172539.44,1752105599999,2025-07-09 23:59:59,205406274.4498700,666769,2655758.14,105509171.7580100
1752105600000,2025-07-10 00:00:00,40.67100,44.09600,40.50200,43.81300,5949804.44,1752191999999,2025-07-10 23:59:59,251013702.3233700,774064,3056644.85,129047702.6792800
1752192000000,2025-07-11 00:00:00,43.81800,46.93900,43.38300,46.38300,6914263.56,1752278399999,2025-07-11 23:59:59,314339948.6937100,928716,3438102.80,156336347.4831100
1752278400000,2025-07-12 00:00:00,46.38200,47.41200,45.08800,47.09000,4831768.26,1752364799999,2025-07-12 23:59:59,223674289.7456900,741317,2348913.51,108797235.1077600
1752364800000,2025-07-13 00:00:00,47.09000,49.30700,46.93800,48.95000,3958818.71,1752451199999,2025-07-13 23:59:59,190616203.2944000,655861,2037568.42,98121090.0138900
1752451200000,2025-07-14 00:00:00,48.94200,49.92300,46.50400,47.60800,5564265.67,1752537599999,2025-07-14 23:59:59,268823526.4562600,797688,2698443.35,130392797.4208300
1752537600000,2025-07-15 00:00:00,47.60700,48.39600,46.64900,47.86700,5544850.61,1752623999999,2025-07-15 23:59:59,263550144.0654500,786656,2726876.13,129638408.8316900
1752624000000,2025-07-16 00:00:00,47.86500,48.58600,46.45400,46.98700,5145272.18,1752710399999,2025-07-16 23:59:59,245529317.0413300,718692,2467340.98,117719122.9216300
1752710400000,2025-07-17 00:00:00,46.98900,47.38200,44.45000,45.59000,7569714.10,1752796799999,2025-07-17 23:59:59,350046171.4572600,965218,3553822.00,164367668.4057400
1752796800000,2025-07-18 00:00:00,45.58900,47.43900,43.04500,44.33100,8317366.71,1752883199999,2025-07-18 23:59:59,376200778.1804900,1030758,3975551.22,179882635.4881300
1752883200000,2025-07-19 00:00:00,44.33200,45.29800,43.99100,44.48000,3456873.91,1752969599999,2025-07-19 23:59:59,154469709.8951100,556842,1713727.22,76587574.0534200
