open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1749772800000,2025-06-13 00:00:00,0.0439000,0.0539500,0.0420600,0.0498500,2541125669,1749859199999,2025-06-13 23:59:59,122842411.7357700,1150465,1279457042,61896403.1683100
1749859200000,2025-06-14 00:00:00,0.0498500,0.0520000,0.0464800,0.0474700,1622004936,1749945599999,2025-06-14 23:59:59,79947099.9464000,869161,822181781,40539263.5116400
1749945600000,2025-06-15 00:00:00,0.0474700,0.0484700,0.0422600,0.0430500,717018057,1750031999999,2025-06-15 23:59:59,32823946.9090100,502122,355287770,16268224.1435100
1750032000000,2025-06-16 00:00:00,0.0430600,0.0464500,0.0415000,0.0440500,506155114,1750118399999,2025-06-16 23:59:59,22141799.5958700,345693,255667958,11198077.1320300
1750118400000,2025-06-17 00:00:00,0.0440400,0.0463700,0.0417800,0.0421400,402889451,1750204799999,2025-06-17 23:59:59,17834659.2216100,313808,200707351,8886064.2391100
1750204800000,2025-06-18 00:00:00,0.0421300,0.0433500,0.0373600,0.0389700,264763860,1750291199999,2025-06-18 23:59:59,10476592.0656100,199407,135480919,5370147.0757600
1750291200000,2025-06-19 00:00:00,0.0389700,0.0419000,0.0384000,0.0409100,207567854,1750377599999,2025-06-19 23:59:59,8337218.4222700,125835,104947400,4217312.5061000
1750377600000,2025-06-20 00:00:00,0.0409200,0.0454100,0.0393200,0.0399100,258073121,1750463999999,2025-06-20 23:59:59,10728655.0382100,163263,127906830,5318420.6824700
1750464000000,2025-06-21 00:00:00,0.0399400,0.0403200,0.0340900,0.0365800,158942029,1750550399999,2025-06-21 23:59:59,5909852.1194600,99253,80184042,2986645.3194200
1750550400000,2025-06-22 00:00:00,0.0365800,0.0369100,0.0332200,0.0343400,118510146,1750636799999,2025-06-22 23:59:59,4149213.1303100,87514,58976856,2065457.3389900
1750636800000,2025-06-23 00:00:00,0.0343800,0.0381000,0.0333300,0.0380000,113602577,1750723199999,2025-06-23 23:59:59,4017433.4302500,95218,59542732,2105605.6789900
