open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1781740800000,2026-06-18 00:00:00,0.4100000,0.6191000,0.3663000,0.4316000,528594500,1781827199999,2026-06-18 23:59:59,263794924.0441000,2505628,259600584,129746487.1911000
1781827200000,2026-06-19 00:00:00,0.4318000,0.9248000,0.4129000,0.8886000,1966368536,1781913599999,2026-06-19 23:59:59,1393907431.1981000,13723834,991700365,704002903.1545000
1781913600000,2026-06-20 00:00:00,0.8885000,1.0970000,0.7817000,1.0025000,1194206495,1781999999999,2026-06-20 23:59:59,1135025661.3038000,14271830,599394982,570026082.2158000
1782000000000,2026-06-21 00:00:00,1.0024000,1.0577000,0.8280000,0.9047000,687362774,1782086399999,2026-06-21 23:59:59,657270310.8887000,9316897,340245913,325544684.9367000
1782086400000,2026-06-22 00:00:00,0.9048000,0.9800000,0.7600000,0.8718000,586834793,1782172799999,2026-06-22 23:59:59,502675629.8582000,6955667,291042232,249566740.6630000
1782172800000,2026-06-23 00:00:00,0.8719000,0.8776000,0.7856000,0.8045000,398349112,1782259199999,2026-06-23 23:59:59,328603876.5465000,5064247,196436678,162140641.6956000
1782259200000,2026-06-24 00:00:00,0.8045000,0.8130000,0.6251000,0.6610000,345733080,1782345599999,2026-06-24 23:59:59,241794108.4401000,4318205,164950171,115509593.0442000
1782345600000,2026-06-25 00:00:00,0.6609000,0.6613000,0.5424000,0.5834000,359988200,1782431999999,2026-06-25 23:59:59,211212620.6353000,3740735,177990943,104436978.3695000
1782432000000,2026-06-26 00:00:00,0.5835000,0.6414000,0.5233000,0.5554000,371078887,1782518399999,2026-06-26 23:59:59,211226415.3994000,3909282,183168480,104412210.3422000
1782518400000,2026-06-27 00:00:00,0.5554000,0.6964000,0.5336000,0.6893000,415127077,1782604799999,2026-06-27 23:59:59,253384810.6460000,4471963,206869007,126453585.7674000
1782604800000,2026-06-28 00:00:00,0.6893000,0.6967000,0.5834000,0.5948000,337508293,1782691199999,2026-06-28 23:59:59,208093324.3899000,3404268,161472294,99566448.1053000
1782691200000,2026-06-29 00:00:00,0.5948000,0.8060000,0.5487000,0.7800000,472369255,1782777599999,2026-06-29 23:59:59,333725755.5222000,5096045,233298186,164987593.4742000
1782777600000,2026-06-30 00:00:00,0.7801000,0.8275000,0.6338000,0.6454000,354761487,1782863999999,2026-06-30 23:59:59,252206660.9691000,3817842,173980699,123793368.6864000
1782864000000,2026-07-01 00:00:00,0.6454000,0.6970000,0.5814000,0.5826000,182282216,1782950399999,2026-07-01 23:59:59,115525916.5717000,2102582,88351721,56082433.2244000
1782950400000,2026-07-02 00:00:00,0.5827000,0.7538000,0.5770000,0.6879000,209450380,1783036799999,2026-07-02 23:59:59,137802568.3933000,2469657,104099333,68542324.8401000
1783036800000,2026-07-03 00:00:00,0.6879000,0.7204000,0.6125000,0.6184000,166520915,1783123199999,2026-07-03 23:59:59,107932616.6410000,1602390,80852394,52409444.7447000
1783123200000,2026-07-04 00:00:00,0.6183000,0.6488000,0.6025000,0.6318000,99548933,1783209599999,2026-07-04 23:59:59,62289207.6886000,881216,50171364,31419620.0013000
1783209600000,2026-07-05 00:00:00,0.6318000,0.6820000,0.6040000,0.6445000,114853865,1783295999999,2026-07-05 23:59:59,74239369.3987000,1148372,55864336,36149503.5092000
1783296000000,2026-07-06 00:00:00,0.6445000,0.6626000,0.5952000,0.6570000,89759522,1783382399999,2026-07-06 23:59:59,56402167.0512000,839630,43818836,27565694.9648000
1783382400000,2026-07-07 00:00:00,0.6570000,0.7537000,0.6265000,0.6300000,147608952,1783468799999,2026-07-07 23:59:59,101778419.5934000,1327007,74094150,51148043.2014000
1783468800000,2026-07-08 00:00:00,0.6301000,0.6496000,0.5879000,0.6015000,77512638,1783555199999,2026-07-08 23:59:59,47744335.2761000,707145,37434891,23077920.2904000
1783555200000,2026-07-09 00:00:00,0.6015000,0.6217000,0.5774000,0.5839000,46459949,1783641599999,2026-07-09 23:59:59,27776798.1142000,484846,22662128,13556310.2643000
1783641600000,2026-07-10 00:00:00,0.5841000,0.5911000,0.5620000,0.5738000,35220406,1783727999999,2026-07-10 23:59:59,20315162.5496000,329392,16824716,9707523.2442000
1783728000000,2026-07-11 00:00:00,0.5738000,0.6056000,0.5657000,0.5802000,43849308,1783814399999,2026-07-11 23:59:59,25650613.1084000,408052,21509109,12583302.4888000
1783814400000,2026-07-12 00:00:00,0.5802000,0.5885000,0.5551000,0.5564000,29960212,1783900799999,2026-07-12 23:59:59,17159673.4859000,330512,14187029,8131264.5012000
1783900800000,2026-07-13 00:00:00,0.5565000,0.5624000,0.5085000,0.5261000,52361440,1783987199999,2026-07-13 23:59:59,27925190.0787000,422836,25321561,13503316.8126000
1783987200000,2026-07-14 00:00:00,0.5260000,0.5531000,0.5221000,0.5257000,30052190,1784073599999,2026-07-14 23:59:59,16033052.9336000,312548,15180199,8100682.5131000
