open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1722484800000,2024-08-01 04:00:00,3.27100000,3.28800000,3.13300000,3.19600000,895206.50000000,1722499199999,2024-08-01 07:59:59,2881452.61190000,17310,423135.10000000,1363749.55680000
1722499200000,2024-08-01 08:00:00,3.19600000,3.36000000,3.18600000,3.31800000,816634.70000000,1722513599999,2024-08-01 11:59:59,2691016.87660000,15984,408934.50000000,1347432.24850000
1722513600000,2024-08-01 12:00:00,3.31800000,3.34400000,2.94000000,2.97400000,1278225.80000000,1722527999999,2024-08-01 15:59:59,3973628.75600000,23215,608692.60000000,1892013.14300000
1722528000000,2024-08-01 16:00:00,2.97400000,2.97400000,2.73400000,2.77700000,873519.40000000,1722542399999,2024-08-01 19:59:59,2481633.11800000,17711,421709.80000000,1197614.74940000
1722542400000,2024-08-01 20:00:00,2.77500000,3.07400000,2.72100000,3.02700000,1073267.90000000,1722556799999,2024-08-01 23:59:59,3110779.79020000,20521,550831.00000000,1597089.14440000
1722556800000,2024-08-02 00:00:00,3.03000000,3.29500000,3.03000000,3.14900000,1189588.80000000,1722571199999,2024-08-02 03:59:59,3773858.17870000,27734,567498.10000000,1800607.96410000
1722571200000,2024-08-02 04:00:00,3.15000000,3.28700000,3.13400000,3.27400000,884594.10000000,1722585599999,2024-08-02 07:59:59,2840969.58520000,20159,434568.10000000,1396527.84660000
1722585600000,2024-08-02 08:00:00,3.27600000,3.34200000,3.20800000,3.26600000,720926.40000000,1722599999999,2024-08-02 11:59:59,2364232.84090000,17088,361384.20000000,1185173.28330000
1722600000000,2024-08-02 12:00:00,3.26500000,3.35600000,3.12800000,3.23700000,1169970.80000000,1722614399999,2024-08-02 15:59:59,3789245.70780000,25968,594823.30000000,1926552.35670000
1722614400000,2024-08-02 16:00:00,3.23800000,3.25700000,3.14200000,3.16400000,669406.30000000,1722628799999,2024-08-02 19:59:59,2139259.45300000,14233,339349.50000000,1084738.20020000
