open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1628884800000,2021-08-13 20:00:00,0.04549,0.04652,0.04516,0.04646,57612360,1628899199999,2021-08-13 23:59:59,2650945.50861,10595,27759754,1277939.80164
1628899200000,2021-08-14 00:00:00,0.04646,0.04791,0.04545,0.04667,70283878,1628913599999,2021-08-14 03:59:59,3278899.28073,13534,31038324,1448251.37311
1628913600000,2021-08-14 04:00:00,0.04667,0.04870,0.04579,0.04822,149209947,1628927999999,2021-08-14 07:59:59,7104129.88370,23667,72316931,3444637.41341
1628928000000,2021-08-14 08:00:00,0.04822,0.04980,0.04607,0.04932,319717507,1628942399999,2021-08-14 11:59:59,15322343.98281,47399,135188688,6483737.68538
1628942400000,2021-08-14 12:00:00,0.04931,0.05300,0.04800,0.05157,544619612,1628956799999,2021-08-14 15:59:59,27718892.11141,78563,245964625,12525578.76032
1628956800000,2021-08-14 16:00:00,0.05157,0.05250,0.05004,0.05107,173255147,1628971199999,2021-08-14 19:59:59,8853949.44696,24823,79070779,4042517.25714
1628971200000,2021-08-14 20:00:00,0.05106,0.05172,0.04882,0.05111,155057615,1628985599999,2021-08-14 23:59:59,7759613.31606,23432,67688194,3391763.08786
1628985600000,2021-08-15 00:00:00,0.05110,0.05127,0.04880,0.04891,92125527,1628999999999,2021-08-15 03:59:59,4602270.91842,14185,41831356,2090971.46190
1629000000000,2021-08-15 04:00:00,0.04890,0.04933,0.04643,0.04724,155553015,1629014399999,2021-08-15 07:59:59,7495668.08468,23170,63286112,3051063.50436
1629014400000,2021-08-15 08:00:00,0.04720,0.04864,0.04686,0.04814,108204142,1629028799999,2021-08-15 11:59:59,5181612.35468,16288,51796500,2481131.82951
1629028800000,2021-08-15 12:00:00,0.04814,0.04841,0.04685,0.04803,124413098,1629043199999,2021-08-15 15:59:59,5929403.13995,16862,56922434,2714585.46597
1629043200000,2021-08-15 16:00:00,0.04802,0.04884,0.04701,0.04855,85469615,1629057599999,2021-08-15 19:59:59,4081507.84615,13453,39113838,1869391.92616
1629057600000,2021-08-15 20:00:00,0.04856,0.04962,0.04804,0.04905,116330639,1629071999999,2021-08-15 23:59:59,5684371.29606,16184,50673097,2478045.28861
1629072000000,2021-08-16 00:00:00,0.04907,0.05061,0.04820,0.04858,130297003,1629086399999,2021-08-16 03:59:59,6428697.51199,19613,58939471,2908269.88844
1629086400000,2021-08-16 04:00:00,0.04859,0.05148,0.04856,0.05079,200314715,1629100799999,2021-08-16 07:59:59,10129708.57486,25567,92842767,4695683.52853
1629100800000,2021-08-16 08:00:00,0.05080,0.05103,0.04983,0.05051,78579442,1629115199999,2021-08-16 11:59:59,3965252.69777,12354,31998476,1615802.06857
1629115200000,2021-08-16 12:00:00,0.05052,0.05059,0.04754,0.04855,120437312,1629129599999,2021-08-16 15:59:59,5878039.44950,19164,45890045,2238393.38450
1629129600000,2021-08-16 16:00:00,0.04857,0.04890,0.04750,0.04763,57991194,1629143999999,2021-08-16 19:59:59,2810134.31118,11585,25027113,1214394.90017
1629144000000,2021-08-16 20:00:00,0.04761,0.04761,0.04510,0.04586,137180338,1629158399999,2021-08-16 23:59:59,6352980.18631,22580,59179476,2741524.90141
1629158400000,2021-08-17 00:00:00,0.04580,0.04738,0.04360,0.04694,139877887,1629172799999,2021-08-17 03:59:59,6395567.07983,20602,67497427,3093800.17259
1629172800000,2021-08-17 04:00:00,0.04693,0.04731,0.04483,0.04593,126091513,1629187199999,2021-08-17 07:59:59,5799536.29614,16880,58291137,2681644.54643
1629187200000,2021-08-17 08:00:00,0.04595,0.04812,0.04580,0.04761,130636949,1629201599999,2021-08-17 11:59:59,6162164.96518,22376,61429745,2898287.61566
1629201600000,2021-08-17 12:00:00,0.04760,0.04835,0.04515,0.04525,155863789,1629215999999,2021-08-17 15:59:59,7279042.68119,26457,73462672,3434503.27614
1629216000000,2021-08-17 16:00:00,0.04527,0.04628,0.04407,0.04440,126626787,1629230399999,2021-08-17 19:59:59,5725424.20322,17269,56609030,2562120.02243
1629230400000,2021-08-17 20:00:00,0.04438,0.04455,0.04132,0.04181,172157698,1629244799999,2021-08-17 23:59:59,7346672.93831,21881,74972385,3198872.11605
1629244800000,2021-08-18 00:00:00,0.04180,0.04241,0.03950,0.04195,203256648,1629259199999,2021-08-18 03:59:59,8399331.03657,27928,95796683,3960168.24960
1629259200000,2021-08-18 04:00:00,0.04197,0.04392,0.04122,0.04224,147288816,1629273599999,2021-08-18 07:59:59,6285257.83308,21600,71431335,3049959.91720
1629273600000,2021-08-18 08:00:00,0.04223,0.04354,0.04085,0.04110,123925953,1629287999999,2021-08-18 11:59:59,5260196.09912,17333,60469287,2568483.03900
1629288000000,2021-08-18 12:00:00,0.04109,0.04375,0.04099,0.04372,161608188,1629302399999,2021-08-18 15:59:59,6898291.92663,21196,75283177,3214488.06662
