open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1736510400000,2025-01-10 12:00:00,0.21290000,0.46800000,0.21290000,0.40080000,166062632.80000000,1736524799999,2025-01-10 15:59:59,64621539.90800000,262627,81014859.40000000,31630464.49041000
1736524800000,2025-01-10 16:00:00,0.40100000,0.47300000,0.38540000,0.40460000,107459888.30000000,1736539199999,2025-01-10 19:59:59,45465548.52748000,206929,53121719.30000000,22560515.25569000
1736539200000,2025-01-10 20:00:00,0.40480000,0.41600000,0.36660000,0.37640000,33636386.10000000,1736553599999,2025-01-10 23:59:59,13136979.55110000,64372,15895789.10000000,6223474.35899000
1736553600000,2025-01-11 00:00:00,0.37630000,0.37630000,0.32730000,0.33440000,53232901.20000000,1736567999999,2025-01-11 03:59:59,18433618.00187000,67926,25215956.80000000,8710419.30633000
1736568000000,2025-01-11 04:00:00,0.33400000,0.33500000,0.30770000,0.32460000,38220445.40000000,1736582399999,2025-01-11 07:59:59,12235116.81507000,58948,17215117.70000000,5510886.28601000
1736582400000,2025-01-11 08:00:00,0.32470000,0.35500000,0.31370000,0.33400000,36937748.90000000,1736596799999,2025-01-11 11:59:59,12294512.23844000,52596,18067913.00000000,6016513.05108000
1736596800000,2025-01-11 12:00:00,0.33380000,0.33750000,0.31260000,0.31530000,25772211.40000000,1736611199999,2025-01-11 15:59:59,8323553.55805000,44862,13318237.80000000,4296540.10215000
1736611200000,2025-01-11 16:00:00,0.31510000,0.33000000,0.31140000,0.32470000,18278708.60000000,1736625599999,2025-01-11 19:59:59,5839355.74923000,26651,9137640.30000000,2920595.52915000
1736625600000,2025-01-11 20:00:00,0.32460000,0.34000000,0.32110000,0.32470000,18025797.70000000,1736639999999,2025-01-11 23:59:59,5953198.23873000,23339,8430237.30000000,2785996.07247000
1736640000000,2025-01-12 00:00:00,0.32460000,0.35000000,0.31800000,0.34140000,17018271.50000000,1736654399999,2025-01-12 03:59:59,5672358.60327000,28608,8337683.10000000,2785040.23156000
1736654400000,2025-01-12 04:00:00,0.34130000,0.34200000,0.31250000,0.32090000,16957227.40000000,1736668799999,2025-01-12 07:59:59,5484504.55292000,21709,7570497.50000000,2442750.00352000
1736668800000,2025-01-12 08:00:00,0.32060000,0.32450000,0.29770000,0.30330000,21412945.10000000,1736683199999,2025-01-12 11:59:59,6586822.20454000,24724,10862586.20000000,3334785.57032000
1736683200000,2025-01-12 12:00:00,0.30300000,0.31470000,0.30120000,0.30900000,14423749.10000000,1736697599999,2025-01-12 15:59:59,4457556.42793000,18798,7674250.00000000,2372252.32953000
1736697600000,2025-01-12 16:00:00,0.30890000,0.33680000,0.30800000,0.32790000,25491729.70000000,1736711999999,2025-01-12 19:59:59,8298069.72824000,38530,13037920.00000000,4238260.83401000
1736712000000,2025-01-12 20:00:00,0.32810000,0.37480000,0.32630000,0.35920000,43202066.90000000,1736726399999,2025-01-12 23:59:59,15206422.64792000,53338,22242722.40000000,7848484.69102000
1736726400000,2025-01-13 00:00:00,0.35920000,0.36830000,0.33660000,0.33940000,31445407.10000000,1736740799999,2025-01-13 03:59:59,11096271.15455000,39464,14980552.00000000,5288536.87996000
1736740800000,2025-01-13 04:00:00,0.33940000,0.34740000,0.32000000,0.32020000,25445980.90000000,1736755199999,2025-01-13 07:59:59,8464036.83109000,31746,11550471.00000000,3852916.34752000
1736755200000,2025-01-13 08:00:00,0.32020000,0.32550000,0.30620000,0.31950000,39180459.40000000,1736769599999,2025-01-13 11:59:59,12315686.01782000,49039,18378830.20000000,5772853.92425000
1736769600000,2025-01-13 12:00:00,0.31950000,0.35380000,0.31820000,0.34030000,71134100.60000000,1736783999999,2025-01-13 15:59:59,23785907.52228000,88347,36287522.50000000,12144174.79351000
