open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1722484800000,2024-08-01 04:00:00,2.555,2.559,2.487,2.508,574325.9,1722499199999,2024-08-01 07:59:59,1445982.5623,8546,280563.1,706479.0719
1722499200000,2024-08-01 08:00:00,2.508,2.525,2.497,2.523,244606.0,1722513599999,2024-08-01 11:59:59,614301.3529,4345,128687.3,323241.5109
1722513600000,2024-08-01 12:00:00,2.524,2.538,2.430,2.431,741685.0,1722527999999,2024-08-01 15:59:59,1835469.6352,10132,342687.8,847910.9240
1722528000000,2024-08-01 16:00:00,2.431,2.431,2.343,2.409,2424205.6,1722542399999,2024-08-01 19:59:59,5799222.8261,26347,1234631.0,2954246.8580
1722542400000,2024-08-01 20:00:00,2.409,2.536,2.398,2.529,647372.6,1722556799999,2024-08-01 23:59:59,1602845.6853,10165,315172.9,779819.8863
1722556800000,2024-08-02 00:00:00,2.529,2.537,2.455,2.489,405123.7,1722571199999,2024-08-02 03:59:59,1010987.5864,9820,200324.1,499633.3545
1722571200000,2024-08-02 04:00:00,2.489,2.494,2.425,2.447,420035.0,1722585599999,2024-08-02 07:59:59,1029722.4074,8356,194891.4,477389.1962
1722585600000,2024-08-02 08:00:00,2.447,2.476,2.423,2.455,258241.2,1722599999999,2024-08-02 11:59:59,633219.7235,5818,112647.4,276187.3640
1722600000000,2024-08-02 12:00:00,2.455,2.505,2.314,2.389,1159766.4,1722614399999,2024-08-02 15:59:59,2789823.3235,19639,567759.6,1366438.8314
1722614400000,2024-08-02 16:00:00,2.389,2.401,2.338,2.359,440692.6,1722628799999,2024-08-02 19:59:59,1044784.9966,9086,232418.7,551244.6186
1722628800000,2024-08-02 20:00:00,2.359,2.374,2.310,2.339,488417.8,1722643199999,2024-08-02 23:59:59,1143022.5245,9746,234984.5,549873.0005
1722643200000,2024-08-03 00:00:00,2.338,2.353,2.248,2.327,870914.7,1722657599999,2024-08-03 03:59:59,1999456.9079,14786,405561.9,932302.7838
1722657600000,2024-08-03 04:00:00,2.328,2.348,2.319,2.338,160707.7,1722671999999,2024-08-03 07:59:59,374871.1575,3708,74388.4,173542.6995
1722672000000,2024-08-03 08:00:00,2.337,2.337,2.316,2.326,172640.8,1722686399999,2024-08-03 11:59:59,401690.2973,3926,70772.3,164711.1224
1722686400000,2024-08-03 12:00:00,2.326,2.337,2.253,2.257,323498.3,1722700799999,2024-08-03 15:59:59,744790.9724,6395,147166.7,338903.0416
1722700800000,2024-08-03 16:00:00,2.256,2.263,2.155,2.161,1191566.2,1722715199999,2024-08-03 19:59:59,2623191.3033,20373,550607.8,1212480.7473
1722715200000,2024-08-03 20:00:00,2.162,2.261,2.142,2.189,2251108.2,1722729599999,2024-08-03 23:59:59,4940281.1934,23581,1182615.9,2597386.0133
1722729600000,2024-08-04 00:00:00,2.189,2.229,2.178,2.221,432873.2,1722743999999,2024-08-04 03:59:59,953540.6808,7433,206449.8,454974.2329
1722744000000,2024-08-04 04:00:00,2.220,2.230,2.197,2.198,317713.3,1722758399999,2024-08-04 07:59:59,704862.7748,6322,144979.8,321854.2316
1722758400000,2024-08-04 08:00:00,2.198,2.213,2.180,2.202,308049.2,1722772799999,2024-08-04 11:59:59,676841.2993,5354,148628.6,326590.8426
1722772800000,2024-08-04 12:00:00,2.202,2.217,2.101,2.105,882196.7,1722787199999,2024-08-04 15:59:59,1888781.5970,12615,418983.5,896156.8210
1722787200000,2024-08-04 16:00:00,2.105,2.171,2.025,2.155,1439921.1,1722801599999,2024-08-04 19:59:59,3007181.2603,21577,692958.6,1447413.3100
1722801600000,2024-08-04 20:00:00,2.155,2.183,2.129,2.136,508714.3,1722815999999,2024-08-04 23:59:59,1095811.4902,9350,242384.6,522180.1249
1722816000000,2024-08-05 00:00:00,2.136,2.160,1.807,1.930,4501862.4,1722830399999,2024-08-05 03:59:59,8870670.7503,50589,2234491.6,4397869.3240
1722830400000,2024-08-05 04:00:00,1.930,1.999,1.767,1.981,2644733.2,1722844799999,2024-08-05 07:59:59,5020050.2673,35338,1294198.5,2457718.0368
1722844800000,2024-08-05 08:00:00,1.981,1.984,1.806,1.869,2688206.5,1722859199999,2024-08-05 11:59:59,5108034.9723,25594,1350838.6,2569250.6725
1722859200000,2024-08-05 12:00:00,1.868,2.031,1.789,2.020,3198762.8,1722873599999,2024-08-05 15:59:59,6101344.5615,33881,1597151.0,3043224.2506
1722873600000,2024-08-05 16:00:00,2.019,2.061,1.949,1.982,1543476.0,1722887999999,2024-08-05 19:59:59,3085171.6028,19476,799880.9,1597690.3910
1722888000000,2024-08-05 20:00:00,1.983,2.030,1.981,1.990,965002.9,1722902399999,2024-08-05 23:59:59,1933563.6689,12430,470937.4,943335.7189
1722902400000,2024-08-06 00:00:00,1.991,2.090,1.987,2.050,1074012.3,1722916799999,2024-08-06 03:59:59,2201764.1343,14311,507355.1,1040469.7243
1722916800000,2024-08-06 04:00:00,2.051,2.088,2.042,2.085,514050.4,1722931199999,2024-08-06 07:59:59,1063445.4932,8955,250683.1,518627.5806
