open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1763121600000,2025-11-14 12:00:00,0.0550000,0.0950000,0.0534000,0.0688000,578155150,1763135999999,2025-11-14 15:59:59,38785732.2509000,498795,290304081,19502153.0603000
1763136000000,2025-11-14 16:00:00,0.0689000,0.0759000,0.0625000,0.0688000,225180940,1763150399999,2025-11-14 19:59:59,15222365.4006000,232930,111509197,7549366.3656000
1763150400000,2025-11-14 20:00:00,0.0688000,0.0726000,0.0616000,0.0645000,178887024,1763164799999,2025-11-14 23:59:59,12112972.5436000,174504,87427480,5928426.2202000
1763164800000,2025-11-15 00:00:00,0.0645000,0.0686000,0.0600000,0.0665000,157400283,1763179199999,2025-11-15 03:59:59,10060869.0996000,121328,78047963,4999685.3844000
1763179200000,2025-11-15 04:00:00,0.0665000,0.0696000,0.0607000,0.0676000,192641182,1763193599999,2025-11-15 07:59:59,12630084.1086000,137800,95889654,6292521.8584000
1763193600000,2025-11-15 08:00:00,0.0676000,0.0717000,0.0661000,0.0700000,244326754,1763207999999,2025-11-15 11:59:59,16845077.6864000,164941,122894600,8479635.1759000
1763208000000,2025-11-15 12:00:00,0.0700000,0.0711000,0.0623000,0.0673000,172266751,1763222399999,2025-11-15 15:59:59,11396092.2781000,138596,84561496,5597403.7676000
1763222400000,2025-11-15 16:00:00,0.0673000,0.0673000,0.0625000,0.0643000,61669131,1763236799999,2025-11-15 19:59:59,3964201.3831000,51256,31221133,2006665.3044000
1763236800000,2025-11-15 20:00:00,0.0643000,0.0710000,0.0637000,0.0708000,65395669,1763251199999,2025-11-15 23:59:59,4436181.9088000,64425,34375526,2334648.0194000
1763251200000,2025-11-16 00:00:00,0.0708000,0.0715000,0.0655000,0.0686000,95846593,1763265599999,2025-11-16 03:59:59,6629882.2934000,100016,47462699,3285725.7743000
1763265600000,2025-11-16 04:00:00,0.0686000,0.0701000,0.0642000,0.0688000,83652090,1763279999999,2025-11-16 07:59:59,5605526.4316000,86224,40941570,2744949.5986000
1763280000000,2025-11-16 08:00:00,0.0689000,0.0696000,0.0651000,0.0655000,63508416,1763294399999,2025-11-16 11:59:59,4311231.9920000,55999,30621015,2080598.9368000
1763294400000,2025-11-16 12:00:00,0.0655000,0.0698000,0.0646000,0.0676000,98435711,1763308799999,2025-11-16 15:59:59,6654538.9106000,73534,50401698,3406958.7896000
1763308800000,2025-11-16 16:00:00,0.0676000,0.0732000,0.0648000,0.0670000,127991323,1763323199999,2025-11-16 19:59:59,8825231.6113000,120159,65101543,4496342.5203000
1763323200000,2025-11-16 20:00:00,0.0670000,0.0672000,0.0630000,0.0655000,37977521,1763337599999,2025-11-16 23:59:59,2463522.3613000,37794,17866322,1160363.2597000
1763337600000,2025-11-17 00:00:00,0.0656000,0.0690000,0.0647000,0.0685000,44797656,1763351999999,2025-11-17 03:59:59,2996704.0179000,43277,21647042,1449095.4797000
1763352000000,2025-11-17 04:00:00,0.0685000,0.0698000,0.0678000,0.0686000,37513077,1763366399999,2025-11-17 07:59:59,2581976.4537000,42018,19349806,1332731.2805000
1763366400000,2025-11-17 08:00:00,0.0685000,0.0710000,0.0652000,0.0662000,63891665,1763380799999,2025-11-17 11:59:59,4365977.6536000,59544,32544103,2225393.1974000
1763380800000,2025-11-17 12:00:00,0.0663000,0.0695000,0.0654000,0.0682000,64687993,1763395199999,2025-11-17 15:59:59,4378903.2240000,58780,32281152,2186168.8969000
1763395200000,2025-11-17 16:00:00,0.0682000,0.0698000,0.0642000,0.0665000,56378717,1763409599999,2025-11-17 19:59:59,3758358.0931000,50121,26966568,1798695.0209000
1763409600000,2025-11-17 20:00:00,0.0665000,0.0698000,0.0664000,0.0681000,37461570,1763423999999,2025-11-17 23:59:59,2569009.3862000,32003,16831483,1154317.3234000
1763424000000,2025-11-18 00:00:00,0.0681000,0.0691000,0.0657000,0.0666000,45060174,1763438399999,2025-11-18 03:59:59,3029101.0860000,38574,23094823,1553369.8632000
1763438400000,2025-11-18 04:00:00,0.0666000,0.0690000,0.0665000,0.0683000,29098736,1763452799999,2025-11-18 07:59:59,1979995.4974000,29147,14165670,963747.1649000
1763452800000,2025-11-18 08:00:00,0.0683000,0.0705000,0.0680000,0.0686000,47934628,1763467199999,2025-11-18 11:59:59,3318469.2795000,47091,24619579,1706265.6589000
1763467200000,2025-11-18 12:00:00,0.0685000,0.0762000,0.0677000,0.0696000,157527032,1763481599999,2025-11-18 15:59:59,11199538.2443000,134303,82544889,5873395.0088000
1763481600000,2025-11-18 16:00:00,0.0696000,0.0708000,0.0658000,0.0665000,41881581,1763495999999,2025-11-18 19:59:59,2854046.8653000,38239,20216718,1381986.1571000
1763496000000,2025-11-18 20:00:00,0.0665000,0.0666000,0.0645000,0.0665000,29966144,1763510399999,2025-11-18 23:59:59,1964790.2968000,21673,14729216,966824.3754000
1763510400000,2025-11-19 00:00:00,0.0665000,0.0666000,0.0538000,0.0544000,93656278,1763524799999,2025-11-19 03:59:59,5642284.1791000,66215,38305743,2311961.7271000
1763524800000,2025-11-19 04:00:00,0.0544000,0.0569000,0.0511000,0.0534000,137845957,1763539199999,2025-11-19 07:59:59,7447320.5645000,77368,69334958,3749197.4862000
1763539200000,2025-11-19 08:00:00,0.0533000,0.0546000,0.0490000,0.0501000,118304095,1763553599999,2025-11-19 11:59:59,6117937.7591000,59509,57583599,2983349.0458000
1763553600000,2025-11-19 12:00:00,0.0501000,0.0528000,0.0468000,0.0514000,165578638,1763567999999,2025-11-19 15:59:59,8186724.0301000,75729,82851274,4105230.4694000
1763568000000,2025-11-19 16:00:00,0.0514000,0.0521000,0.0455000,0.0496000,96757429,1763582399999,2025-11-19 19:59:59,4682421.1440000,44422,44701958,2163019.6638000
1763582400000,2025-11-19 20:00:00,0.0496000,0.0515000,0.0490000,0.0498000,38707856,1763596799999,2025-11-19 23:59:59,1939938.3599000,17863,19591488,983698.4103000
1763596800000,2025-11-20 00:00:00,0.0498000,0.0514000,0.0480000,0.0500000,35969567,1763611199999,2025-11-20 03:59:59,1782831.0190000,19111,18252696,906232.5411000
1763611200000,2025-11-20 04:00:00,0.0499000,0.0513000,0.0467000,0.0484900,41080298,1763625599999,2025-11-20 07:59:59,1992339.8904600,23456,19689033,955445.8182700
1763625600000,2025-11-20 08:00:00,0.0484900,0.0504000,0.0469000,0.0494200,40605486,1763639999999,2025-11-20 11:59:59,1984830.9685400,53051,21121903,1033420.7235200
1763640000000,2025-11-20 12:00:00,0.0494600,0.0527000,0.0485500,0.0491300,74246198,1763654399999,2025-11-20 15:59:59,3770562.8669500,82371,37557497,1909832.2532100
1763654400000,2025-11-20 16:00:00,0.0491400,0.0597000,0.0484200,0.0555800,143559723,1763668799999,2025-11-20 19:59:59,7779128.8781800,149378,74584283,4040341.3134600
1763668800000,2025-11-20 20:00:00,0.0555100,0.0571000,0.0482000,0.0519800,80517527,1763683199999,2025-11-20 23:59:59,4173259.6816100,86753,37867505,1966026.5491800
1763683200000,2025-11-21 00:00:00,0.0519900,0.0538600,0.0503200,0.0527000,66886945,1763697599999,2025-11-21 03:59:59,3483761.8615000,68285,33766261,1759398.8645800
1763697600000,2025-11-21 04:00:00,0.0526600,0.0648500,0.0523000,0.0613000,178487941,1763711999999,2025-11-21 07:59:59,10285547.2107900,197080,93103830,5367464.9354600
1763712000000,2025-11-21 08:00:00,0.0614000,0.0685000,0.0569300,0.0621200,249279336,1763726399999,2025-11-21 11:59:59,15759532.3795300,329811,128642422,8143745.0901200
1763726400000,2025-11-21 12:00:00,0.0621900,0.0652200,0.0562700,0.0569200,118488398,1763740799999,2025-11-21 15:59:59,7333359.5613300,154704,56759244,3519282.0224300
1763740800000,2025-11-21 16:00:00,0.0569600,0.0619300,0.0556000,0.0614600,54488846,1763755199999,2025-11-21 19:59:59,3228717.1464500,81986,27465595,1629254.4160200
1763755200000,2025-11-21 20:00:00,0.0614700,0.0624200,0.0393100,0.0428100,199635770,1763769599999,2025-11-21 23:59:59,9565358.6485700,225440,89412679,4262662.1750800
1763769600000,2025-11-22 00:00:00,0.0428000,0.0432800,0.0395000,0.0397600,57082445,1763783999999,2025-11-22 03:59:59,2371268.2038400,66500,25942734,1078406.6640000
1763784000000,2025-11-22 04:00:00,0.0397100,0.0415800,0.0379000,0.0385200,81707358,1763798399999,2025-11-22 07:59:59,3201588.1253600,76392,39031629,1529667.4069500
1763798400000,2025-11-22 08:00:00,0.0385200,0.0389500,0.0357200,0.0361300,88182488,1763812799999,2025-11-22 11:59:59,3295593.3276700,79145,40467102,1515165.8282700
1763812800000,2025-11-22 12:00:00,0.0361400,0.0385000,0.0346400,0.0364800,117779551,1763827199999,2025-11-22 15:59:59,4285746.2106600,100275,59231009,2156491.9187200
1763827200000,2025-11-22 16:00:00,0.0364800,0.0369800,0.0328700,0.0339800,82968413,1763841599999,2025-11-22 19:59:59,2881448.6691400,65599,40322182,1401149.9710000
1763841600000,2025-11-22 20:00:00,0.0339800,0.0350400,0.0331800,0.0337200,43918186,1763855999999,2025-11-22 23:59:59,1502775.5163400,34875,20371023,698020.5856500
1763856000000,2025-11-23 00:00:00,0.0337200,0.0381700,0.0333600,0.0347700,64370282,1763870399999,2025-11-23 03:59:59,2281809.8730600,51239,32787442,1162212.2599600
1763870400000,2025-11-23 04:00:00,0.0348000,0.0385000,0.0335300,0.0382500,53380447,1763884799999,2025-11-23 07:59:59,1873403.2739900,43932,27207558,956795.9553600
1763884800000,2025-11-23 08:00:00,0.0382700,0.0467600,0.0381700,0.0416500,277628617,1763899199999,2025-11-23 11:59:59,11728099.0998000,267456,126798019,5363733.9081800
1763899200000,2025-11-23 12:00:00,0.0416700,0.0436400,0.0395000,0.0421800,113565109,1763913599999,2025-11-23 15:59:59,4692878.7510800,121729,56329361,2328737.6220700
1763913600000,2025-11-23 16:00:00,0.0421200,0.0444400,0.0402800,0.0417500,137352781,1763927999999,2025-11-23 19:59:59,5800121.0286900,128359,66775845,2821777.2110200
1763928000000,2025-11-23 20:00:00,0.0417900,0.0435500,0.0403300,0.0409300,60046691,1763942399999,2025-11-23 23:59:59,2522657.3082200,52218,29397301,1235460.6014100
1763942400000,2025-11-24 00:00:00,0.0409300,0.0437900,0.0395100,0.0427200,69520202,1763956799999,2025-11-24 03:59:59,2913111.6800900,58511,34039761,1427522.7214400
1763956800000,2025-11-24 04:00:00,0.0427700,0.0434900,0.0405500,0.0427400,69995389,1763971199999,2025-11-24 07:59:59,2954048.0120100,64839,33236913,1403714.2618900
1763971200000,2025-11-24 08:00:00,0.0426700,0.0447000,0.0423200,0.0432800,41880914,1763985599999,2025-11-24 11:59:59,1812230.0527900,43515,21507569,931151.5917200
1763985600000,2025-11-24 12:00:00,0.0433200,0.0460300,0.0412500,0.0422000,62016772,1763999999999,2025-11-24 15:59:59,2701384.1739600,63778,30994774,1351665.6372800
