open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1628884800000,2021-08-13 20:00:00,1.2099,1.2490,1.2051,1.2422,3054877,1628899199999,2021-08-13 23:59:59,3765362.8552,16926,1481578,1827271.4885
1628899200000,2021-08-14 00:00:00,1.2423,1.2600,1.2123,1.2182,3057758,1628913599999,2021-08-14 03:59:59,3770430.1235,16642,1281972,1582631.9936
1628913600000,2021-08-14 04:00:00,1.2182,1.2664,1.2069,1.2600,5688107,1628927999999,2021-08-14 07:59:59,7096737.0226,23399,2806360,3501311.6684
1628928000000,2021-08-14 08:00:00,1.2600,1.2617,1.1863,1.2167,7150431,1628942399999,2021-08-14 11:59:59,8762168.2270,32579,2888458,3539526.6430
1628942400000,2021-08-14 12:00:00,1.2171,1.2560,1.1912,1.2525,4982678,1628956799999,2021-08-14 15:59:59,6130118.7525,23296,2218161,2729253.9252
1628956800000,2021-08-14 16:00:00,1.2531,1.2545,1.2333,1.2504,2372285,1628971199999,2021-08-14 19:59:59,2951877.4828,13674,1132717,1409618.2787
1628971200000,2021-08-14 20:00:00,1.2504,1.2560,1.2219,1.2475,1942619,1628985599999,2021-08-14 23:59:59,2416009.1130,13517,886419,1103042.6598
1628985600000,2021-08-15 00:00:00,1.2474,1.2642,1.2328,1.2421,2929880,1628999999999,2021-08-15 03:59:59,3656747.0543,17877,1254933,1567364.7577
1629000000000,2021-08-15 04:00:00,1.2423,1.2880,1.1967,1.2173,7194158,1629014399999,2021-08-15 07:59:59,9005678.2747,33247,3285693,4118918.6735
1629014400000,2021-08-15 08:00:00,1.2174,1.2500,1.2046,1.2405,3320735,1629028799999,2021-08-15 11:59:59,4089396.6402,16702,1446361,1782910.8099
1629028800000,2021-08-15 12:00:00,1.2404,1.2581,1.2191,1.2400,2772343,1629043199999,2021-08-15 15:59:59,3439495.6431,15880,1249354,1549814.4896
1629043200000,2021-08-15 16:00:00,1.2393,1.2522,1.2224,1.2494,2217040,1629057599999,2021-08-15 19:59:59,2744240.5061,12279,1047745,1297090.2113
1629057600000,2021-08-15 20:00:00,1.2496,1.3000,1.2451,1.2749,3573479,1629071999999,2021-08-15 23:59:59,4574948.3359,26018,1619133,2072263.2315
1629072000000,2021-08-16 00:00:00,1.2748,1.2899,1.2572,1.2714,2978315,1629086399999,2021-08-16 03:59:59,3808120.4316,17986,1320120,1689137.1848
1629086400000,2021-08-16 04:00:00,1.2715,1.3393,1.2714,1.3180,3542160,1629100799999,2021-08-16 07:59:59,4641809.5025,22665,1634120,2141281.2286
1629100800000,2021-08-16 08:00:00,1.3180,1.3607,1.2955,1.3333,6330728,1629115199999,2021-08-16 11:59:59,8440530.8406,31986,2891514,3856850.0151
1629115200000,2021-08-16 12:00:00,1.3333,1.3354,1.2656,1.2917,4401979,1629129599999,2021-08-16 15:59:59,5707759.6298,23350,1893551,2458395.4156
1629129600000,2021-08-16 16:00:00,1.2914,1.4500,1.2854,1.3649,16566772,1629143999999,2021-08-16 19:59:59,22871024.9538,71864,8353266,11539714.6570
1629144000000,2021-08-16 20:00:00,1.3646,1.3680,1.3100,1.3328,6432421,1629158399999,2021-08-16 23:59:59,8652427.4525,28961,2743205,3691115.3000
1629158400000,2021-08-17 00:00:00,1.3322,1.3800,1.2814,1.3578,6291025,1629172799999,2021-08-17 03:59:59,8414384.0124,32230,2823656,3777806.5391
1629172800000,2021-08-17 04:00:00,1.3579,1.4000,1.3205,1.3518,7315895,1629187199999,2021-08-17 07:59:59,9950495.7055,35535,3299290,4492651.8539
