open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1756108800000,2025-08-25 08:00:00,0.9000000,1.6380000,0.7480000,1.6070000,25299792,1756123199999,2025-08-25 11:59:59,34489129.7780000,415623,13002273,17825978.1780000
1756123200000,2025-08-25 12:00:00,1.6080000,1.6840000,1.3900000,1.4150000,14028740,1756137599999,2025-08-25 15:59:59,21207532.2710000,314730,7030859,10634648.4090000
1756137600000,2025-08-25 16:00:00,1.4150000,1.4960000,1.3640000,1.3900000,5517455,1756151999999,2025-08-25 19:59:59,7854907.3320000,163965,2804835,3995740.5060000
1756152000000,2025-08-25 20:00:00,1.3910000,1.6970000,1.3820000,1.5060000,4907339,1756166399999,2025-08-25 23:59:59,7369917.0180000,140365,2718610,4091141.5940000
1756166400000,2025-08-26 00:00:00,1.5060000,1.5280000,1.4100000,1.4890000,3448817,1756180799999,2025-08-26 03:59:59,5068028.9800000,87872,1729607,2544134.8640000
1756180800000,2025-08-26 04:00:00,1.4880000,1.5110000,1.3880000,1.4940000,3642207,1756195199999,2025-08-26 07:59:59,5297710.8710000,120677,1917401,2790978.9240000
1756195200000,2025-08-26 08:00:00,1.4930000,1.5500000,1.4340000,1.4790000,3302012,1756209599999,2025-08-26 11:59:59,4890670.9970000,161609,1690453,2505013.9720000
1756209600000,2025-08-26 12:00:00,1.4790000,1.6790000,1.4400000,1.4820000,10768488,1756223999999,2025-08-26 15:59:59,16621757.9410000,464347,5493191,8480721.0860000
1756224000000,2025-08-26 16:00:00,1.4820000,1.6070000,1.4250000,1.4410000,5675581,1756238399999,2025-08-26 19:59:59,8581081.3900000,246919,2930052,4431960.2250000
1756238400000,2025-08-26 20:00:00,1.4410000,1.5500000,1.4280000,1.5310000,2478429,1756252799999,2025-08-26 23:59:59,3710138.7220000,117307,1321054,1977619.2260000
1756252800000,2025-08-27 00:00:00,1.5310000,1.5840000,1.4710000,1.5590000,3015461,1756267199999,2025-08-27 03:59:59,4614128.5860000,125616,1500365,2294335.4700000
1756267200000,2025-08-27 04:00:00,1.5590000,1.5740000,1.4450000,1.4850000,2642344,1756281599999,2025-08-27 07:59:59,3961623.9810000,102645,1350088,2025209.6240000
1756281600000,2025-08-27 08:00:00,1.4850000,1.5480000,1.4450000,1.5360000,2254690,1756295999999,2025-08-27 11:59:59,3409718.6220000,73267,1134855,1716969.0200000
1756296000000,2025-08-27 12:00:00,1.5360000,1.5520000,1.4520000,1.5000000,3388148,1756310399999,2025-08-27 15:59:59,5080734.5450000,104272,1732337,2597040.4560000
1756310400000,2025-08-27 16:00:00,1.5000000,1.5560000,1.4550000,1.5270000,2372561,1756324799999,2025-08-27 19:59:59,3576725.1780000,86622,1201221,1812461.7960000
1756324800000,2025-08-27 20:00:00,1.5260000,1.9350000,1.5080000,1.6280000,6990521,1756339199999,2025-08-27 23:59:59,12050063.1850000,201298,3718207,6403183.3140000
1756339200000,2025-08-28 00:00:00,1.6270000,1.7800000,1.6150000,1.7310000,3528319,1756353599999,2025-08-28 03:59:59,6079547.4800000,91485,1848349,3181802.6170000
1756353600000,2025-08-28 04:00:00,1.7310000,1.8900000,1.7000000,1.7810000,3749401,1756367999999,2025-08-28 07:59:59,6721403.7360000,103900,1811365,3247523.9780000
1756368000000,2025-08-28 08:00:00,1.7830000,1.7980000,1.5170000,1.5240000,3724824,1756382399999,2025-08-28 11:59:59,6057213.8760000,112227,1757393,2858557.6310000
1756382400000,2025-08-28 12:00:00,1.5240000,1.6010000,1.4700000,1.4990000,2583166,1756396799999,2025-08-28 15:59:59,3936758.7630000,74628,1271794,1942652.2760000
1756396800000,2025-08-28 16:00:00,1.5000000,1.6250000,1.4850000,1.6200000,1525691,1756411199999,2025-08-28 19:59:59,2357971.8360000,50665,876292,1356140.1180000
1756411200000,2025-08-28 20:00:00,1.6210000,1.6340000,1.5540000,1.6130000,996952,1756425599999,2025-08-28 23:59:59,1591540.8800000,30919,474620,758627.3340000
1756425600000,2025-08-29 00:00:00,1.6140000,1.6420000,1.5720000,1.5730000,976868,1756439999999,2025-08-29 03:59:59,1570760.3060000,33226,444182,715012.7400000
1756440000000,2025-08-29 04:00:00,1.5740000,1.6500000,1.5700000,1.5970000,1043316,1756454399999,2025-08-29 07:59:59,1674692.9230000,30726,520001,835507.9340000
1756454400000,2025-08-29 08:00:00,1.5980000,1.7300000,1.5390000,1.6840000,2230558,1756468799999,2025-08-29 11:59:59,3646337.1000000,65150,1108093,1816539.4530000
1756468800000,2025-08-29 12:00:00,1.6830000,1.7060000,1.5170000,1.5230000,1775922,1756483199999,2025-08-29 15:59:59,2809641.8740000,40328,805618,1274574.5030000
1756483200000,2025-08-29 16:00:00,1.5250000,1.5960000,1.5100000,1.5420000,894257,1756497599999,2025-08-29 19:59:59,1388862.9820000,27198,461206,716888.9960000
1756497600000,2025-08-29 20:00:00,1.5430000,1.5620000,1.5090000,1.5620000,489814,1756511999999,2025-08-29 23:59:59,750904.8010000,14845,222566,341515.1460000
1756512000000,2025-08-30 00:00:00,1.5610000,1.6160000,1.3270000,1.5960000,2914971,1756526399999,2025-08-30 03:59:59,4256764.1480000,69432,1406059,2055513.0580000
1756526400000,2025-08-30 04:00:00,1.5950000,1.6090000,1.4730000,1.5190000,1167283,1756540799999,2025-08-30 07:59:59,1785993.4700000,32309,572597,876075.1950000
1756540800000,2025-08-30 08:00:00,1.5190000,1.5420000,1.4500000,1.4870000,1195126,1756555199999,2025-08-30 11:59:59,1787160.0770000,34530,623952,933775.2260000
1756555200000,2025-08-30 12:00:00,1.4880000,1.5860000,1.4450000,1.5110000,1638628,1756569599999,2025-08-30 15:59:59,2485791.8110000,45284,890339,1353414.4590000
1756569600000,2025-08-30 16:00:00,1.5120000,1.5320000,1.4570000,1.4660000,594296,1756583999999,2025-08-30 19:59:59,885847.4600000,18685,278977,416087.5050000
1756584000000,2025-08-30 20:00:00,1.4660000,1.5460000,1.4650000,1.5160000,760903,1756598399999,2025-08-30 23:59:59,1145748.2250000,24479,395432,594975.7580000
1756598400000,2025-08-31 00:00:00,1.5150000,1.7300000,1.4870000,1.6140000,3338957,1756612799999,2025-08-31 03:59:59,5440273.7250000,85503,1743937,2842937.0580000
1756612800000,2025-08-31 04:00:00,1.6120000,1.6140000,1.5350000,1.5510000,1253836,1756627199999,2025-08-31 07:59:59,1976766.9860000,31619,568962,897639.8640000
1756627200000,2025-08-31 08:00:00,1.5490000,1.6440000,1.5430000,1.5730000,1275485,1756641599999,2025-08-31 11:59:59,2036111.4020000,37890,643828,1028165.0970000
1756641600000,2025-08-31 12:00:00,1.5740000,1.5950000,1.5110000,1.5310000,1069848,1756655999999,2025-08-31 15:59:59,1650371.3730000,30860,450555,695226.7110000
1756656000000,2025-08-31 16:00:00,1.5300000,1.5940000,1.5030000,1.5790000,689442,1756670399999,2025-08-31 19:59:59,1067268.4020000,20467,324878,503335.8770000
1756670400000,2025-08-31 20:00:00,1.5770000,1.6150000,1.5630000,1.5780000,653297,1756684799999,2025-08-31 23:59:59,1036262.9710000,18850,312652,496377.3130000
1756684800000,2025-09-01 00:00:00,1.5780000,1.6480000,1.5340000,1.5450000,1106236,1756699199999,2025-09-01 03:59:59,1754948.2320000,38541,535024,850544.9520000
1756699200000,2025-09-01 04:00:00,1.5440000,1.5500000,1.4220000,1.4630000,1499004,1756713599999,2025-09-01 07:59:59,2225193.1560000,50756,689757,1026251.7700000
1756713600000,2025-09-01 08:00:00,1.4640000,1.6900000,1.1500000,1.1970000,15149359,1756727999999,2025-09-01 11:59:59,20416402.1880000,310967,7313332,9882319.7550000
1756728000000,2025-09-01 12:00:00,1.1970000,1.2240000,1.1140000,1.1230000,4877480,1756742399999,2025-09-01 15:59:59,5671881.4500000,81312,2268897,2640568.7650000
1756742400000,2025-09-01 16:00:00,1.1240000,1.1280000,1.0200000,1.0550000,4259171,1756756799999,2025-09-01 19:59:59,4559283.6360000,71283,2043540,2184524.8230000
1756756800000,2025-09-01 20:00:00,1.0550000,1.0880000,0.9710000,1.0040000,3247423,1756771199999,2025-09-01 23:59:59,3276687.4040000,53908,1511597,1528746.6420000
1756771200000,2025-09-02 00:00:00,1.0040000,1.2420000,0.9890000,1.0230000,7289731,1756785599999,2025-09-02 03:59:59,8003612.1580000,150100,3571198,3935933.2960000
1756785600000,2025-09-02 04:00:00,1.0240000,1.1790000,1.0190000,1.0700000,6063342,1756799999999,2025-09-02 07:59:59,6674535.3400000,111336,2944231,3245389.3060000
1756800000000,2025-09-02 08:00:00,1.0710000,1.0860000,0.7170000,0.7520000,46693385,1756814399999,2025-09-02 11:59:59,37920391.3640000,512611,22052819,17898463.9230000
1756814400000,2025-09-02 12:00:00,0.7530000,0.7560000,0.4110000,0.4536000,291015774,1756828799999,2025-09-02 15:59:59,152703340.4154000,1389870,142477050,74522101.5845000
1756828800000,2025-09-02 16:00:00,0.4537000,0.5550000,0.4311000,0.4890000,257156424,1756843199999,2025-09-02 19:59:59,128071383.3692000,1301848,130308575,64888134.8304000
1756843200000,2025-09-02 20:00:00,0.4892000,0.5080000,0.4672000,0.4919000,94241900,1756857599999,2025-09-02 23:59:59,45750903.5268000,396544,46607607,22631366.0042000
1756857600000,2025-09-03 00:00:00,0.4917000,0.4919000,0.4400000,0.4826000,90321462,1756871999999,2025-09-03 03:59:59,42489303.0420000,408281,44161726,20790745.6561000
1756872000000,2025-09-03 04:00:00,0.4826000,0.5788000,0.4750000,0.4822000,214872917,1756886399999,2025-09-03 07:59:59,110887226.4564000,1124610,105659108,54546976.6733000
1756886400000,2025-09-03 08:00:00,0.4823000,0.4848000,0.4550000,0.4763000,131738348,1756900799999,2025-09-03 11:59:59,62119045.7835000,682397,64659973,30505769.5557000
1756900800000,2025-09-03 12:00:00,0.4763000,0.5208000,0.4677000,0.4792000,160129628,1756915199999,2025-09-03 15:59:59,78983789.3774000,861721,78855017,38920566.3349000
1756915200000,2025-09-03 16:00:00,0.4791000,0.4813000,0.4397000,0.4560000,95250106,1756929599999,2025-09-03 19:59:59,44546548.6297000,447015,45276031,21209178.8020000
1756929600000,2025-09-03 20:00:00,0.4562000,0.4613000,0.4342000,0.4502000,65121125,1756943999999,2025-09-03 23:59:59,29263162.6119000,308307,30727100,13820997.1078000
1756944000000,2025-09-04 00:00:00,0.4502000,0.4573000,0.4344000,0.4396000,44897669,1756958399999,2025-09-04 03:59:59,19994424.4098000,235410,22181808,9884996.1343000
1756958400000,2025-09-04 04:00:00,0.4395000,0.4428000,0.3910000,0.3991000,89234397,1756972799999,2025-09-04 07:59:59,37026092.2009000,321917,40573088,16849312.0443000
1756972800000,2025-09-04 08:00:00,0.3992000,0.4088000,0.3806000,0.3839000,77532503,1756987199999,2025-09-04 11:59:59,30532692.1752000,237121,38917728,15336631.7023000
1756987200000,2025-09-04 12:00:00,0.3838000,0.3986000,0.3801000,0.3914000,65597389,1757001599999,2025-09-04 15:59:59,25677997.0587000,203759,32653344,12785120.7956000
1757001600000,2025-09-04 16:00:00,0.3914000,0.5880000,0.3835000,0.5234000,350288978,1757015999999,2025-09-04 19:59:59,175406012.6379000,1218100,180466598,90281173.9534000
1757016000000,2025-09-04 20:00:00,0.5232000,0.5631000,0.5007000,0.5168000,166936048,1757030399999,2025-09-04 23:59:59,87890084.3490000,600747,83774172,44130896.5280000
1757030400000,2025-09-05 00:00:00,0.5168000,0.5688000,0.5038000,0.5312000,123060873,1757044799999,2025-09-05 03:59:59,65848858.8038000,459478,61102949,32726926.6666000
1757044800000,2025-09-05 04:00:00,0.5311000,0.5843000,0.5290000,0.5368000,183385203,1757059199999,2025-09-05 07:59:59,102415707.0701000,685621,92076294,51454563.9048000
1757059200000,2025-09-05 08:00:00,0.5369000,0.5448000,0.5131000,0.5285000,112008432,1757073599999,2025-09-05 11:59:59,59177226.1910000,419898,56585856,29915208.6532000
1757073600000,2025-09-05 12:00:00,0.5285000,0.5680000,0.5234000,0.5417000,137416956,1757087999999,2025-09-05 15:59:59,75484908.8363000,514267,68963479,37890626.5929000
1757088000000,2025-09-05 16:00:00,0.5417000,0.6344000,0.5390000,0.5505000,198473153,1757102399999,2025-09-05 19:59:59,115291792.2828000,693425,101405859,58939913.3629000
1757102400000,2025-09-05 20:00:00,0.5505000,0.5846000,0.5400000,0.5773000,57064733,1757116799999,2025-09-05 23:59:59,31913051.4969000,233613,29427767,16465020.2569000
