open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1628884800000,2021-08-13 20:00:00,29.4780,30.6300,29.3740,30.5430,1225509,1628899199999,2021-08-13 23:59:59,36886929.8176,58164,602462,18143173.3624
1628899200000,2021-08-14 00:00:00,30.5430,30.7010,29.9500,30.1250,947568,1628913599999,2021-08-14 03:59:59,28740405.4670,44559,428423,13005800.8768
1628913600000,2021-08-14 04:00:00,30.1280,30.3840,29.8290,30.2000,1003769,1628927999999,2021-08-14 07:59:59,30213067.1004,41261,466050,14031235.8370
1628928000000,2021-08-14 08:00:00,30.1960,30.5880,28.6840,29.1700,2382416,1628942399999,2021-08-14 11:59:59,70196624.2868,90420,1025538,30249351.8140
1628942400000,2021-08-14 12:00:00,29.1710,29.7470,28.7250,29.6220,1205926,1628956799999,2021-08-14 15:59:59,35327510.2298,56889,561479,16452001.6610
1628956800000,2021-08-14 16:00:00,29.6190,30.2760,29.4210,30.1460,1323180,1628971199999,2021-08-14 19:59:59,39494533.6929,63645,663342,19802478.6240
1628971200000,2021-08-14 20:00:00,30.1570,30.3350,29.5000,30.1460,937491,1628985599999,2021-08-14 23:59:59,28096547.7590,48519,447521,13423879.5455
1628985600000,2021-08-15 00:00:00,30.1460,30.5160,29.7190,29.7450,1046900,1628999999999,2021-08-15 03:59:59,31607080.7429,54386,553507,16727472.3313
1629000000000,2021-08-15 04:00:00,29.7450,29.9450,28.7730,28.8400,1366110,1629014399999,2021-08-15 07:59:59,40152265.2712,60249,593592,17450320.5045
1629014400000,2021-08-15 08:00:00,28.8330,29.2050,28.4470,28.8650,1310375,1629028799999,2021-08-15 11:59:59,37801976.0284,60727,566162,16340796.0355
1629028800000,2021-08-15 12:00:00,28.8630,29.1820,28.3970,28.9300,1070089,1629043199999,2021-08-15 15:59:59,30799847.6182,54845,525714,15138683.1097
1629043200000,2021-08-15 16:00:00,28.9300,29.1390,28.2780,29.0780,1117500,1629057599999,2021-08-15 19:59:59,32107155.3610,52455,499382,14370004.6375
1629057600000,2021-08-15 20:00:00,29.0800,30.3490,29.0450,30.2910,1394915,1629071999999,2021-08-15 23:59:59,41654230.1647,66929,741064,22110130.2055
1629072000000,2021-08-16 00:00:00,30.2920,30.6870,29.8120,29.8300,1417252,1629086399999,2021-08-16 03:59:59,42944649.6231,60391,633623,19222066.3421
1629086400000,2021-08-16 04:00:00,29.8290,30.9900,29.8290,30.7360,1776229,1629100799999,2021-08-16 07:59:59,54304839.0508,79995,827167,25289508.8893
1629100800000,2021-08-16 08:00:00,30.7440,31.3100,30.2750,31.0640,1927828,1629115199999,2021-08-16 11:59:59,59532914.4124,81523,965456,29829716.7452
1629115200000,2021-08-16 12:00:00,31.0610,31.0930,29.6260,30.2790,2065001,1629129599999,2021-08-16 15:59:59,62516276.2364,92911,913972,27664021.6502
1629129600000,2021-08-16 16:00:00,30.2790,30.4600,29.6700,29.7430,1214205,1629143999999,2021-08-16 19:59:59,36587984.2861,64642,534049,16094831.9411
1629144000000,2021-08-16 20:00:00,29.7410,29.7580,29.0000,29.0740,1293189,1629158399999,2021-08-16 23:59:59,37951235.3676,67735,559895,16430403.5852
1629158400000,2021-08-17 00:00:00,29.0800,30.0980,28.5170,29.8770,1659784,1629172799999,2021-08-17 03:59:59,48507685.7258,75069,763050,22323814.1633
1629172800000,2021-08-17 04:00:00,29.8880,30.0960,28.9090,29.3630,1356252,1629187199999,2021-08-17 07:59:59,39857830.7139,63097,638241,18748279.8268
1629187200000,2021-08-17 08:00:00,29.3690,30.4660,29.3400,30.3170,1803139,1629201599999,2021-08-17 11:59:59,54157996.7858,84279,852307,25588923.2669
1629201600000,2021-08-17 12:00:00,30.3040,30.8570,29.2030,29.2990,1796637,1629215999999,2021-08-17 15:59:59,53920769.3808,85756,854217,25655394.7912
1629216000000,2021-08-17 16:00:00,29.3060,29.6230,28.5200,28.6000,1753623,1629230399999,2021-08-17 19:59:59,50913322.6332,91865,876712,25469881.3582
1629230400000,2021-08-17 20:00:00,28.6000,28.7100,25.8880,26.4190,3148600,1629244799999,2021-08-17 23:59:59,85200121.6908,146444,1360892,36813985.4615
1629244800000,2021-08-18 00:00:00,26.4220,26.7990,25.4640,26.3700,2914511,1629259199999,2021-08-18 03:59:59,76094858.6494,123619,1358185,35481212.4666
1629259200000,2021-08-18 04:00:00,26.3710,27.0980,26.1640,26.3650,1687099,1629273599999,2021-08-18 07:59:59,44976703.9666,76970,787018,20985828.4532
1629273600000,2021-08-18 08:00:00,26.3640,27.0390,25.8330,25.9120,1414736,1629287999999,2021-08-18 11:59:59,37408363.0041,68722,646640,17109006.9247
1629288000000,2021-08-18 12:00:00,25.9130,27.3200,25.9010,27.3020,1906757,1629302399999,2021-08-18 15:59:59,50732575.2680,88430,960675,25561727.4333
1629302400000,2021-08-18 16:00:00,27.3020,27.3670,26.4000,26.5230,1486321,1629316799999,2021-08-18 19:59:59,40006092.3831,73123,686088,18462579.0429
1629316800000,2021-08-18 20:00:00,26.5300,26.9940,26.0210,26.3330,1129243,1629331199999,2021-08-18 23:59:59,29897085.0953,57275,515423,13655285.1055
1629331200000,2021-08-19 00:00:00,26.3390,26.4660,25.5250,25.5470,1825337,1629345599999,2021-08-19 03:59:59,47336877.9253,83764,854990,22175922.3921
1629345600000,2021-08-19 04:00:00,25.5520,26.0440,25.3010,25.9260,1449565,1629359999999,2021-08-19 07:59:59,37262599.8143,66508,658529,16940347.1016
1629360000000,2021-08-19 08:00:00,25.9270,26.2780,25.6470,25.7920,1306326,1629374399999,2021-08-19 11:59:59,33929210.2614,57782,620119,16111514.5081
1629374400000,2021-08-19 12:00:00,25.7920,26.8230,25.6690,26.7110,1971652,1629388799999,2021-08-19 15:59:59,51962009.6425,86100,1030355,27173632.0388
1629388800000,2021-08-19 16:00:00,26.7160,27.7340,26.5560,27.5500,1602559,1629403199999,2021-08-19 19:59:59,43443198.6263,73364,774937,21006832.1434
1629403200000,2021-08-19 20:00:00,27.5530,28.0130,27.4590,27.9940,852024,1629417599999,2021-08-19 23:59:59,23659780.8035,48961,406800,11298562.8716
1629417600000,2021-08-20 00:00:00,27.9930,28.5370,27.8310,27.9720,1387281,1629431999999,2021-08-20 03:59:59,39070094.9021,64714,677970,19108170.4321
1629432000000,2021-08-20 04:00:00,27.9650,28.3500,27.6880,27.8190,1289820,1629446399999,2021-08-20 07:59:59,36104788.1500,62389,536548,15030722.8789
1629446400000,2021-08-20 08:00:00,27.8190,28.3210,27.5070,27.9210,1338574,1629460799999,2021-08-20 11:59:59,37465899.4472,60713,651886,18247390.0273
