Data Entrada,Ativo,Regime,Score,Preço Entrada,Stop Loss,Alvo 1,Alvo 2,Datas Saída,Preços Saída,Motivo Saída,Resultado (R$),Saldo Acumulado (R$)
2026-03-04 00:00,DEXE,Consolidação (1.8R),78/100,$3.5880,$3.5880 (-14.51%),$4.5252,$5.0459,2026-03-09 04:00 | 2026-03-10 00:00,$4.5252 | $5.0459,Alvo 1 (1.8R) | Alvo 2,R$ +22.87,R$ 222.78
2026-03-04 00:00,ICP,Consolidação (1.8R),84/100,$2.5350,$2.5350 (-12.54%),$3.1072,$3.4251,2026-03-12 04:00,$2.5350,Stop no Breakeven,R$ -0.12,R$ 222.72
2026-03-04 00:00,GPS,Consolidação (1.8R),75/100,$0.0098,$0.0076 (-22.19%),$0.0137,$0.0159,2026-03-18 00:00,$0.0086,Time-Stop (14d),R$ -5.35,R$ 217.20
2026-03-13 00:00,LINK,Consolidação (1.8R),84/100,$9.2900,$9.2900 (-7.78%),$10.5905,$11.3130,2026-03-18 12:00,$9.2900,Stop no Breakeven,R$ -0.21,R$ 216.98
2026-03-18 00:00,SUI,Consolidação (1.8R),78/100,$1.0460,$0.9695 (-7.31%),$1.1837,$1.2602,2026-03-18 12:00,$0.9695,Stop Loss Inicial,R$ -11.07,R$ 206.02
2026-03-18 20:00,DOT,Consolidação (1.8R),80/100,$1.5770,$1.4783 (-6.26%),$1.7547,$1.8535,2026-03-21 20:00,$1.4783,Stop Loss Inicial,R$ -10.54,R$ 195.42
2026-03-18 20:00,DEXE,Consolidação (1.8R),75/100,$5.6550,$5.6550 (-13.33%),$7.0117,$7.7654,2026-03-22 16:00 | 2026-03-25 12:00,$7.0117 | $6.9890,Alvo 1 (1.8R) | Trailing EMA20,R$ +18.25,R$ 213.34
2026-03-13 00:00,SOL,Consolidação (1.8R),84/100,$89.6900,$81.4682 (-9.17%),$104.4892,$112.7110,2026-03-27 00:00,$86.4200,Time-Stop (14d),R$ -4.61,R$ 208.71
2026-03-25 12:00,POL,Consolidação (1.8R),79/100,$0.0978,$0.0912 (-6.77%),$0.1097,$0.1163,2026-03-27 12:00,$0.0912,Stop Loss Inicial,R$ -10.90,R$ 197.93
2026-03-23 00:00,U,Consolidação (1.8R),76/100,$1.0003,$0.9853 (-1.50%),$1.0273,$1.0423,2026-04-06 00:00,$1.0001,Time-Stop (14d),R$ -0.87,R$ 196.95
2026-04-05 04:00,KAITO,Consolidação (1.8R),76/100,$0.4187,$0.4187 (-5.90%),$0.4632,$0.4879,2026-04-08 08:00 | 2026-04-08 08:00,$0.4632 | $0.4879,Alvo 1 (1.8R) | Alvo 2,R$ +22.49,R$ 228.32
